frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.66,11.66,2.52,2.52,-2.52,-2.08,-1.08,9.14,9.15,9.14
20.20,11.66,11.66,2.52,2.52,-2.52,-2.08,-1.11,9.14,9.14,9.14
20.40,11.66,11.66,2.52,2.52,-2.52,-2.08,-1.14,9.14,9.14,9.14
20.61,11.66,11.66,2.52,2.52,-2.53,-2.08,-1.18,9.13,9.13,9.14
20.81,11.66,11.66,2.52,2.53,-2.53,-2.08,-1.21,9.13,9.13,9.14
21.02,11.66,11.66,2.53,2.53,-2.53,-2.08,-1.25,9.13,9.13,9.14
21.23,11.67,11.67,2.54,2.53,-2.54,-2.08,-1.29,9.13,9.13,9.13
21.44,11.67,11.67,2.54,2.54,-2.54,-2.08,-1.32,9.13,9.13,9.13
21.66,11.68,11.68,2.55,2.55,-2.55,-2.08,-1.36,9.13,9.13,9.13
21.87,11.69,11.69,2.56,2.56,-2.56,-2.08,-1.40,9.13,9.13,9.13
22.09,11.69,11.69,2.56,2.56,-2.56,-2.08,-1.44,9.13,9.13,9.13
22.31,11.70,11.70,2.57,2.57,-2.56,-2.09,-1.49,9.14,9.13,9.13
22.54,11.70,11.70,2.57,2.57,-2.57,-2.09,-1.53,9.13,9.13,9.13
22.76,11.70,11.70,2.57,2.57,-2.56,-2.09,-1.58,9.14,9.13,9.13
22.99,11.69,11.69,2.56,2.56,-2.56,-2.09,-1.62,9.13,9.13,9.13
23.22,11.68,11.68,2.55,2.55,-2.55,-2.09,-1.67,9.13,9.13,9.13
23.45,11.67,11.67,2.54,2.55,-2.55,-2.09,-1.72,9.12,9.12,9.13
23.69,11.66,11.66,2.54,2.54,-2.54,-2.09,-1.77,9.12,9.12,9.12
23.92,11.65,11.65,2.53,2.53,-2.53,-2.09,-1.82,9.12,9.12,9.12
24.16,11.64,11.64,2.52,2.52,-2.52,-2.09,-1.87,9.12,9.12,9.12
24.40,11.64,11.64,2.52,2.52,-2.52,-2.09,-1.92,9.12,9.12,9.12
24.65,11.63,11.63,2.51,2.51,-2.51,-2.09,-1.97,9.12,9.12,9.12
24.89,11.63,11.63,2.51,2.51,-2.51,-2.09,-2.02,9.12,9.12,9.12
25.14,11.63,11.63,2.51,2.51,-2.51,-2.09,-2.07,9.12,9.12,9.12
25.39,11.62,11.62,2.50,2.51,-2.51,-2.09,-2.13,9.11,9.12,9.12
25.65,11.62,11.62,2.51,2.51,-2.51,-2.09,-2.18,9.11,9.11,9.11
25.91,11.62,11.62,2.51,2.51,-2.51,-2.09,-2.23,9.11,9.11,9.11
26.16,11.62,11.62,2.51,2.51,-2.51,-2.09,-2.29,9.11,9.11,9.11
26.43,11.62,11.62,2.51,2.51,-2.51,-2.09,-2.34,9.11,9.11,9.11
26.69,11.62,11.62,2.51,2.51,-2.51,-2.09,-2.39,9.11,9.11,9.11
26.96,11.61,11.61,2.50,2.51,-2.51,-2.09,-2.44,9.10,9.11,9.11
27.23,11.61,11.61,2.51,2.50,-2.51,-2.09,-2.49,9.11,9.10,9.10
27.50,11.60,11.60,2.50,2.50,-2.50,-2.09,-2.54,9.10,9.10,9.10
27.77,11.60,11.60,2.50,2.50,-2.50,-2.09,-2.59,9.11,9.10,9.10
28.05,11.59,11.59,2.49,2.49,-2.49,-2.09,-2.63,9.10,9.10,9.10
28.33,11.58,11.58,2.48,2.48,-2.48,-2.09,-2.67,9.10,9.10,9.10
28.62,11.57,11.57,2.48,2.47,-2.47,-2.08,-2.71,9.10,9.09,9.09
28.90,11.55,11.55,2.46,2.46,-2.47,-2.08,-2.75,9.08,9.09,9.09
29.19,11.54,11.54,2.45,2.45,-2.46,-2.08,-2.78,9.08,9.09,9.09
29.48,11.54,11.54,2.45,2.45,-2.45,-2.08,-2.81,9.09,9.08,9.09
29.78,11.53,11.53,2.45,2.45,-2.44,-2.08,-2.84,9.09,9.09,9.08
30.08,11.52,11.52,2.44,2.44,-2.44,-2.08,-2.86,9.08,9.08,9.08
30.38,11.51,11.51,2.43,2.43,-2.43,-2.08,-2.88,9.08,9.08,9.08
30.68,11.50,11.50,2.42,2.42,-2.42,-2.08,-2.90,9.08,9.08,9.08
30.99,11.49,11.49,2.42,2.42,-2.42,-2.08,-2.91,9.07,9.07,9.07
31.30,11.48,11.48,2.41,2.41,-2.41,-2.08,-2.92,9.07,9.07,9.07
31.61,11.47,11.47,2.40,2.40,-2.40,-2.08,-2.92,9.07,9.07,9.07
31.93,11.45,11.46,2.39,2.39,-2.39,-2.08,-2.92,9.06,9.06,9.06
32.24,11.44,11.44,2.38,2.38,-2.38,-2.08,-2.91,9.06,9.06,9.06
32.57,11.43,11.43,2.37,2.37,-2.37,-2.08,-2.90,9.06,9.06,9.06
32.89,11.41,11.41,2.36,2.36,-2.36,-2.08,-2.89,9.05,9.06,9.05
33.22,11.39,11.39,2.34,2.35,-2.34,-2.08,-2.87,9.05,9.05,9.05
33.55,11.38,11.38,2.33,2.33,-2.33,-2.08,-2.85,9.05,9.05,9.05
33.89,11.36,11.36,2.32,2.32,-2.32,-2.08,-2.83,9.04,9.04,9.04
34.23,11.34,11.34,2.30,2.30,-2.30,-2.07,-2.80,9.04,9.04,9.04
34.57,11.32,11.32,2.29,2.29,-2.29,-2.07,-2.78,9.03,9.03,9.03
34.92,11.31,11.31,2.28,2.28,-2.28,-2.07,-2.75,9.03,9.02,9.03
35.27,11.29,11.29,2.27,2.27,-2.27,-2.07,-2.71,9.02,9.02,9.02
35.62,11.28,11.28,2.26,2.26,-2.26,-2.07,-2.68,9.02,9.02,9.02
35.97,11.27,11.27,2.26,2.25,-2.25,-2.07,-2.64,9.02,9.02,9.01
