frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.52,4.52,-2.89,-2.89,2.88,2.56,0.43,7.40,7.40,7.41
20.20,4.59,4.59,-2.81,-2.81,2.81,2.51,0.44,7.40,7.40,7.41
20.40,4.67,4.67,-2.73,-2.74,2.74,2.46,0.45,7.41,7.41,7.40
20.61,4.74,4.74,-2.66,-2.66,2.67,2.42,0.47,7.41,7.41,7.40
20.81,4.81,4.81,-2.59,-2.59,2.60,2.37,0.48,7.41,7.41,7.40
21.02,4.88,4.88,-2.52,-2.52,2.53,2.33,0.50,7.41,7.41,7.40
21.23,4.95,4.95,-2.45,-2.45,2.46,2.28,0.51,7.41,7.41,7.40
21.44,5.01,5.01,-2.39,-2.39,2.39,2.23,0.53,7.40,7.40,7.40
21.66,5.07,5.07,-2.33,-2.33,2.33,2.19,0.55,7.40,7.40,7.40
21.87,5.13,5.13,-2.27,-2.27,2.26,2.14,0.56,7.39,7.39,7.40
22.09,5.20,5.20,-2.20,-2.20,2.19,2.10,0.58,7.39,7.39,7.40
22.31,5.27,5.27,-2.13,-2.13,2.12,2.05,0.60,7.39,7.39,7.40
22.54,5.34,5.34,-2.06,-2.05,2.04,2.01,0.62,7.38,7.39,7.40
22.76,5.42,5.42,-1.97,-1.98,1.97,1.96,0.64,7.39,7.39,7.40
22.99,5.50,5.50,-1.89,-1.90,1.90,1.92,0.66,7.40,7.40,7.40
23.22,5.57,5.57,-1.82,-1.82,1.83,1.88,0.68,7.40,7.41,7.39
23.45,5.64,5.64,-1.75,-1.76,1.77,1.83,0.70,7.41,7.41,7.39
23.69,5.69,5.69,-1.70,-1.71,1.72,1.79,0.72,7.41,7.41,7.39
23.92,5.72,5.72,-1.67,-1.67,1.68,1.75,0.74,7.40,7.40,7.39
24.16,5.75,5.75,-1.64,-1.64,1.64,1.71,0.76,7.39,7.39,7.39
24.40,5.78,5.78,-1.61,-1.61,1.61,1.66,0.78,7.39,7.38,7.39
24.65,5.80,5.80,-1.59,-1.59,1.58,1.62,0.80,7.38,7.38,7.39
24.89,5.82,5.83,-1.56,-1.56,1.55,1.58,0.83,7.37,7.37,7.39
25.14,5.86,5.86,-1.52,-1.53,1.51,1.54,0.85,7.37,7.37,7.38
25.39,5.90,5.90,-1.48,-1.48,1.47,1.50,0.87,7.38,7.37,7.38
25.65,5.94,5.94,-1.44,-1.44,1.43,1.46,0.89,7.37,7.38,7.38
25.91,5.99,5.99,-1.39,-1.39,1.39,1.42,0.91,7.38,7.38,7.38
