frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.37,8.37,1.51,1.51,-1.54,-2.22,-1.07,6.83,6.83,6.86
20.20,8.40,8.41,1.54,1.55,-1.55,-2.22,-1.10,6.86,6.86,6.86
20.40,8.43,8.43,1.57,1.57,-1.56,-2.22,-1.13,6.87,6.87,6.86
20.61,8.46,8.45,1.60,1.60,-1.57,-2.23,-1.16,6.89,6.88,6.86
20.81,8.46,8.47,1.61,1.61,-1.59,-2.23,-1.20,6.87,6.87,6.86
21.02,8.47,8.48,1.62,1.62,-1.61,-2.23,-1.23,6.86,6.86,6.86
21.23,8.48,8.49,1.63,1.63,-1.64,-2.24,-1.27,6.85,6.85,6.86
21.44,8.51,8.51,1.66,1.65,-1.66,-2.24,-1.30,6.85,6.84,6.86
21.66,8.53,8.53,1.68,1.68,-1.69,-2.24,-1.34,6.84,6.84,6.85
21.87,8.56,8.57,1.71,1.72,-1.73,-2.25,-1.38,6.84,6.85,6.85
22.09,8.61,8.61,1.76,1.76,-1.76,-2.25,-1.42,6.85,6.85,6.85
22.31,8.66,8.66,1.81,1.81,-1.81,-2.25,-1.46,6.86,6.85,6.85
22.54,8.70,8.71,1.85,1.86,-1.85,-2.26,-1.50,6.85,6.86,6.85
22.76,8.75,8.75,1.90,1.90,-1.90,-2.26,-1.55,6.86,6.86,6.85
22.99,8.80,8.80,1.95,1.95,-1.94,-2.27,-1.59,6.86,6.86,6.85
23.22,8.83,8.83,1.98,1.99,-1.98,-2.27,-1.64,6.86,6.86,6.85
23.45,8.86,8.87,2.02,2.02,-2.01,-2.27,-1.68,6.85,6.85,6.85
23.69,8.89,8.89,2.05,2.04,-2.04,-2.28,-1.73,6.85,6.85,6.85
23.92,8.91,8.91,2.07,2.07,-2.07,-2.28,-1.78,6.84,6.84,6.84
24.16,8.93,8.94,2.09,2.09,-2.10,-2.29,-1.83,6.83,6.84,6.84
