frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.24,7.24,0.32,0.32,-0.32,-1.14,-0.62,6.92,6.92,6.92
20.20,7.28,7.28,0.36,0.36,-0.36,-1.14,-0.64,6.92,6.92,6.92
20.40,7.32,7.32,0.40,0.40,-0.40,-1.15,-0.66,6.92,6.92,6.92
20.61,7.36,7.36,0.44,0.44,-0.44,-1.15,-0.68,6.92,6.92,6.92
20.81,7.40,7.40,0.48,0.48,-0.48,-1.15,-0.69,6.92,6.91,6.91
21.02,7.43,7.43,0.51,0.52,-0.52,-1.15,-0.72,6.91,6.91,6.91
21.23,7.47,7.47,0.56,0.56,-0.56,-1.16,-0.74,6.91,6.91,6.91
21.44,7.51,7.51,0.60,0.59,-0.60,-1.16,-0.76,6.91,6.91,6.91
21.66,7.55,7.55,0.64,0.63,-0.63,-1.16,-0.78,6.92,6.91,6.91
21.87,7.58,7.58,0.67,0.67,-0.67,-1.16,-0.80,6.91,6.91,6.91
22.09,7.62,7.62,0.71,0.71,-0.70,-1.17,-0.83,6.91,6.91,6.91
22.31,7.65,7.65,0.74,0.74,-0.74,-1.17,-0.85,6.91,6.91,6.91
22.54,7.68,7.68,0.77,0.77,-0.77,-1.17,-0.88,6.91,6.91,6.91
22.76,7.71,7.71,0.80,0.80,-0.80,-1.18,-0.90,6.91,6.91,6.91
22.99,7.74,7.74,0.83,0.83,-0.83,-1.18,-0.93,6.91,6.91,6.91
23.22,7.77,7.77,0.86,0.86,-0.86,-1.18,-0.95,6.91,6.91,6.91
23.45,7.80,7.80,0.89,0.89,-0.89,-1.19,-0.98,6.91,6.90,6.90
23.69,7.82,7.82,0.92,0.92,-0.92,-1.19,-1.01,6.90,6.90,6.90
23.92,7.85,7.85,0.95,0.95,-0.95,-1.19,-1.04,6.90,6.90,6.90
24.16,7.88,7.87,0.98,0.97,-0.97,-1.20,-1.06,6.91,6.90,6.90
24.40,7.90,7.90,1.00,1.00,-1.00,-1.20,-1.09,6.90,6.90,6.90
24.65,7.92,7.92,1.02,1.02,-1.02,-1.21,-1.12,6.89,6.90,6.90
24.89,7.95,7.95,1.05,1.05,-1.05,-1.21,-1.15,6.90,6.90,6.90
25.14,7.97,7.97,1.07,1.07,-1.07,-1.21,-1.18,6.90,6.90,6.90
25.39,7.99,7.99,1.09,1.10,-1.09,-1.22,-1.21,6.89,6.90,6.89
25.65,8.01,8.01,1.12,1.12,-1.12,-1.22,-1.24,6.89,6.89,6.89
25.91,8.03,8.03,1.14,1.14,-1.14,-1.23,-1.27,6.89,6.89,6.89
26.16,8.05,8.05,1.16,1.16,-1.16,-1.23,-1.30,6.89,6.89,6.89
26.43,8.07,8.07,1.18,1.18,-1.18,-1.24,-1.33,6.89,6.89,6.89
26.69,8.09,8.09,1.20,1.20,-1.20,-1.24,-1.36,6.89,6.89,6.89
26.96,8.10,8.10,1.21,1.22,-1.22,-1.25,-1.39,6.88,6.89,6.89
27.23,8.12,8.12,1.24,1.24,-1.24,-1.26,-1.42,6.88,6.88,6.88
27.50,8.14,8.13,1.26,1.25,-1.26,-1.26,-1.45,6.88,6.88,6.88
27.77,8.15,8.15,1.27,1.27,-1.27,-1.27,-1.48,6.88,6.88,6.88
28.05,8.17,8.17,1.29,1.29,-1.29,-1.27,-1.50,6.88,6.88,6.88
28.33,8.19,8.19,1.31,1.31,-1.31,-1.28,-1.53,6.88,6.88,6.88
28.62,8.20,8.20,1.33,1.33,-1.33,-1.29,-1.55,6.87,6.87,6.87
28.90,8.22,8.22,1.35,1.35,-1.35,-1.30,-1.57,6.87,6.87,6.87
29.19,8.23,8.23,1.36,1.36,-1.36,-1.30,-1.59,6.86,6.87,6.87
29.48,8.25,8.25,1.38,1.38,-1.38,-1.31,-1.61,6.87,6.87,6.87
29.78,8.26,8.26,1.40,1.40,-1.40,-1.32,-1.63,6.86,6.86,6.86
30.08,8.28,8.28,1.42,1.42,-1.41,-1.33,-1.64,6.86,6.86,6.86
30.38,8.29,8.29,1.43,1.43,-1.43,-1.34,-1.66,6.86,6.86,6.86
30.68,8.30,8.30,1.44,1.44,-1.44,-1.34,-1.67,6.86,6.86,6.86
30.99,8.31,8.31,1.46,1.46,-1.46,-1.35,-1.68,6.85,6.85,6.85
31.30,8.32,8.32,1.47,1.47,-1.47,-1.36,-1.68,6.85,6.85,6.85
31.61,8.33,8.33,1.48,1.48,-1.48,-1.37,-1.69,6.85,6.85,6.85
31.93,8.33,8.33,1.49,1.49,-1.49,-1.38,-1.69,6.84,6.84,6.84
32.24,8.33,8.33,1.49,1.49,-1.49,-1.39,-1.69,6.83,6.84,6.84
32.57,8.34,8.33,1.50,1.50,-1.50,-1.40,-1.69,6.84,6.83,6.84
32.89,8.34,8.34,1.51,1.51,-1.51,-1.41,-1.69,6.83,6.83,6.83
33.22,8.34,8.34,1.51,1.51,-1.51,-1.42,-1.68,6.82,6.83,6.83
33.55,8.35,8.35,1.52,1.52,-1.52,-1.42,-1.68,6.83,6.83,6.82
33.89,8.35,8.35,1.53,1.53,-1.53,-1.43,-1.67,6.82,6.82,6.82
34.23,8.35,8.35,1.53,1.53,-1.53,-1.44,-1.66,6.82,6.82,6.82
34.57,8.35,8.35,1.54,1.54,-1.54,-1.45,-1.65,6.81,6.81,6.81
34.92,8.35,8.35,1.54,1.54,-1.54,-1.46,-1.64,6.81,6.81,6.81
35.27,8.35,8.35,1.55,1.55,-1.55,-1.46,-1.62,6.80,6.80,6.80
35.62,8.35,8.35,1.55,1.55,-1.55,-1.47,-1.61,6.80,6.80,6.80
35.97,8.35,8.35,1.56,1.55,-1.55,-1.48,-1.60,6.80,6.79,6.79
36.33,8.34,8.34,1.55,1.56,-1.56,-1.48,-1.58,6.78,6.79,6.79
36.70,8.34,8.34,1.56,1.56,-1.56,-1.49,-1.57,6.78,6.78,6.78
