frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.09,11.09,4.82,4.82,-4.82,-4.86,-2.34,6.27,6.27,6.27
20.20,11.10,11.10,4.83,4.83,-4.83,-4.86,-2.41,6.27,6.27,6.27
20.40,11.11,11.11,4.84,4.84,-4.84,-4.86,-2.48,6.27,6.27,6.27
20.61,11.12,11.12,4.85,4.85,-4.85,-4.86,-2.55,6.27,6.27,6.27
20.81,11.12,11.12,4.85,4.85,-4.86,-4.87,-2.62,6.26,6.27,6.27
21.02,11.13,11.13,4.86,4.86,-4.86,-4.87,-2.70,6.27,6.27,6.27
21.23,11.14,11.14,4.87,4.87,-4.87,-4.87,-2.77,6.27,6.27,6.27
21.44,11.15,11.15,4.88,4.88,-4.88,-4.87,-2.86,6.27,6.27,6.27
21.66,11.16,11.16,4.89,4.89,-4.89,-4.87,-2.94,6.27,6.27,6.27
21.87,11.16,11.16,4.90,4.90,-4.90,-4.87,-3.02,6.26,6.26,6.27
22.09,11.17,11.17,4.91,4.91,-4.91,-4.87,-3.11,6.26,6.26,6.26
22.31,11.18,11.18,4.92,4.92,-4.92,-4.87,-3.20,6.26,6.26,6.26
22.54,11.19,11.19,4.93,4.93,-4.92,-4.87,-3.29,6.27,6.26,6.26
22.76,11.19,11.19,4.93,4.93,-4.93,-4.87,-3.38,6.26,6.26,6.26
22.99,11.20,11.20,4.94,4.94,-4.94,-4.87,-3.48,6.26,6.26,6.26
23.22,11.20,11.20,4.94,4.94,-4.94,-4.87,-3.58,6.26,6.26,6.26
23.45,11.21,11.21,4.95,4.95,-4.95,-4.87,-3.68,6.26,6.26,6.26
23.69,11.21,11.21,4.95,4.95,-4.96,-4.87,-3.78,6.25,6.26,6.26
23.92,11.22,11.22,4.96,4.96,-4.96,-4.87,-3.89,6.26,6.26,6.26
24.16,11.22,11.22,4.97,4.97,-4.97,-4.87,-3.99,6.25,6.25,6.26
24.40,11.23,11.23,4.98,4.97,-4.97,-4.87,-4.10,6.26,6.25,6.25
24.65,11.23,11.23,4.98,4.98,-4.98,-4.87,-4.21,6.25,6.25,6.25
24.89,11.24,11.24,4.99,4.99,-4.99,-4.87,-4.32,6.26,6.25,6.25
25.14,11.24,11.24,4.99,4.99,-4.99,-4.87,-4.43,6.25,6.25,6.25
25.39,11.24,11.25,4.99,5.00,-4.99,-4.87,-4.55,6.25,6.25,6.25
25.65,11.25,11.25,5.00,5.00,-5.00,-4.87,-4.66,6.25,6.25,6.25
25.91,11.25,11.25,5.00,5.00,-5.00,-4.87,-4.78,6.25,6.25,6.25
26.16,11.25,11.25,5.01,5.01,-5.01,-4.87,-4.89,6.24,6.24,6.24
26.43,11.25,11.25,5.01,5.01,-5.01,-4.87,-5.00,6.24,6.24,6.24
26.69,11.25,11.25,5.01,5.01,-5.02,-4.87,-5.12,6.24,6.24,6.24
26.96,11.26,11.26,5.02,5.02,-5.02,-4.87,-5.23,6.24,6.24,6.24
27.23,11.26,11.26,5.02,5.02,-5.02,-4.87,-5.34,6.24,6.24,6.24
27.50,11.26,11.26,5.02,5.03,-5.02,-4.87,-5.44,6.24,6.24,6.24
27.77,11.26,11.26,5.03,5.03,-5.02,-4.87,-5.54,6.24,6.24,6.23
28.05,11.26,11.26,5.03,5.03,-5.03,-4.87,-5.64,6.24,6.23,6.23
28.33,11.25,11.25,5.02,5.02,-5.03,-4.87,-5.74,6.22,6.23,6.23
28.62,11.25,11.25,5.02,5.02,-5.03,-4.87,-5.83,6.22,6.22,6.23
28.90,11.25,11.25,5.03,5.02,-5.03,-4.87,-5.91,6.22,6.22,6.23
29.19,11.25,11.25,5.03,5.03,-5.03,-4.87,-5.99,6.22,6.22,6.22
29.48,11.25,11.25,5.03,5.03,-5.03,-4.87,-6.06,6.22,6.22,6.22
29.78,11.25,11.25,5.03,5.03,-5.03,-4.87,-6.12,6.22,6.22,6.22
30.08,11.25,11.25,5.04,5.03,-5.03,-4.87,-6.18,6.22,6.22,6.22
30.38,11.24,11.25,5.03,5.03,-5.03,-4.87,-6.23,6.21,6.21,6.21
30.68,11.24,11.24,5.03,5.03,-5.03,-4.87,-6.26,6.21,6.21,6.21
30.99,11.24,11.24,5.03,5.03,-5.03,-4.87,-6.29,6.21,6.21,6.21
31.30,11.23,11.23,5.03,5.03,-5.03,-4.87,-6.31,6.20,6.20,6.20
31.61,11.23,11.23,5.03,5.03,-5.03,-4.87,-6.32,6.20,6.20,6.20
31.93,11.22,11.22,5.02,5.03,-5.03,-4.86,-6.32,6.19,6.20,6.20
32.24,11.22,11.22,5.03,5.02,-5.03,-4.86,-6.32,6.20,6.19,6.19
32.57,11.21,11.21,5.02,5.02,-5.02,-4.86,-6.30,6.19,6.19,6.19
32.89,11.21,11.21,5.02,5.02,-5.02,-4.86,-6.28,6.19,6.19,6.19
33.22,11.21,11.21,5.03,5.02,-5.02,-4.86,-6.24,6.19,6.18,6.18
33.55,11.20,11.20,5.02,5.02,-5.02,-4.86,-6.21,6.18,6.18,6.18
33.89,11.20,11.20,5.03,5.02,-5.02,-4.86,-6.16,6.18,6.18,6.18
34.23,11.19,11.19,5.02,5.02,-5.02,-4.86,-6.11,6.17,6.17,6.17
34.57,11.19,11.19,5.02,5.02,-5.02,-4.86,-6.05,6.17,6.17,6.17
34.92,11.18,11.18,5.02,5.02,-5.02,-4.86,-5.99,6.16,6.16,6.16
35.27,11.17,11.18,5.01,5.02,-5.02,-4.86,-5.93,6.15,6.16,6.16
35.62,11.17,11.17,5.02,5.01,-5.01,-4.86,-5.86,6.16,6.15,6.15
35.97,11.16,11.16,5.01,5.01,-5.01,-4.85,-5.79,6.15,6.15,6.15
36.33,11.15,11.15,5.01,5.01,-5.01,-4.85,-5.72,6.14,6.14,6.14
36.70,11.14,11.14,5.00,5.01,-5.01,-4.85,-5.64,6.13,6.14,6.14
37.06,11.14,11.14,5.01,5.01,-5.01,-4.85,-5.57,6.13,6.13,6.13
37.43,11.13,11.13,5.01,5.00,-5.01,-4.85,-5.49,6.12,6.12,6.13
37.81,11.12,11.12,5.00,5.00,-5.00,-4.85,-5.42,6.12,6.12,6.12
38.19,11.11,11.11,5.00,5.00,-5.00,-4.84,-5.34,6.11,6.11,6.11
38.57,11.11,11.11,5.00,5.00,-5.00,-4.84,-5.27,6.11,6.11,6.11
38.95,11.10,11.10,5.00,5.00,-5.00,-4.84,-5.20,6.10,6.10,6.10
39.34,11.09,11.09,5.00,5.00,-4.99,-4.84,-5.13,6.10,6.09,6.09
39.74,11.07,11.07,4.99,4.99,-4.99,-4.84,-5.06,6.08,6.08,6.08
40.14,11.06,11.06,4.98,4.98,-4.99,-4.83,-5.00,6.07,6.08,6.08
40.54,11.05,11.05,4.98,4.98,-4.98,-4.83,-4.93,6.07,6.07,6.07
40.94,11.04,11.04,4.98,4.98,-4.98,-4.83,-4.87,6.06,6.06,6.06
41.35,11.02,11.02,4.97,4.97,-4.97,-4.83,-4.82,6.05,6.05,6.05
41.76,11.01,11.01,4.97,4.96,-4.96,-4.82,-4.76,6.05,6.04,6.04
42.18,10.99,10.99,4.96,4.96,-4.96,-4.82,-4.71,6.03,6.04,6.04
42.60,10.98,10.98,4.95,4.95,-4.95,-4.82,-4.66,6.03,6.03,6.03
43.03,10.96,10.96,4.94,4.94,-4.94,-4.81,-4.62,6.02,6.02,6.02
43.46,10.94,10.94,4.93,4.94,-4.93,-4.81,-4.58,6.01,6.01,6.01
