frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.54,5.54,-0.75,-0.75,0.74,-0.23,-0.16,6.28,6.28,6.28
20.20,5.58,5.58,-0.71,-0.71,0.71,-0.24,-0.16,6.28,6.28,6.28
20.40,5.62,5.61,-0.67,-0.67,0.67,-0.24,-0.17,6.29,6.29,6.28
20.61,5.65,5.65,-0.64,-0.63,0.64,-0.24,-0.17,6.29,6.29,6.28
20.81,5.68,5.68,-0.60,-0.60,0.60,-0.24,-0.17,6.28,6.29,6.28
21.02,5.72,5.71,-0.56,-0.57,0.57,-0.25,-0.18,6.29,6.28,6.28
21.23,5.75,5.75,-0.53,-0.53,0.53,-0.25,-0.18,6.28,6.28,6.28
21.44,5.78,5.78,-0.50,-0.50,0.50,-0.25,-0.19,6.28,6.28,6.28
21.66,5.82,5.81,-0.46,-0.46,0.46,-0.25,-0.19,6.28,6.28,6.28
21.87,5.85,5.85,-0.43,-0.43,0.42,-0.26,-0.20,6.27,6.27,6.28
22.09,5.89,5.89,-0.39,-0.39,0.39,-0.26,-0.20,6.27,6.27,6.28
22.31,5.93,5.93,-0.35,-0.35,0.35,-0.26,-0.21,6.28,6.27,6.28
22.54,5.97,5.97,-0.31,-0.31,0.31,-0.26,-0.22,6.28,6.28,6.28
22.76,6.01,6.01,-0.27,-0.27,0.27,-0.27,-0.22,6.28,6.28,6.27
22.99,6.05,6.04,-0.23,-0.23,0.23,-0.27,-0.23,6.28,6.28,6.27
23.22,6.08,6.08,-0.19,-0.19,0.20,-0.27,-0.23,6.27,6.28,6.27
23.45,6.11,6.11,-0.16,-0.16,0.16,-0.27,-0.24,6.27,6.27,6.27
23.69,6.15,6.14,-0.12,-0.13,0.13,-0.28,-0.25,6.28,6.27,6.27
23.92,6.17,6.17,-0.10,-0.10,0.10,-0.28,-0.25,6.27,6.27,6.27
24.16,6.20,6.20,-0.07,-0.07,0.07,-0.28,-0.26,6.27,6.27,6.27
24.40,6.23,6.22,-0.04,-0.04,0.04,-0.29,-0.27,6.27,6.26,6.27
24.65,6.25,6.25,-0.02,-0.01,0.01,-0.29,-0.27,6.26,6.26,6.27
24.89,6.28,6.28,0.01,0.01,-0.01,-0.29,-0.28,6.26,6.26,6.26
25.14,6.31,6.30,0.04,0.04,-0.04,-0.30,-0.29,6.27,6.26,6.26
25.39,6.33,6.33,0.07,0.07,-0.07,-0.30,-0.29,6.26,6.26,6.26
25.65,6.36,6.35,0.10,0.09,-0.09,-0.31,-0.30,6.26,6.26,6.26
25.91,6.38,6.38,0.12,0.12,-0.12,-0.31,-0.31,6.26,6.26,6.26
26.16,6.40,6.40,0.14,0.14,-0.14,-0.31,-0.32,6.25,6.26,6.26
26.43,6.43,6.42,0.17,0.17,-0.17,-0.32,-0.32,6.26,6.26,6.26
26.69,6.45,6.45,0.19,0.19,-0.19,-0.32,-0.33,6.26,6.25,6.25
26.96,6.47,6.47,0.22,0.22,-0.22,-0.33,-0.34,6.25,6.25,6.25
27.23,6.49,6.49,0.24,0.24,-0.24,-0.33,-0.35,6.25,6.25,6.25
27.50,6.51,6.51,0.26,0.26,-0.26,-0.34,-0.35,6.25,6.25,6.25
27.77,6.53,6.53,0.28,0.28,-0.28,-0.34,-0.36,6.24,6.24,6.25
28.05,6.55,6.55,0.30,0.30,-0.30,-0.35,-0.37,6.24,6.24,6.24
28.33,6.57,6.57,0.33,0.33,-0.33,-0.35,-0.37,6.24,6.24,6.24
28.62,6.59,6.59,0.35,0.35,-0.35,-0.36,-0.38,6.24,6.24,6.24
28.90,6.61,6.61,0.37,0.37,-0.37,-0.36,-0.39,6.24,6.24,6.24
29.19,6.62,6.62,0.38,0.39,-0.39,-0.37,-0.39,6.23,6.24,6.24
29.48,6.64,6.64,0.40,0.40,-0.40,-0.37,-0.40,6.23,6.23,6.23
29.78,6.65,6.65,0.42,0.42,-0.42,-0.38,-0.40,6.23,6.23,6.23
30.08,6.67,6.67,0.44,0.44,-0.44,-0.39,-0.41,6.23,6.23,6.23
30.38,6.68,6.68,0.45,0.45,-0.45,-0.39,-0.41,6.23,6.23,6.23
30.68,6.69,6.69,0.47,0.47,-0.47,-0.40,-0.42,6.22,6.22,6.22
