frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.25,6.25,0.16,0.16,-0.16,-0.80,-0.42,6.09,6.09,6.09
20.20,6.28,6.29,0.19,0.20,-0.20,-0.80,-0.43,6.09,6.09,6.09
20.40,6.32,6.33,0.23,0.24,-0.23,-0.80,-0.45,6.09,6.09,6.09
20.61,6.36,6.36,0.27,0.27,-0.27,-0.81,-0.46,6.09,6.09,6.09
20.81,6.39,6.39,0.31,0.31,-0.30,-0.81,-0.47,6.09,6.09,6.09
21.02,6.42,6.42,0.34,0.34,-0.34,-0.81,-0.49,6.09,6.09,6.09
21.23,6.45,6.45,0.37,0.37,-0.37,-0.81,-0.50,6.09,6.09,6.09
21.44,6.48,6.48,0.40,0.40,-0.40,-0.81,-0.52,6.08,6.08,6.09
21.66,6.51,6.51,0.43,0.43,-0.43,-0.81,-0.53,6.08,6.08,6.09
21.87,6.54,6.55,0.46,0.46,-0.46,-0.81,-0.55,6.08,6.09,6.08
22.09,6.57,6.57,0.49,0.49,-0.49,-0.82,-0.57,6.09,6.08,6.08
22.31,6.60,6.60,0.52,0.52,-0.52,-0.82,-0.58,6.09,6.08,6.08
22.54,6.62,6.63,0.54,0.55,-0.55,-0.82,-0.60,6.08,6.08,6.08
22.76,6.65,6.65,0.57,0.57,-0.57,-0.82,-0.62,6.08,6.08,6.08
22.99,6.68,6.68,0.60,0.60,-0.60,-0.82,-0.64,6.08,6.08,6.08
23.22,6.70,6.71,0.62,0.63,-0.63,-0.82,-0.66,6.08,6.08,6.08
23.45,6.73,6.73,0.66,0.65,-0.65,-0.83,-0.68,6.08,6.08,6.08
23.69,6.75,6.75,0.68,0.68,-0.67,-0.83,-0.69,6.08,6.08,6.08
23.92,6.77,6.77,0.70,0.70,-0.70,-0.83,-0.71,6.08,6.08,6.08
24.16,6.79,6.79,0.72,0.72,-0.72,-0.83,-0.73,6.07,6.07,6.07
24.40,6.81,6.81,0.74,0.74,-0.74,-0.84,-0.75,6.07,6.07,6.07
24.65,6.83,6.83,0.76,0.76,-0.76,-0.84,-0.78,6.07,6.07,6.07
24.89,6.85,6.85,0.78,0.78,-0.78,-0.84,-0.80,6.07,6.07,6.07
25.14,6.87,6.87,0.80,0.80,-0.80,-0.85,-0.82,6.07,6.07,6.07
25.39,6.89,6.89,0.83,0.82,-0.82,-0.85,-0.84,6.07,6.07,6.07
25.65,6.90,6.91,0.84,0.84,-0.84,-0.85,-0.86,6.06,6.07,6.07
25.91,6.92,6.92,0.86,0.86,-0.86,-0.86,-0.88,6.07,6.06,6.07
26.16,6.93,6.94,0.87,0.87,-0.87,-0.86,-0.90,6.06,6.06,6.06
26.43,6.95,6.95,0.89,0.89,-0.89,-0.86,-0.92,6.07,6.06,6.06
26.69,6.96,6.96,0.90,0.90,-0.90,-0.87,-0.94,6.06,6.06,6.06
26.96,6.97,6.97,0.91,0.92,-0.92,-0.87,-0.96,6.06,6.06,6.06
27.23,6.98,6.98,0.93,0.93,-0.93,-0.88,-0.98,6.06,6.06,6.06
27.50,6.99,6.99,0.94,0.94,-0.94,-0.88,-1.00,6.05,6.05,6.06
27.77,7.00,7.00,0.95,0.95,-0.95,-0.88,-1.02,6.05,6.05,6.05
28.05,7.01,7.01,0.96,0.96,-0.96,-0.89,-1.03,6.05,6.05,6.05
28.33,7.02,7.02,0.97,0.97,-0.97,-0.89,-1.05,6.05,6.05,6.05
28.62,7.03,7.03,0.99,0.98,-0.98,-0.90,-1.07,6.05,6.05,6.05
28.90,7.03,7.04,0.99,0.99,-0.99,-0.91,-1.08,6.04,6.04,6.04
29.19,7.04,7.04,1.00,1.00,-1.00,-0.91,-1.09,6.04,6.04,6.04
29.48,7.05,7.05,1.01,1.01,-1.01,-0.92,-1.10,6.04,6.04,6.04
29.78,7.05,7.06,1.02,1.02,-1.02,-0.92,-1.11,6.04,6.04,6.04
30.08,7.06,7.06,1.03,1.03,-1.02,-0.93,-1.12,6.04,6.04,6.03
30.38,7.06,7.06,1.03,1.03,-1.03,-0.94,-1.13,6.03,6.03,6.03
30.68,7.06,7.06,1.03,1.04,-1.03,-0.94,-1.14,6.03,6.03,6.03
30.99,7.06,7.06,1.04,1.04,-1.04,-0.95,-1.14,6.02,6.02,6.03
31.30,7.06,7.06,1.04,1.04,-1.04,-0.96,-1.14,6.02,6.02,6.02
31.61,7.06,7.06,1.04,1.04,-1.05,-0.96,-1.14,6.02,6.02,6.02
31.93,7.06,7.06,1.05,1.05,-1.05,-0.97,-1.14,6.02,6.02,6.02
32.24,7.06,7.06,1.05,1.05,-1.05,-0.98,-1.14,6.01,6.01,6.01
32.57,7.06,7.06,1.05,1.05,-1.05,-0.98,-1.13,6.01,6.01,6.01
32.89,7.06,7.06,1.06,1.06,-1.05,-0.99,-1.13,6.01,6.01,6.01
33.22,7.05,7.06,1.05,1.05,-1.05,-0.99,-1.12,6.00,6.00,6.00
33.55,7.05,7.05,1.06,1.05,-1.05,-1.00,-1.11,6.00,6.00,6.00
33.89,7.04,7.05,1.05,1.05,-1.05,-1.00,-1.10,5.99,5.99,5.99
34.23,7.04,7.04,1.05,1.05,-1.05,-1.01,-1.09,5.99,5.99,5.99
34.57,7.03,7.04,1.05,1.05,-1.05,-1.01,-1.08,5.98,5.98,5.99
34.92,7.03,7.03,1.05,1.05,-1.05,-1.01,-1.06,5.98,5.98,5.98
35.27,7.02,7.03,1.05,1.05,-1.05,-1.02,-1.05,5.97,5.98,5.98
35.62,7.02,7.02,1.05,1.05,-1.05,-1.02,-1.03,5.98,5.97,5.97
35.97,7.01,7.01,1.05,1.05,-1.04,-1.02,-1.02,5.97,5.97,5.97
