frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.07,6.08,0.54,0.54,-0.54,-1.13,-0.54,5.54,5.54,5.53
20.20,6.10,6.10,0.57,0.57,-0.57,-1.13,-0.55,5.54,5.53,5.53
20.40,6.12,6.13,0.59,0.59,-0.60,-1.13,-0.57,5.53,5.53,5.53
20.61,6.15,6.15,0.62,0.62,-0.63,-1.12,-0.59,5.53,5.53,5.53
20.81,6.18,6.18,0.65,0.65,-0.65,-1.12,-0.60,5.53,5.53,5.53
21.02,6.21,6.21,0.68,0.68,-0.68,-1.12,-0.62,5.53,5.53,5.53
21.23,6.24,6.24,0.71,0.71,-0.71,-1.12,-0.64,5.54,5.53,5.53
21.44,6.26,6.27,0.73,0.74,-0.73,-1.12,-0.66,5.53,5.53,5.53
21.66,6.29,6.29,0.76,0.76,-0.76,-1.12,-0.68,5.53,5.53,5.53
21.87,6.31,6.31,0.79,0.78,-0.78,-1.11,-0.70,5.53,5.53,5.53
22.09,6.33,6.33,0.81,0.81,-0.81,-1.11,-0.72,5.53,5.53,5.53
22.31,6.35,6.35,0.83,0.83,-0.83,-1.11,-0.74,5.52,5.52,5.53
22.54,6.37,6.38,0.85,0.85,-0.85,-1.11,-0.77,5.52,5.52,5.53
22.76,6.40,6.40,0.88,0.88,-0.88,-1.11,-0.79,5.53,5.52,5.53
22.99,6.42,6.42,0.90,0.90,-0.90,-1.10,-0.81,5.53,5.53,5.52
23.22,6.44,6.45,0.92,0.92,-0.92,-1.10,-0.84,5.52,5.53,5.52
23.45,6.46,6.46,0.94,0.94,-0.94,-1.10,-0.86,5.52,5.52,5.52
23.69,6.48,6.48,0.96,0.96,-0.96,-1.10,-0.89,5.52,5.52,5.52
23.92,6.49,6.50,0.97,0.98,-0.98,-1.10,-0.91,5.51,5.52,5.52
24.16,6.51,6.52,1.00,1.00,-1.00,-1.09,-0.94,5.52,5.52,5.52
24.40,6.53,6.53,1.02,1.02,-1.02,-1.09,-0.96,5.52,5.52,5.52
24.65,6.55,6.55,1.04,1.03,-1.03,-1.09,-0.99,5.52,5.52,5.52
24.89,6.56,6.56,1.05,1.05,-1.05,-1.09,-1.02,5.52,5.52,5.51
25.14,6.57,6.57,1.06,1.06,-1.06,-1.08,-1.05,5.51,5.51,5.51
25.39,6.58,6.58,1.07,1.07,-1.07,-1.08,-1.07,5.51,5.51,5.51
25.65,6.59,6.59,1.08,1.08,-1.09,-1.08,-1.10,5.51,5.51,5.51
25.91,6.60,6.60,1.09,1.09,-1.10,-1.08,-1.13,5.51,5.51,5.51
26.16,6.61,6.61,1.11,1.11,-1.11,-1.07,-1.15,5.51,5.51,5.51
26.43,6.62,6.62,1.12,1.12,-1.12,-1.07,-1.18,5.51,5.51,5.51
26.69,6.63,6.63,1.13,1.13,-1.13,-1.07,-1.20,5.51,5.50,5.50
26.96,6.63,6.64,1.13,1.14,-1.13,-1.06,-1.23,5.50,5.50,5.50
27.23,6.64,6.64,1.14,1.14,-1.14,-1.06,-1.25,5.50,5.50,5.50
27.50,6.65,6.65,1.15,1.15,-1.15,-1.06,-1.28,5.50,5.50,5.50
27.77,6.65,6.66,1.16,1.16,-1.16,-1.06,-1.30,5.49,5.50,5.50
28.05,6.66,6.66,1.17,1.17,-1.17,-1.05,-1.32,5.50,5.49,5.49
