frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.86,8.86,0.68,0.68,-0.66,-0.04,-0.23,8.20,8.20,8.18
20.20,8.87,8.87,0.69,0.69,-0.69,-0.04,-0.24,8.18,8.18,8.18
20.40,8.88,8.88,0.70,0.70,-0.71,-0.04,-0.24,8.17,8.18,8.18
20.61,8.89,8.90,0.71,0.71,-0.73,-0.03,-0.25,8.17,8.17,8.18
20.81,8.91,8.91,0.73,0.73,-0.74,-0.03,-0.26,8.18,8.17,8.18
21.02,8.92,8.92,0.74,0.74,-0.75,-0.03,-0.27,8.18,8.18,8.18
21.23,8.93,8.93,0.75,0.75,-0.75,-0.03,-0.28,8.18,8.18,8.18
21.44,8.93,8.94,0.75,0.76,-0.75,-0.03,-0.29,8.18,8.18,8.18
21.66,8.93,8.93,0.75,0.76,-0.75,-0.03,-0.30,8.18,8.19,8.18
21.87,8.93,8.93,0.75,0.75,-0.74,-0.03,-0.31,8.19,8.19,8.18
22.09,8.91,8.91,0.74,0.74,-0.73,-0.03,-0.31,8.19,8.19,8.18
22.31,8.89,8.89,0.72,0.72,-0.71,-0.03,-0.32,8.18,8.18,8.18
22.54,8.86,8.86,0.69,0.69,-0.69,-0.03,-0.33,8.17,8.18,8.18
22.76,8.84,8.84,0.67,0.66,-0.67,-0.03,-0.35,8.17,8.17,8.17
22.99,8.81,8.82,0.64,0.64,-0.66,-0.03,-0.36,8.16,8.16,8.17
23.22,8.80,8.81,0.63,0.63,-0.65,-0.03,-0.37,8.15,8.16,8.17
23.45,8.80,8.80,0.63,0.63,-0.65,-0.03,-0.38,8.15,8.15,8.17
23.69,8.81,8.81,0.64,0.64,-0.65,-0.02,-0.39,8.16,8.16,8.17
23.92,8.82,8.83,0.65,0.66,-0.66,-0.02,-0.40,8.16,8.17,8.17
24.16,8.84,8.84,0.68,0.67,-0.67,-0.02,-0.41,8.18,8.17,8.17
24.40,8.85,8.85,0.69,0.68,-0.67,-0.02,-0.42,8.18,8.18,8.17
24.65,8.85,8.85,0.69,0.69,-0.67,-0.02,-0.44,8.19,8.19,8.17
24.89,8.84,8.84,0.68,0.68,-0.66,-0.02,-0.45,8.19,8.19,8.16
25.14,8.82,8.82,0.66,0.65,-0.64,-0.02,-0.46,8.18,8.18,8.16
25.39,8.78,8.78,0.62,0.62,-0.62,-0.02,-0.47,8.16,8.16,8.16
25.65,8.74,8.75,0.58,0.59,-0.60,-0.02,-0.48,8.14,8.15,8.16
25.91,8.71,8.72,0.55,0.56,-0.58,-0.02,-0.50,8.14,8.14,8.16
26.16,8.70,8.70,0.55,0.54,-0.56,-0.01,-0.51,8.14,8.14,8.16
26.43,8.68,8.69,0.53,0.53,-0.54,-0.01,-0.52,8.14,8.14,8.16
26.69,8.68,8.68,0.53,0.53,-0.53,-0.01,-0.53,8.15,8.15,8.15
26.96,8.68,8.68,0.53,0.53,-0.52,-0.01,-0.54,8.16,8.16,8.15
27.23,8.68,8.68,0.53,0.53,-0.52,-0.01,-0.55,8.16,8.16,8.15
27.50,8.67,8.67,0.52,0.52,-0.51,-0.01,-0.56,8.16,8.16,8.15
27.77,8.66,8.66,0.52,0.51,-0.51,-0.01,-0.57,8.15,8.15,8.15
28.05,8.64,8.65,0.50,0.50,-0.50,-0.00,-0.58,8.14,8.15,8.14
28.33,8.63,8.63,0.49,0.49,-0.49,-0.00,-0.58,8.14,8.14,8.14
28.62,8.62,8.62,0.48,0.48,-0.48,-0.00,-0.59,8.14,8.13,8.14
