frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.14,14.14,4.30,4.30,-4.30,-4.63,-2.20,9.84,9.84,9.84
20.20,14.17,14.17,4.33,4.33,-4.33,-4.64,-2.27,9.84,9.84,9.84
20.40,14.20,14.20,4.36,4.36,-4.36,-4.64,-2.33,9.84,9.84,9.84
20.61,14.23,14.23,4.39,4.39,-4.39,-4.64,-2.40,9.84,9.84,9.84
20.81,14.25,14.25,4.42,4.42,-4.42,-4.65,-2.47,9.83,9.84,9.84
21.02,14.28,14.28,4.45,4.45,-4.45,-4.65,-2.54,9.83,9.83,9.84
21.23,14.31,14.31,4.48,4.47,-4.47,-4.65,-2.61,9.84,9.83,9.83
21.44,14.33,14.33,4.50,4.50,-4.50,-4.65,-2.69,9.83,9.84,9.83
21.66,14.36,14.36,4.53,4.53,-4.52,-4.66,-2.76,9.84,9.83,9.83
21.87,14.38,14.38,4.55,4.55,-4.55,-4.66,-2.84,9.83,9.83,9.83
22.09,14.40,14.40,4.57,4.57,-4.57,-4.66,-2.92,9.83,9.83,9.83
22.31,14.42,14.42,4.59,4.59,-4.60,-4.67,-3.01,9.83,9.83,9.83
22.54,14.45,14.45,4.62,4.62,-4.62,-4.67,-3.09,9.83,9.83,9.83
22.76,14.47,14.47,4.64,4.64,-4.64,-4.67,-3.18,9.83,9.83,9.83
22.99,14.49,14.49,4.66,4.66,-4.66,-4.68,-3.27,9.83,9.83,9.83
23.22,14.51,14.51,4.68,4.68,-4.68,-4.68,-3.37,9.83,9.83,9.83
23.45,14.53,14.53,4.71,4.71,-4.71,-4.68,-3.46,9.82,9.82,9.83
23.69,14.55,14.55,4.73,4.73,-4.73,-4.69,-3.56,9.82,9.82,9.82
23.92,14.57,14.57,4.75,4.75,-4.75,-4.69,-3.65,9.82,9.82,9.82
24.16,14.59,14.59,4.77,4.77,-4.77,-4.69,-3.75,9.82,9.82,9.82
24.40,14.61,14.61,4.79,4.79,-4.79,-4.70,-3.85,9.82,9.82,9.82
24.65,14.63,14.63,4.81,4.81,-4.81,-4.70,-3.96,9.82,9.82,9.82
24.89,14.65,14.65,4.83,4.83,-4.83,-4.70,-4.06,9.82,9.82,9.82
25.14,14.67,14.67,4.85,4.85,-4.85,-4.71,-4.17,9.82,9.82,9.82
25.39,14.68,14.68,4.87,4.87,-4.87,-4.71,-4.27,9.81,9.81,9.82
25.65,14.70,14.70,4.89,4.89,-4.89,-4.72,-4.38,9.81,9.81,9.81
25.91,14.72,14.72,4.91,4.91,-4.91,-4.72,-4.49,9.81,9.81,9.81
26.16,14.74,14.74,4.93,4.93,-4.93,-4.72,-4.60,9.82,9.81,9.81
26.43,14.75,14.75,4.94,4.94,-4.94,-4.73,-4.70,9.81,9.81,9.81
26.69,14.77,14.77,4.96,4.96,-4.96,-4.73,-4.81,9.81,9.81,9.81
26.96,14.78,14.78,4.97,4.98,-4.98,-4.74,-4.91,9.80,9.81,9.81
27.23,14.80,14.80,5.00,4.99,-4.99,-4.74,-5.01,9.81,9.80,9.80
27.50,14.81,14.81,5.01,5.01,-5.01,-4.74,-5.11,9.80,9.80,9.80
27.77,14.82,14.83,5.02,5.02,-5.02,-4.75,-5.21,9.80,9.80,9.80
28.05,14.84,14.84,5.04,5.04,-5.04,-4.75,-5.31,9.80,9.80,9.80
28.33,14.85,14.85,5.05,5.05,-5.05,-4.76,-5.39,9.80,9.80,9.80
28.62,14.86,14.86,5.07,5.06,-5.06,-4.76,-5.48,9.80,9.80,9.79
28.90,14.86,14.86,5.07,5.07,-5.07,-4.77,-5.56,9.79,9.79,9.79
29.19,14.87,14.87,5.08,5.08,-5.08,-4.77,-5.64,9.79,9.79,9.79
29.48,14.88,14.88,5.09,5.09,-5.09,-4.78,-5.70,9.79,9.79,9.79
29.78,14.88,14.88,5.10,5.10,-5.10,-4.78,-5.77,9.78,9.79,9.78
30.08,14.89,14.89,5.11,5.11,-5.10,-4.78,-5.82,9.79,9.78,9.78
30.38,14.89,14.89,5.11,5.11,-5.11,-4.79,-5.87,9.78,9.78,9.78
30.68,14.89,14.89,5.11,5.12,-5.11,-4.79,-5.90,9.78,9.78,9.78
30.99,14.89,14.89,5.12,5.12,-5.12,-4.80,-5.94,9.77,9.77,9.77
31.30,14.89,14.89,5.12,5.12,-5.12,-4.80,-5.96,9.77,9.77,9.77
31.61,14.89,14.89,5.12,5.12,-5.12,-4.81,-5.98,9.77,9.77,9.77
31.93,14.89,14.89,5.13,5.13,-5.13,-4.81,-5.98,9.76,9.77,9.76
32.24,14.89,14.89,5.13,5.13,-5.13,-4.82,-5.98,9.76,9.76,9.76
32.57,14.89,14.89,5.13,5.13,-5.13,-4.83,-5.98,9.76,9.76,9.76
32.89,14.88,14.88,5.13,5.13,-5.13,-4.83,-5.96,9.75,9.75,9.75
33.22,14.88,14.88,5.13,5.13,-5.13,-4.84,-5.94,9.75,9.75,9.75
33.55,14.88,14.88,5.13,5.13,-5.13,-4.84,-5.91,9.75,9.75,9.75
33.89,14.88,14.88,5.14,5.14,-5.13,-4.85,-5.88,9.75,9.74,9.74
34.23,14.87,14.87,5.13,5.14,-5.14,-4.85,-5.84,9.73,9.74,9.74
34.57,14.87,14.87,5.14,5.14,-5.14,-4.86,-5.80,9.73,9.73,9.73
34.92,14.87,14.87,5.14,5.14,-5.14,-4.86,-5.75,9.73,9.73,9.73
35.27,14.86,14.86,5.14,5.14,-5.14,-4.87,-5.70,9.72,9.72,9.72
35.62,14.86,14.86,5.14,5.14,-5.14,-4.87,-5.65,9.72,9.72,9.72
35.97,14.86,14.86,5.15,5.15,-5.15,-4.88,-5.59,9.71,9.71,9.71
36.33,14.86,14.86,5.15,5.15,-5.15,-4.89,-5.54,9.71,9.71,9.71
36.70,14.85,14.85,5.15,5.15,-5.15,-4.89,-5.48,9.70,9.70,9.70
37.06,14.85,14.85,5.15,5.15,-5.15,-4.90,-5.42,9.70,9.70,9.70
37.43,14.85,14.85,5.16,5.16,-5.16,-4.90,-5.36,9.70,9.69,9.69
37.81,14.84,14.84,5.16,5.16,-5.16,-4.91,-5.30,9.68,9.69,9.69
38.19,14.84,14.84,5.16,5.16,-5.16,-4.91,-5.25,9.68,9.68,9.68
38.57,14.83,14.83,5.16,5.16,-5.16,-4.92,-5.19,9.67,9.67,9.67
38.95,14.82,14.82,5.15,5.16,-5.16,-4.93,-5.13,9.66,9.67,9.67
39.34,14.82,14.82,5.16,5.16,-5.16,-4.93,-5.08,9.66,9.66,9.66
39.74,14.81,14.81,5.16,5.16,-5.16,-4.94,-5.03,9.65,9.65,9.65
40.14,14.80,14.80,5.16,5.16,-5.16,-4.94,-4.98,9.64,9.65,9.64
40.54,14.79,14.79,5.15,5.16,-5.15,-4.95,-4.94,9.64,9.64,9.64
40.94,14.78,14.78,5.15,5.15,-5.15,-4.96,-4.89,9.63,9.63,9.63
41.35,14.77,14.77,5.15,5.15,-5.15,-4.96,-4.86,9.62,9.62,9.62
