frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.15,10.15,3.49,3.49,-3.49,-3.58,-1.70,6.66,6.66,6.66
20.20,10.16,10.16,3.50,3.50,-3.50,-3.58,-1.75,6.66,6.66,6.66
20.40,10.17,10.17,3.51,3.51,-3.51,-3.58,-1.80,6.66,6.66,6.66
20.61,10.18,10.18,3.52,3.52,-3.52,-3.58,-1.86,6.66,6.66,6.66
20.81,10.18,10.18,3.52,3.52,-3.53,-3.58,-1.91,6.65,6.66,6.66
21.02,10.19,10.19,3.53,3.53,-3.54,-3.58,-1.97,6.66,6.66,6.66
21.23,10.20,10.20,3.54,3.54,-3.54,-3.58,-2.02,6.66,6.66,6.66
21.44,10.21,10.21,3.55,3.55,-3.55,-3.58,-2.08,6.66,6.66,6.66
21.66,10.22,10.22,3.56,3.56,-3.56,-3.58,-2.14,6.66,6.66,6.66
21.87,10.23,10.23,3.57,3.57,-3.57,-3.58,-2.21,6.66,6.66,6.66
22.09,10.23,10.24,3.58,3.58,-3.58,-3.58,-2.27,6.65,6.66,6.66
22.31,10.24,10.24,3.59,3.59,-3.59,-3.58,-2.34,6.65,6.65,6.65
22.54,10.25,10.25,3.60,3.59,-3.60,-3.58,-2.40,6.65,6.65,6.65
22.76,10.25,10.25,3.60,3.60,-3.60,-3.58,-2.47,6.65,6.65,6.65
22.99,10.26,10.26,3.61,3.61,-3.61,-3.58,-2.54,6.65,6.65,6.65
23.22,10.27,10.27,3.62,3.62,-3.62,-3.58,-2.62,6.65,6.65,6.65
23.45,10.28,10.28,3.63,3.63,-3.63,-3.58,-2.69,6.65,6.65,6.65
23.69,10.28,10.28,3.63,3.64,-3.63,-3.58,-2.77,6.65,6.65,6.65
23.92,10.29,10.29,3.64,3.64,-3.64,-3.58,-2.85,6.65,6.65,6.65
24.16,10.29,10.29,3.64,3.65,-3.65,-3.58,-2.92,6.64,6.65,6.65
24.40,10.30,10.30,3.66,3.65,-3.65,-3.58,-3.00,6.65,6.65,6.64
24.65,10.30,10.30,3.66,3.66,-3.66,-3.58,-3.09,6.64,6.64,6.64
24.89,10.30,10.30,3.66,3.66,-3.66,-3.58,-3.17,6.64,6.64,6.64
25.14,10.30,10.30,3.66,3.66,-3.66,-3.58,-3.25,6.64,6.64,6.64
25.39,10.31,10.31,3.67,3.67,-3.67,-3.58,-3.33,6.64,6.64,6.64
25.65,10.31,10.31,3.67,3.67,-3.67,-3.58,-3.42,6.64,6.64,6.64
25.91,10.31,10.31,3.67,3.68,-3.68,-3.57,-3.50,6.63,6.64,6.64
26.16,10.31,10.31,3.68,3.68,-3.68,-3.57,-3.58,6.63,6.63,6.63
