frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.22,8.22,1.58,1.57,-1.57,-1.66,-0.62,6.65,6.64,6.65
20.20,8.22,8.22,1.58,1.58,-1.58,-1.65,-0.64,6.64,6.64,6.64
20.40,8.23,8.23,1.59,1.59,-1.59,-1.65,-0.66,6.65,6.64,6.64
20.61,8.23,8.23,1.59,1.59,-1.59,-1.64,-0.68,6.64,6.64,6.64
20.81,8.24,8.24,1.60,1.60,-1.59,-1.64,-0.70,6.65,6.64,6.64
21.02,8.24,8.24,1.60,1.60,-1.60,-1.63,-0.72,6.64,6.64,6.64
21.23,8.24,8.24,1.60,1.60,-1.60,-1.63,-0.74,6.64,6.64,6.64
21.44,8.24,8.24,1.60,1.60,-1.60,-1.62,-0.77,6.64,6.64,6.64
21.66,8.24,8.24,1.60,1.60,-1.60,-1.61,-0.79,6.64,6.64,6.64
21.87,8.24,8.24,1.60,1.60,-1.60,-1.61,-0.82,6.64,6.64,6.64
22.09,8.24,8.24,1.60,1.60,-1.60,-1.60,-0.84,6.64,6.64,6.64
22.31,8.24,8.24,1.60,1.60,-1.60,-1.59,-0.87,6.64,6.64,6.64
22.54,8.24,8.24,1.60,1.60,-1.60,-1.59,-0.89,6.64,6.64,6.64
22.76,8.23,8.23,1.60,1.60,-1.60,-1.58,-0.92,6.63,6.64,6.64
22.99,8.23,8.23,1.60,1.60,-1.60,-1.57,-0.95,6.63,6.63,6.63
23.22,8.23,8.23,1.60,1.59,-1.59,-1.57,-0.98,6.64,6.63,6.63
23.45,8.22,8.22,1.59,1.59,-1.59,-1.56,-1.00,6.63,6.63,6.63
23.69,8.22,8.22,1.59,1.59,-1.59,-1.55,-1.03,6.63,6.63,6.63
23.92,8.21,8.21,1.58,1.58,-1.58,-1.54,-1.06,6.63,6.63,6.63
24.16,8.21,8.21,1.58,1.58,-1.58,-1.54,-1.09,6.63,6.63,6.63
24.40,8.20,8.20,1.57,1.57,-1.57,-1.53,-1.12,6.63,6.63,6.63
24.65,8.19,8.19,1.56,1.57,-1.57,-1.52,-1.15,6.62,6.63,6.63
24.89,8.18,8.18,1.56,1.56,-1.56,-1.51,-1.19,6.62,6.62,6.63
25.14,8.18,8.18,1.56,1.55,-1.55,-1.50,-1.22,6.63,6.62,6.62
25.39,8.17,8.17,1.55,1.55,-1.55,-1.49,-1.25,6.62,6.62,6.62
25.65,8.16,8.16,1.54,1.54,-1.54,-1.48,-1.28,6.62,6.62,6.62
25.91,8.15,8.15,1.53,1.53,-1.53,-1.47,-1.31,6.62,6.62,6.62
26.16,8.14,8.14,1.52,1.52,-1.52,-1.46,-1.34,6.62,6.62,6.62
26.43,8.13,8.13,1.51,1.51,-1.51,-1.45,-1.37,6.62,6.62,6.62
26.69,8.12,8.12,1.51,1.50,-1.50,-1.44,-1.40,6.62,6.61,6.61
26.96,8.10,8.11,1.49,1.49,-1.49,-1.43,-1.43,6.61,6.61,6.61
27.23,8.09,8.09,1.48,1.48,-1.48,-1.42,-1.46,6.61,6.61,6.61
27.50,8.08,8.08,1.47,1.47,-1.47,-1.41,-1.49,6.61,6.61,6.61
27.77,8.06,8.06,1.45,1.45,-1.45,-1.40,-1.51,6.61,6.61,6.61
28.05,8.04,8.04,1.44,1.44,-1.44,-1.39,-1.53,6.60,6.61,6.61
28.33,8.03,8.03,1.43,1.42,-1.42,-1.38,-1.56,6.61,6.60,6.60
28.62,8.01,8.01,1.41,1.41,-1.41,-1.37,-1.58,6.60,6.60,6.60
28.90,7.99,7.99,1.39,1.39,-1.39,-1.36,-1.60,6.60,6.60,6.60
29.19,7.97,7.97,1.37,1.38,-1.38,-1.34,-1.61,6.59,6.60,6.60
29.48,7.96,7.96,1.37,1.36,-1.36,-1.33,-1.63,6.60,6.59,6.59
29.78,7.94,7.94,1.35,1.35,-1.35,-1.32,-1.64,6.59,6.59,6.59
30.08,7.92,7.92,1.33,1.33,-1.33,-1.31,-1.65,6.59,6.59,6.59
30.38,7.90,7.90,1.31,1.31,-1.32,-1.29,-1.65,6.59,6.59,6.59
30.68,7.88,7.88,1.30,1.30,-1.30,-1.28,-1.65,6.58,6.58,6.58
30.99,7.86,7.86,1.28,1.28,-1.28,-1.26,-1.66,6.58,6.58,6.58
31.30,7.84,7.84,1.26,1.26,-1.26,-1.25,-1.65,6.58,6.58,6.58
31.61,7.82,7.82,1.25,1.24,-1.24,-1.23,-1.65,6.58,6.58,6.57
31.93,7.79,7.80,1.22,1.22,-1.22,-1.22,-1.64,6.57,6.57,6.57
32.24,7.77,7.77,1.20,1.20,-1.20,-1.20,-1.63,6.57,6.57,6.57
32.57,7.75,7.75,1.19,1.18,-1.18,-1.19,-1.61,6.57,6.56,6.56
32.89,7.72,7.72,1.16,1.16,-1.16,-1.17,-1.59,6.56,6.56,6.56
33.22,7.70,7.70,1.14,1.15,-1.14,-1.16,-1.57,6.56,6.56,6.56
33.55,7.68,7.68,1.13,1.13,-1.13,-1.14,-1.55,6.55,6.55,6.55
33.89,7.66,7.66,1.11,1.11,-1.11,-1.12,-1.53,6.55,6.55,6.55
34.23,7.63,7.63,1.09,1.09,-1.09,-1.10,-1.50,6.54,6.54,6.54
34.57,7.61,7.61,1.07,1.07,-1.08,-1.09,-1.47,6.53,6.53,6.54
34.92,7.60,7.60,1.07,1.06,-1.07,-1.07,-1.44,6.54,6.53,6.54
35.27,7.58,7.58,1.05,1.05,-1.05,-1.05,-1.41,6.53,6.53,6.53
35.62,7.57,7.57,1.04,1.04,-1.04,-1.03,-1.37,6.54,6.53,6.53
35.97,7.54,7.54,1.02,1.02,-1.02,-1.01,-1.34,6.52,6.53,6.52
36.33,7.52,7.52,1.00,1.00,-1.00,-0.99,-1.30,6.52,6.52,6.52
36.70,7.49,7.49,0.98,0.98,-0.98,-0.97,-1.26,6.51,6.51,6.51
37.06,7.46,7.46,0.96,0.96,-0.96,-0.95,-1.22,6.50,6.51,6.50
37.43,7.43,7.43,0.93,0.93,-0.93,-0.93,-1.18,6.50,6.50,6.50
37.81,7.39,7.39,0.90,0.90,-0.90,-0.91,-1.14,6.49,6.49,6.49
38.19,7.35,7.36,0.86,0.87,-0.87,-0.88,-1.10,6.48,6.49,6.49
38.57,7.32,7.32,0.84,0.84,-0.84,-0.86,-1.06,6.49,6.48,6.48
38.95,7.28,7.28,0.81,0.80,-0.80,-0.84,-1.02,6.48,6.47,6.47
39.34,7.23,7.23,0.76,0.77,-0.77,-0.82,-0.98,6.46,6.47,6.47
39.74,7.19,7.19,0.73,0.73,-0.74,-0.79,-0.93,6.46,6.45,6.46
40.14,7.15,7.15,0.70,0.70,-0.70,-0.77,-0.89,6.45,6.45,6.45
40.54,7.11,7.11,0.67,0.67,-0.67,-0.74,-0.85,6.44,6.44,6.44
40.94,7.08,7.08,0.65,0.64,-0.64,-0.72,-0.81,6.44,6.43,6.43
41.35,7.04,7.04,0.61,0.62,-0.62,-0.69,-0.77,6.42,6.43,6.43
41.76,7.01,7.01,0.59,0.59,-0.59,-0.67,-0.73,6.42,6.42,6.42
42.18,6.97,6.97,0.56,0.56,-0.56,-0.64,-0.69,6.41,6.41,6.41
42.60,6.94,6.94,0.54,0.54,-0.54,-0.62,-0.65,6.40,6.40,6.40
43.03,6.90,6.90,0.51,0.51,-0.51,-0.59,-0.61,6.39,6.39,6.39
43.46,6.87,6.87,0.49,0.49,-0.49,-0.56,-0.57,6.38,6.38,6.38
43.90,6.83,6.83,0.46,0.46,-0.46,-0.54,-0.53,6.37,6.37,6.37
44.33,6.79,6.79,0.43,0.43,-0.43,-0.51,-0.49,6.36,6.36,6.36
44.78,6.75,6.75,0.40,0.41,-0.41,-0.48,-0.45,6.34,6.35,6.35
45.23,6.72,6.72,0.39,0.38,-0.38,-0.45,-0.41,6.34,6.34,6.34
45.68,6.68,6.68,0.36,0.36,-0.36,-0.42,-0.37,6.33,6.33,6.32
46.13,6.64,6.64,0.33,0.33,-0.33,-0.39,-0.34,6.31,6.31,6.31
46.60,6.60,6.60,0.30,0.30,-0.30,-0.37,-0.30,6.30,6.30,6.30
47.06,6.56,6.56,0.28,0.28,-0.28,-0.34,-0.26,6.28,6.28,6.28
47.53,6.52,6.52,0.25,0.25,-0.25,-0.31,-0.23,6.27,6.27,6.27
48.01,6.49,6.49,0.23,0.23,-0.23,-0.28,-0.19,6.26,6.26,6.26
48.49,6.45,6.45,0.21,0.21,-0.21,-0.25,-0.16,6.24,6.24,6.24
