frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.33,8.34,2.84,2.84,-2.84,-3.03,-1.53,5.50,5.50,5.50
20.20,8.37,8.37,2.88,2.87,-2.87,-3.04,-1.58,5.50,5.50,5.50
20.40,8.40,8.40,2.91,2.91,-2.91,-3.05,-1.62,5.50,5.50,5.50
20.61,8.43,8.43,2.94,2.94,-2.94,-3.06,-1.67,5.49,5.49,5.49
20.81,8.46,8.46,2.97,2.97,-2.97,-3.07,-1.72,5.49,5.49,5.49
21.02,8.49,8.49,3.00,3.00,-3.00,-3.08,-1.77,5.49,5.49,5.49
21.23,8.52,8.52,3.03,3.03,-3.03,-3.09,-1.82,5.49,5.49,5.49
21.44,8.55,8.55,3.06,3.06,-3.06,-3.10,-1.88,5.49,5.49,5.49
21.66,8.58,8.58,3.09,3.09,-3.09,-3.11,-1.93,5.49,5.49,5.49
21.87,8.61,8.61,3.12,3.12,-3.12,-3.13,-1.99,5.50,5.49,5.49
22.09,8.63,8.63,3.14,3.14,-3.14,-3.14,-2.05,5.49,5.49,5.49
22.31,8.65,8.66,3.16,3.17,-3.17,-3.15,-2.11,5.48,5.49,5.49
22.54,8.68,8.68,3.19,3.19,-3.19,-3.16,-2.17,5.49,5.49,5.49
22.76,8.70,8.70,3.22,3.22,-3.22,-3.18,-2.23,5.49,5.49,5.49
22.99,8.72,8.72,3.24,3.24,-3.24,-3.19,-2.30,5.48,5.49,5.49
23.22,8.74,8.74,3.26,3.26,-3.26,-3.20,-2.36,5.48,5.49,5.48
23.45,8.76,8.76,3.28,3.28,-3.28,-3.22,-2.43,5.49,5.48,5.48
23.69,8.78,8.78,3.30,3.30,-3.30,-3.23,-2.50,5.49,5.48,5.48
23.92,8.79,8.80,3.31,3.32,-3.31,-3.25,-2.57,5.48,5.48,5.48
24.16,8.81,8.81,3.33,3.33,-3.33,-3.26,-2.64,5.48,5.48,5.48
24.40,8.82,8.82,3.34,3.34,-3.34,-3.28,-2.71,5.48,5.48,5.48
24.65,8.83,8.83,3.35,3.36,-3.36,-3.29,-2.79,5.47,5.48,5.48
24.89,8.84,8.85,3.37,3.37,-3.37,-3.31,-2.86,5.47,5.47,5.48
25.14,8.86,8.86,3.39,3.38,-3.39,-3.32,-2.94,5.48,5.47,5.48
25.39,8.87,8.87,3.40,3.40,-3.40,-3.34,-3.01,5.47,5.47,5.47
25.65,8.88,8.88,3.41,3.41,-3.41,-3.35,-3.09,5.47,5.47,5.47
25.91,8.89,8.89,3.42,3.42,-3.42,-3.37,-3.16,5.47,5.47,5.47
26.16,8.90,8.90,3.43,3.43,-3.43,-3.39,-3.24,5.47,5.47,5.47
26.43,8.91,8.91,3.45,3.44,-3.44,-3.40,-3.31,5.47,5.47,5.47
26.69,8.91,8.92,3.45,3.45,-3.45,-3.41,-3.39,5.46,5.47,5.47
26.96,8.92,8.92,3.46,3.46,-3.45,-3.43,-3.46,5.47,5.47,5.46
27.23,8.92,8.92,3.46,3.46,-3.46,-3.44,-3.53,5.46,5.46,5.46
27.50,8.92,8.92,3.46,3.46,-3.47,-3.46,-3.60,5.46,5.46,5.46
27.77,8.92,8.93,3.46,3.47,-3.47,-3.47,-3.67,5.45,5.46,5.46
28.05,8.93,8.93,3.48,3.47,-3.47,-3.48,-3.73,5.46,5.45,5.46
28.33,8.93,8.93,3.48,3.48,-3.48,-3.49,-3.79,5.45,5.45,5.45
28.62,8.93,8.94,3.48,3.48,-3.48,-3.50,-3.85,5.45,5.45,5.45
28.90,8.94,8.94,3.49,3.49,-3.49,-3.51,-3.90,5.45,5.45,5.45
29.19,8.94,8.94,3.50,3.49,-3.49,-3.51,-3.95,5.45,5.45,5.45
29.48,8.94,8.94,3.50,3.50,-3.50,-3.52,-3.99,5.45,5.45,5.45
29.78,8.94,8.94,3.50,3.50,-3.50,-3.52,-4.03,5.44,5.44,5.44
30.08,8.94,8.94,3.50,3.50,-3.50,-3.52,-4.07,5.44,5.44,5.44
30.38,8.94,8.94,3.51,3.50,-3.50,-3.53,-4.10,5.44,5.44,5.44
30.68,8.94,8.94,3.51,3.50,-3.51,-3.52,-4.12,5.44,5.43,5.43
30.99,8.93,8.94,3.50,3.51,-3.51,-3.52,-4.14,5.43,5.43,5.43
31.30,8.93,8.93,3.50,3.50,-3.51,-3.52,-4.15,5.43,5.43,5.43
31.61,8.93,8.93,3.51,3.50,-3.51,-3.51,-4.15,5.43,5.42,5.43
31.93,8.92,8.93,3.50,3.50,-3.50,-3.51,-4.15,5.42,5.42,5.42
32.24,8.92,8.92,3.50,3.50,-3.50,-3.50,-4.14,5.42,5.42,5.42
32.57,8.91,8.91,3.50,3.50,-3.50,-3.49,-4.13,5.42,5.42,5.42
32.89,8.90,8.90,3.49,3.49,-3.49,-3.48,-4.11,5.41,5.41,5.41
33.22,8.89,8.89,3.48,3.48,-3.48,-3.47,-4.09,5.41,5.41,5.41
33.55,8.88,8.88,3.48,3.48,-3.48,-3.45,-4.06,5.41,5.40,5.40
33.89,8.86,8.87,3.46,3.47,-3.47,-3.44,-4.03,5.40,5.40,5.40
34.23,8.85,8.85,3.46,3.46,-3.46,-3.42,-3.99,5.39,5.39,5.40
34.57,8.84,8.84,3.45,3.45,-3.45,-3.41,-3.95,5.39,5.39,5.39
34.92,8.82,8.83,3.44,3.44,-3.44,-3.39,-3.91,5.38,5.39,5.39
35.27,8.81,8.81,3.43,3.43,-3.43,-3.37,-3.86,5.38,5.38,5.38
35.62,8.79,8.79,3.42,3.42,-3.42,-3.36,-3.81,5.37,5.37,5.38
35.97,8.78,8.78,3.41,3.41,-3.41,-3.34,-3.76,5.37,5.37,5.37
36.33,8.76,8.77,3.40,3.40,-3.40,-3.32,-3.71,5.36,5.37,5.37
36.70,8.75,8.75,3.39,3.39,-3.39,-3.30,-3.66,5.37,5.37,5.36
37.06,8.73,8.73,3.38,3.38,-3.37,-3.28,-3.60,5.36,5.36,5.36
37.43,8.71,8.71,3.36,3.36,-3.36,-3.26,-3.55,5.36,5.35,5.35
37.81,8.68,8.69,3.34,3.34,-3.34,-3.24,-3.49,5.34,5.34,5.34
38.19,8.66,8.66,3.33,3.32,-3.33,-3.22,-3.44,5.34,5.33,5.34
38.57,8.63,8.64,3.30,3.30,-3.31,-3.21,-3.38,5.32,5.33,5.33
38.95,8.61,8.61,3.29,3.29,-3.29,-3.19,-3.33,5.32,5.32,5.32
39.34,8.59,8.59,3.28,3.27,-3.28,-3.17,-3.28,5.31,5.31,5.32
39.74,8.57,8.57,3.26,3.26,-3.26,-3.15,-3.23,5.31,5.31,5.31
40.14,8.55,8.55,3.25,3.25,-3.25,-3.13,-3.17,5.30,5.30,5.30
40.54,8.53,8.53,3.24,3.24,-3.23,-3.11,-3.13,5.30,5.30,5.29
40.94,8.51,8.51,3.23,3.22,-3.22,-3.09,-3.08,5.29,5.29,5.29
41.35,8.48,8.48,3.21,3.21,-3.20,-3.08,-3.03,5.28,5.28,5.28
41.76,8.45,8.45,3.18,3.18,-3.18,-3.06,-2.99,5.27,5.27,5.27
42.18,8.42,8.42,3.16,3.16,-3.17,-3.04,-2.95,5.26,5.26,5.26
42.60,8.39,8.39,3.14,3.14,-3.14,-3.02,-2.91,5.25,5.25,5.25
43.03,8.36,8.36,3.12,3.12,-3.12,-3.01,-2.87,5.24,5.24,5.24
43.46,8.33,8.33,3.10,3.10,-3.10,-2.99,-2.84,5.23,5.23,5.23
43.90,8.30,8.30,3.08,3.08,-3.08,-2.97,-2.80,5.22,5.22,5.22
44.33,8.27,8.27,3.06,3.06,-3.06,-2.96,-2.77,5.21,5.21,5.21
44.78,8.24,8.24,3.04,3.04,-3.04,-2.94,-2.74,5.20,5.20,5.20
45.23,8.20,8.21,3.02,3.02,-3.02,-2.92,-2.71,5.18,5.19,5.19
45.68,8.17,8.17,3.00,3.00,-3.00,-2.91,-2.69,5.17,5.17,5.17
46.13,8.14,8.14,2.98,2.98,-2.99,-2.89,-2.67,5.16,5.16,5.16
46.60,8.11,8.11,2.96,2.97,-2.97,-2.88,-2.65,5.14,5.15,5.15
47.06,8.08,8.09,2.95,2.95,-2.95,-2.86,-2.63,5.13,5.14,5.14
47.53,8.06,8.06,2.94,2.94,-2.93,-2.84,-2.61,5.13,5.12,5.12
48.01,8.02,8.03,2.92,2.92,-2.91,-2.83,-2.60,5.11,5.11,5.11
48.49,7.99,7.99,2.90,2.90,-2.89,-2.81,-2.58,5.10,5.10,5.09
48.97,7.95,7.95,2.87,2.87,-2.87,-2.80,-2.57,5.08,5.08,5.08
49.46,7.90,7.91,2.84,2.84,-2.84,-2.78,-2.56,5.06,5.06,5.06
49.96,7.86,7.86,2.82,2.82,-2.82,-2.76,-2.56,5.05,5.04,5.05
50.46,7.81,7.82,2.78,2.79,-2.79,-2.75,-2.55,5.02,5.03,5.03
50.96,7.77,7.77,2.76,2.76,-2.76,-2.73,-2.54,5.01,5.01,5.01
51.47,7.72,7.72,2.73,2.73,-2.73,-2.72,-2.54,4.99,4.99,4.99
51.99,7.67,7.68,2.70,2.70,-2.70,-2.70,-2.54,4.97,4.97,4.97
