frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.01,10.01,1.76,1.75,-1.76,-2.12,-1.09,8.25,8.25,8.25
20.20,10.03,10.03,1.78,1.78,-1.78,-2.12,-1.12,8.25,8.25,8.25
20.40,10.05,10.05,1.80,1.80,-1.80,-2.12,-1.16,8.25,8.25,8.25
20.61,10.08,10.08,1.83,1.83,-1.82,-2.13,-1.19,8.26,8.25,8.25
20.81,10.10,10.10,1.85,1.85,-1.85,-2.13,-1.22,8.25,8.25,8.25
21.02,10.12,10.12,1.87,1.87,-1.87,-2.13,-1.26,8.25,8.25,8.25
21.23,10.14,10.14,1.89,1.89,-1.89,-2.14,-1.30,8.25,8.25,8.25
21.44,10.16,10.16,1.91,1.91,-1.91,-2.14,-1.33,8.25,8.25,8.25
21.66,10.18,10.18,1.93,1.93,-1.94,-2.14,-1.37,8.24,8.25,8.25
21.87,10.20,10.20,1.95,1.96,-1.96,-2.15,-1.41,8.24,8.25,8.25
22.09,10.23,10.23,1.98,1.98,-1.98,-2.15,-1.45,8.25,8.25,8.25
22.31,10.25,10.25,2.01,2.00,-2.00,-2.15,-1.50,8.25,8.25,8.25
22.54,10.27,10.27,2.03,2.03,-2.02,-2.16,-1.54,8.25,8.25,8.25
22.76,10.29,10.29,2.05,2.05,-2.05,-2.16,-1.58,8.24,8.24,8.24
22.99,10.31,10.31,2.07,2.07,-2.07,-2.16,-1.63,8.24,8.24,8.24
23.22,10.33,10.33,2.09,2.09,-2.09,-2.17,-1.68,8.24,8.24,8.24
23.45,10.35,10.35,2.11,2.11,-2.11,-2.17,-1.72,8.24,8.24,8.24
23.69,10.37,10.37,2.13,2.13,-2.13,-2.17,-1.77,8.24,8.24,8.24
23.92,10.39,10.39,2.15,2.15,-2.15,-2.18,-1.82,8.24,8.24,8.24
24.16,10.40,10.40,2.16,2.17,-2.17,-2.18,-1.87,8.24,8.24,8.24
24.40,10.42,10.42,2.18,2.18,-2.18,-2.19,-1.92,8.24,8.23,8.24
24.65,10.43,10.43,2.20,2.20,-2.20,-2.19,-1.97,8.23,8.23,8.24
24.89,10.45,10.45,2.22,2.22,-2.22,-2.20,-2.02,8.23,8.23,8.23
25.14,10.47,10.47,2.24,2.24,-2.23,-2.20,-2.08,8.24,8.23,8.23
25.39,10.48,10.48,2.25,2.25,-2.25,-2.20,-2.13,8.23,8.23,8.23
