frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.23,9.23,3.09,3.09,-3.09,-3.25,-1.21,6.14,6.14,6.14
20.20,9.23,9.23,3.09,3.09,-3.09,-3.23,-1.25,6.14,6.14,6.14
20.40,9.23,9.23,3.09,3.09,-3.10,-3.22,-1.28,6.13,6.13,6.13
20.61,9.23,9.23,3.09,3.09,-3.10,-3.21,-1.32,6.13,6.13,6.13
20.81,9.23,9.23,3.09,3.09,-3.10,-3.19,-1.36,6.13,6.13,6.13
21.02,9.23,9.23,3.10,3.10,-3.10,-3.18,-1.40,6.13,6.13,6.13
21.23,9.23,9.23,3.10,3.10,-3.10,-3.17,-1.45,6.13,6.13,6.13
21.44,9.23,9.23,3.10,3.10,-3.09,-3.15,-1.49,6.13,6.13,6.13
21.66,9.23,9.22,3.10,3.09,-3.09,-3.14,-1.54,6.14,6.13,6.13
21.87,9.22,9.22,3.09,3.09,-3.09,-3.13,-1.58,6.13,6.13,6.13
22.09,9.21,9.21,3.08,3.08,-3.08,-3.11,-1.63,6.13,6.13,6.13
22.31,9.20,9.20,3.07,3.07,-3.07,-3.10,-1.68,6.13,6.13,6.13
22.54,9.19,9.19,3.06,3.06,-3.06,-3.08,-1.73,6.13,6.13,6.13
22.76,9.17,9.17,3.04,3.04,-3.05,-3.07,-1.78,6.12,6.13,6.13
22.99,9.16,9.16,3.03,3.03,-3.03,-3.05,-1.83,6.13,6.12,6.12
23.22,9.14,9.14,3.01,3.02,-3.02,-3.04,-1.89,6.12,6.12,6.12
23.45,9.13,9.13,3.00,3.00,-3.00,-3.02,-1.94,6.12,6.12,6.12
23.69,9.11,9.11,2.99,2.99,-2.99,-3.00,-2.00,6.12,6.12,6.12
23.92,9.10,9.10,2.98,2.97,-2.98,-2.99,-2.06,6.12,6.12,6.12
24.16,9.08,9.08,2.96,2.96,-2.96,-2.97,-2.12,6.12,6.12,6.12
24.40,9.07,9.07,2.95,2.95,-2.95,-2.95,-2.18,6.12,6.12,6.12
24.65,9.05,9.05,2.93,2.93,-2.93,-2.94,-2.24,6.11,6.12,6.12
24.89,9.04,9.03,2.92,2.92,-2.92,-2.92,-2.30,6.12,6.12,6.12
25.14,9.02,9.02,2.90,2.90,-2.90,-2.90,-2.36,6.11,6.11,6.11
25.39,9.00,9.00,2.88,2.89,-2.89,-2.88,-2.42,6.11,6.11,6.11
25.65,8.99,8.98,2.88,2.87,-2.87,-2.87,-2.48,6.12,6.11,6.11
25.91,8.97,8.97,2.86,2.86,-2.86,-2.85,-2.54,6.11,6.11,6.11
26.16,8.95,8.95,2.84,2.84,-2.84,-2.83,-2.60,6.11,6.11,6.11
26.43,8.93,8.93,2.82,2.82,-2.82,-2.81,-2.66,6.11,6.11,6.11
26.69,8.91,8.91,2.80,2.80,-2.80,-2.79,-2.72,6.10,6.10,6.11
26.96,8.89,8.89,2.78,2.78,-2.79,-2.77,-2.77,6.10,6.10,6.10
27.23,8.87,8.87,2.77,2.77,-2.77,-2.75,-2.83,6.10,6.10,6.10
27.50,8.85,8.85,2.75,2.75,-2.75,-2.73,-2.88,6.10,6.10,6.10
27.77,8.83,8.83,2.73,2.73,-2.73,-2.71,-2.93,6.10,6.10,6.10
28.05,8.81,8.81,2.71,2.71,-2.71,-2.69,-2.98,6.10,6.10,6.10
28.33,8.79,8.78,2.69,2.69,-2.69,-2.66,-3.03,6.10,6.09,6.09
28.62,8.76,8.76,2.67,2.67,-2.67,-2.64,-3.07,6.09,6.09,6.09
28.90,8.74,8.74,2.65,2.65,-2.65,-2.62,-3.11,6.09,6.09,6.09
29.19,8.72,8.71,2.63,2.63,-2.63,-2.60,-3.14,6.09,6.08,6.09
29.48,8.69,8.69,2.60,2.61,-2.61,-2.58,-3.17,6.08,6.08,6.08
29.78,8.67,8.67,2.59,2.59,-2.59,-2.55,-3.20,6.08,6.08,6.08
30.08,8.65,8.64,2.57,2.57,-2.57,-2.53,-3.21,6.08,6.08,6.08
30.38,8.62,8.62,2.54,2.54,-2.54,-2.50,-3.23,6.07,6.08,6.08
30.68,8.60,8.60,2.52,2.52,-2.52,-2.48,-3.24,6.08,6.07,6.07
30.99,8.57,8.57,2.50,2.50,-2.50,-2.46,-3.24,6.07,6.07,6.07
31.30,8.55,8.55,2.48,2.48,-2.48,-2.43,-3.24,6.07,6.07,6.07
31.61,8.52,8.52,2.45,2.45,-2.45,-2.41,-3.23,6.07,6.07,6.06
31.93,8.49,8.49,2.43,2.43,-2.43,-2.38,-3.22,6.06,6.06,6.06
32.24,8.46,8.46,2.40,2.40,-2.40,-2.35,-3.20,6.06,6.06,6.06
32.57,8.43,8.43,2.37,2.37,-2.37,-2.33,-3.17,6.05,6.05,6.05
32.89,8.40,8.40,2.35,2.35,-2.35,-2.30,-3.15,6.05,6.05,6.05
33.22,8.37,8.36,2.32,2.32,-2.32,-2.27,-3.11,6.05,6.05,6.05
33.55,8.33,8.33,2.28,2.29,-2.29,-2.25,-3.07,6.04,6.04,6.04
33.89,8.30,8.30,2.26,2.26,-2.26,-2.22,-3.03,6.04,6.04,6.04
34.23,8.27,8.26,2.23,2.23,-2.23,-2.19,-2.98,6.04,6.04,6.03
34.57,8.23,8.23,2.20,2.20,-2.20,-2.16,-2.93,6.03,6.03,6.03
34.92,8.19,8.19,2.16,2.16,-2.16,-2.13,-2.87,6.02,6.03,6.03
35.27,8.15,8.15,2.13,2.13,-2.13,-2.10,-2.81,6.02,6.02,6.02
35.62,8.12,8.11,2.10,2.10,-2.10,-2.07,-2.75,6.02,6.01,6.02
35.97,8.08,8.08,2.07,2.07,-2.07,-2.04,-2.69,6.01,6.01,6.01
36.33,8.05,8.04,2.04,2.04,-2.04,-2.01,-2.63,6.01,6.00,6.01
36.70,8.01,8.01,2.01,2.01,-2.01,-1.98,-2.56,6.00,6.00,6.00
37.06,7.98,7.98,1.98,1.98,-1.98,-1.95,-2.49,6.00,6.00,5.99
37.43,7.95,7.94,1.96,1.95,-1.95,-1.92,-2.42,6.00,5.99,5.99
37.81,7.91,7.91,1.92,1.93,-1.92,-1.89,-2.35,5.99,5.99,5.98
38.19,7.87,7.87,1.89,1.89,-1.89,-1.85,-2.28,5.98,5.98,5.98
38.57,7.83,7.83,1.86,1.86,-1.86,-1.82,-2.21,5.97,5.97,5.97
38.95,7.79,7.79,1.82,1.83,-1.83,-1.79,-2.14,5.96,5.96,5.96
39.34,7.76,7.75,1.80,1.80,-1.80,-1.76,-2.07,5.96,5.95,5.96
39.74,7.72,7.72,1.77,1.77,-1.77,-1.72,-2.00,5.95,5.95,5.95
40.14,7.68,7.68,1.74,1.74,-1.74,-1.69,-1.93,5.94,5.94,5.94
40.54,7.64,7.64,1.70,1.71,-1.70,-1.65,-1.86,5.93,5.94,5.93
40.94,7.60,7.60,1.67,1.67,-1.67,-1.62,-1.79,5.93,5.93,5.93
41.35,7.56,7.55,1.64,1.63,-1.63,-1.58,-1.72,5.93,5.92,5.92
41.76,7.50,7.50,1.59,1.59,-1.59,-1.55,-1.65,5.91,5.91,5.91
42.18,7.45,7.45,1.55,1.55,-1.55,-1.51,-1.58,5.90,5.90,5.90
42.60,7.40,7.40,1.51,1.51,-1.51,-1.48,-1.52,5.89,5.89,5.89
43.03,7.35,7.34,1.47,1.46,-1.47,-1.44,-1.45,5.88,5.88,5.88
43.46,7.29,7.29,1.42,1.42,-1.42,-1.40,-1.39,5.86,5.87,5.87
43.90,7.24,7.24,1.38,1.38,-1.38,-1.37,-1.32,5.86,5.86,5.86
44.33,7.19,7.19,1.34,1.34,-1.34,-1.33,-1.26,5.85,5.85,5.85
44.78,7.14,7.14,1.30,1.30,-1.30,-1.29,-1.20,5.84,5.84,5.84
45.23,7.09,7.09,1.26,1.26,-1.26,-1.25,-1.14,5.83,5.83,5.83
45.68,7.04,7.04,1.22,1.23,-1.22,-1.22,-1.08,5.81,5.82,5.81
46.13,6.99,6.99,1.19,1.19,-1.18,-1.18,-1.02,5.80,5.80,5.80
46.60,6.94,6.94,1.15,1.15,-1.14,-1.14,-0.97,5.79,5.79,5.79
47.06,6.88,6.88,1.10,1.11,-1.10,-1.10,-0.91,5.77,5.78,5.77
47.53,6.83,6.83,1.07,1.06,-1.06,-1.06,-0.85,5.76,5.76,5.76
48.01,6.77,6.77,1.02,1.02,-1.02,-1.02,-0.80,5.74,5.75,5.75
48.49,6.72,6.72,0.99,0.98,-0.98,-0.98,-0.75,5.73,5.73,5.73
48.97,6.66,6.66,0.94,0.94,-0.95,-0.94,-0.69,5.71,5.71,5.72
49.46,6.61,6.60,0.91,0.90,-0.91,-0.90,-0.64,5.70,5.70,5.70
49.96,6.55,6.55,0.86,0.87,-0.87,-0.86,-0.59,5.68,5.68,5.68
50.46,6.50,6.50,0.83,0.83,-0.83,-0.82,-0.54,5.67,5.67,5.67
50.96,6.45,6.44,0.80,0.79,-0.79,-0.78,-0.49,5.66,5.65,5.65
51.47,6.39,6.39,0.76,0.76,-0.75,-0.74,-0.45,5.63,5.64,5.63
51.99,6.33,6.33,0.71,0.72,-0.71,-0.70,-0.40,5.61,5.62,5.61
52.51,6.27,6.27,0.67,0.67,-0.67,-0.66,-0.35,5.60,5.59,5.59
53.03,6.21,6.21,0.63,0.63,-0.63,-0.62,-0.31,5.58,5.57,5.57
53.56,6.14,6.14,0.58,0.59,-0.59,-0.58,-0.27,5.55,5.55,5.55
54.10,6.08,6.08,0.55,0.54,-0.54,-0.54,-0.22,5.53,5.53,5.53
54.64,6.01,6.01,0.50,0.50,-0.50,-0.50,-0.18,5.51,5.51,5.51
55.18,5.95,5.95,0.46,0.46,-0.46,-0.46,-0.14,5.49,5.49,5.49
55.74,5.88,5.88,0.41,0.41,-0.41,-0.42,-0.10,5.47,5.46,5.46
56.29,5.81,5.81,0.37,0.37,-0.37,-0.38,-0.06,5.44,5.44,5.44
56.86,5.74,5.74,0.32,0.32,-0.32,-0.34,-0.02,5.42,5.42,5.42
57.42,5.67,5.67,0.28,0.28,-0.28,-0.30,0.01,5.39,5.39,5.39
58.00,5.60,5.60,0.23,0.23,-0.23,-0.26,0.05,5.37,5.37,5.36
58.58,5.53,5.52,0.19,0.19,-0.19,-0.22,0.08,5.34,5.34,5.34
59.16,5.45,5.45,0.14,0.14,-0.15,-0.18,0.11,5.30,5.30,5.31
59.76,5.38,5.38,0.10,0.10,-0.10,-0.14,0.15,5.27,5.27,5.28
60.35,5.31,5.31,0.06,0.06,-0.06,-0.10,0.18,5.24,5.25,5.25
60.96,5.25,5.24,0.03,0.03,-0.03,-0.06,0.20,5.22,5.22,5.22
61.57,5.18,5.18,-0.01,-0.01,0.01,-0.02,0.23,5.19,5.19,5.19
62.18,5.11,5.11,-0.05,-0.05,0.05,0.02,0.26,5.16,5.16,5.15
62.80,5.04,5.04,-0.08,-0.08,0.08,0.06,0.28,5.12,5.12,5.12
63.43,4.97,4.97,-0.12,-0.12,0.12,0.10,0.31,5.09,5.09,5.09
64.07,4.90,4.90,-0.15,-0.16,0.16,0.14,0.33,5.05,5.05,5.05
64.71,4.83,4.83,-0.19,-0.19,0.19,0.18,0.35,5.02,5.02,5.02
65.35,4.75,4.75,-0.23,-0.23,0.23,0.21,0.37,4.98,4.98,4.98
66.01,4.68,4.68,-0.26,-0.27,0.26,0.25,0.39,4.94,4.94,4.94
66.67,4.60,4.60,-0.30,-0.30,0.30,0.29,0.41,4.90,4.90,4.90
67.33,4.53,4.53,-0.33,-0.34,0.34,0.32,0.43,4.87,4.86,4.86
68.01,4.45,4.45,-0.37,-0.37,0.37,0.36,0.45,4.82,4.82,4.82
68.69,4.37,4.37,-0.41,-0.41,0.41,0.39,0.47,4.78,4.78,4.78
69.37,4.29,4.29,-0.45,-0.45,0.45,0.43,0.48,4.73,4.73,4.74
70.07,4.21,4.21,-0.48,-0.48,0.48,0.46,0.50,4.69,4.69,4.69
70.77,4.13,4.13,-0.52,-0.52,0.52,0.50,0.51,4.65,4.65,4.65
71.48,4.05,4.05,-0.55,-0.55,0.55,0.53,0.53,4.60,4.60,4.60
72.19,3.97,3.97,-0.59,-0.58,0.59,0.57,0.54,4.55,4.55,4.55
72.91,3.89,3.89,-0.62,-0.62,0.62,0.60,0.56,4.51,4.51,4.51
73.64,3.81,3.80,-0.65,-0.65,0.65,0.63,0.57,4.46,4.46,4.46
74.38,3.72,3.72,-0.69,-0.68,0.68,0.66,0.58,4.40,4.40,4.41
75.12,3.64,3.64,-0.72,-0.72,0.71,0.69,0.60,4.35,4.35,4.35
75.87,3.56,3.56,-0.74,-0.75,0.75,0.72,0.61,4.30,4.30,4.30
76.63,3.48,3.47,-0.77,-0.77,0.78,0.75,0.63,4.25,4.25,4.25
77.40,3.39,3.39,-0.81,-0.80,0.81,0.78,0.64,4.19,4.20,4.19
78.17,3.31,3.31,-0.83,-0.83,0.83,0.81,0.66,4.14,4.14,4.14
78.95,3.22,3.22,-0.87,-0.86,0.86,0.84,0.67,4.08,4.08,4.08
79.74,3.14,3.14,-0.89,-0.89,0.89,0.86,0.69,4.03,4.02,4.03
80.54,3.05,3.05,-0.92,-0.92,0.92,0.89,0.71,3.96,3.97,3.97
81.35,2.97,2.97,-0.94,-0.94,0.94,0.92,0.72,3.91,3.91,3.91
82.16,2.88,2.88,-0.97,-0.97,0.97,0.94,0.74,3.85,3.85,3.85
82.98,2.80,2.79,-0.99,-0.99,0.99,0.97,0.76,3.79,3.79,3.79
83.81,2.71,2.71,-1.02,-1.02,1.02,0.99,0.78,3.73,3.73,3.72
84.65,2.62,2.62,-1.04,-1.04,1.04,1.01,0.80,3.66,3.66,3.66
85.50,2.54,2.53,-1.06,-1.07,1.06,1.04,0.82,3.60,3.60,3.60
86.35,2.45,2.45,-1.09,-1.09,1.09,1.06,0.84,3.53,3.53,3.53
87.22,2.36,2.36,-1.11,-1.11,1.11,1.08,0.86,3.46,3.47,3.47
88.09,2.28,2.27,-1.13,-1.13,1.13,1.10,0.88,3.40,3.40,3.40
88.97,2.19,2.19,-1.15,-1.15,1.15,1.12,0.91,3.33,3.34,3.34
89.86,2.11,2.10,-1.16,-1.16,1.17,1.14,0.93,3.27,3.27,3.27
90.76,2.02,2.02,-1.18,-1.18,1.18,1.16,0.96,3.20,3.20,3.20
91.66,1.93,1.93,-1.21,-1.20,1.20,1.17,0.98,3.13,3.13,3.13
92.58,1.85,1.84,-1.22,-1.22,1.22,1.19,1.01,3.07,3.06,3.06
93.51,1.76,1.76,-1.24,-1.24,1.24,1.21,1.03,2.99,2.99,2.99
94.44,1.67,1.67,-1.26,-1.25,1.25,1.22,1.06,2.92,2.92,2.92
95.39,1.59,1.58,-1.26,-1.27,1.27,1.24,1.09,2.85,2.85,2.85
