frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.45,4.45,-2.39,-2.39,2.39,1.52,0.62,6.84,6.84,6.84
20.20,4.49,4.49,-2.35,-2.36,2.36,1.52,0.64,6.85,6.84,6.84
20.40,4.52,4.52,-2.32,-2.32,2.32,1.52,0.66,6.84,6.84,6.84
20.61,4.56,4.56,-2.28,-2.28,2.28,1.52,0.68,6.84,6.84,6.84
20.81,4.59,4.59,-2.25,-2.25,2.25,1.52,0.70,6.84,6.84,6.84
21.02,4.63,4.63,-2.21,-2.21,2.21,1.51,0.72,6.84,6.84,6.84
21.23,4.66,4.66,-2.18,-2.18,2.18,1.51,0.75,6.84,6.84,6.84
21.44,4.69,4.69,-2.15,-2.15,2.15,1.51,0.77,6.84,6.84,6.84
21.66,4.73,4.73,-2.11,-2.11,2.11,1.51,0.79,6.84,6.84,6.84
21.87,4.76,4.76,-2.08,-2.08,2.08,1.50,0.81,6.84,6.84,6.84
22.09,4.79,4.79,-2.05,-2.05,2.05,1.50,0.84,6.84,6.84,6.84
22.31,4.82,4.82,-2.02,-2.02,2.02,1.50,0.86,6.84,6.83,6.84
22.54,4.85,4.85,-1.99,-1.99,1.98,1.50,0.89,6.83,6.83,6.83
22.76,4.88,4.88,-1.95,-1.95,1.95,1.49,0.92,6.83,6.83,6.83
22.99,4.91,4.91,-1.92,-1.92,1.92,1.49,0.94,6.83,6.83,6.83
23.22,4.95,4.95,-1.88,-1.89,1.89,1.49,0.97,6.84,6.83,6.83
23.45,4.98,4.98,-1.85,-1.85,1.85,1.49,1.00,6.83,6.83,6.83
23.69,5.01,5.01,-1.82,-1.82,1.82,1.48,1.03,6.83,6.83,6.83
23.92,5.04,5.04,-1.79,-1.79,1.79,1.48,1.06,6.83,6.83,6.83
24.16,5.07,5.07,-1.76,-1.76,1.76,1.48,1.09,6.83,6.83,6.83
24.40,5.10,5.10,-1.73,-1.73,1.73,1.47,1.12,6.83,6.83,6.83
24.65,5.13,5.13,-1.70,-1.70,1.70,1.47,1.15,6.82,6.82,6.82
24.89,5.16,5.16,-1.66,-1.67,1.67,1.47,1.18,6.83,6.82,6.82
25.14,5.18,5.18,-1.64,-1.64,1.64,1.46,1.21,6.82,6.82,6.82
25.39,5.21,5.21,-1.61,-1.61,1.61,1.46,1.24,6.82,6.82,6.82
25.65,5.24,5.24,-1.58,-1.58,1.59,1.45,1.27,6.82,6.82,6.82
25.91,5.26,5.26,-1.56,-1.56,1.56,1.45,1.30,6.82,6.82,6.82
26.16,5.28,5.28,-1.54,-1.54,1.54,1.44,1.33,6.81,6.81,6.82
26.43,5.30,5.30,-1.52,-1.51,1.51,1.44,1.36,6.81,6.81,6.81
