frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.22,-1.22,-7.00,-7.00,5.95,5.40,1.78,4.73,4.73,5.77
20.20,-1.10,-1.10,-6.88,-6.88,5.99,5.38,1.84,4.89,4.88,5.77
20.40,-0.99,-0.99,-6.76,-6.76,6.01,5.35,1.89,5.02,5.03,5.77
20.61,-0.87,-0.87,-6.65,-6.65,6.03,5.33,1.95,5.16,5.16,5.77
20.81,-0.76,-0.76,-6.53,-6.53,6.04,5.31,2.01,5.28,5.28,5.77
21.02,-0.65,-0.65,-6.42,-6.42,6.04,5.28,2.07,5.38,5.39,5.77
21.23,-0.54,-0.55,-6.31,-6.32,6.03,5.26,2.13,5.48,5.48,5.77
21.44,-0.44,-0.44,-6.21,-6.21,6.00,5.23,2.19,5.56,5.56,5.77
21.66,-0.35,-0.35,-6.12,-6.12,5.98,5.21,2.25,5.63,5.63,5.77
21.87,-0.25,-0.25,-6.02,-6.02,5.94,5.18,2.32,5.69,5.69,5.77
22.09,-0.16,-0.16,-5.93,-5.93,5.90,5.15,2.39,5.73,5.73,5.77
22.31,-0.07,-0.07,-5.84,-5.84,5.83,5.13,2.46,5.76,5.76,5.77
22.54,0.02,0.02,-5.75,-5.75,5.76,5.10,2.53,5.77,5.78,5.77
22.76,0.11,0.11,-5.66,-5.66,5.68,5.07,2.61,5.78,5.78,5.76
22.99,0.20,0.19,-5.57,-5.57,5.59,5.04,2.68,5.78,5.78,5.76
23.22,0.28,0.28,-5.49,-5.48,5.50,5.01,2.76,5.77,5.77,5.76
23.45,0.36,0.36,-5.40,-5.40,5.41,4.98,2.84,5.76,5.76,5.76
23.69,0.44,0.44,-5.32,-5.33,5.32,4.95,2.92,5.76,5.76,5.76
23.92,0.51,0.51,-5.25,-5.25,5.25,4.92,3.00,5.76,5.76,5.76
24.16,0.59,0.59,-5.17,-5.17,5.17,4.89,3.09,5.76,5.76,5.76
24.40,0.66,0.66,-5.10,-5.10,5.10,4.86,3.17,5.76,5.76,5.76
24.65,0.73,0.73,-5.03,-5.03,5.03,4.83,3.26,5.75,5.76,5.76
24.89,0.80,0.80,-4.96,-4.96,4.96,4.79,3.34,5.75,5.75,5.75
25.14,0.87,0.87,-4.88,-4.89,4.89,4.76,3.43,5.76,5.75,5.75
25.39,0.93,0.93,-4.82,-4.82,4.82,4.73,3.52,5.75,5.75,5.75
25.65,1.00,1.00,-4.75,-4.75,4.76,4.69,3.61,5.76,5.75,5.75
25.91,1.06,1.06,-4.69,-4.69,4.70,4.66,3.70,5.75,5.75,5.75
26.16,1.12,1.11,-4.63,-4.63,4.63,4.62,3.78,5.75,5.75,5.75
26.43,1.17,1.17,-4.58,-4.58,4.57,4.59,3.87,5.74,5.74,5.75
26.69,1.23,1.23,-4.52,-4.52,4.51,4.55,3.96,5.74,5.74,5.74
26.96,1.29,1.29,-4.46,-4.45,4.45,4.51,4.04,5.74,5.74,5.74
27.23,1.36,1.35,-4.38,-4.39,4.39,4.47,4.12,5.74,5.74,5.74
27.50,1.42,1.42,-4.32,-4.32,4.32,4.44,4.21,5.74,5.74,5.74
27.77,1.48,1.48,-4.26,-4.25,4.26,4.40,4.28,5.74,5.74,5.74
28.05,1.55,1.54,-4.19,-4.19,4.19,4.36,4.36,5.74,5.74,5.73
28.33,1.61,1.61,-4.12,-4.12,4.13,4.32,4.42,5.73,5.73,5.73
28.62,1.67,1.67,-4.06,-4.06,4.06,4.28,4.49,5.72,5.73,5.73
28.90,1.74,1.73,-3.99,-3.99,3.99,4.24,4.55,5.73,5.73,5.73
29.19,1.80,1.80,-3.93,-3.93,3.92,4.19,4.60,5.72,5.72,5.73
29.48,1.87,1.87,-3.86,-3.86,3.86,4.15,4.65,5.72,5.72,5.72
29.78,1.93,1.93,-3.79,-3.79,3.79,4.11,4.69,5.72,5.72,5.72
30.08,2.00,1.99,-3.72,-3.72,3.72,4.06,4.72,5.72,5.72,5.72
30.38,2.06,2.06,-3.66,-3.66,3.66,4.02,4.75,5.72,5.72,5.72
30.68,2.12,2.12,-3.60,-3.59,3.60,3.97,4.77,5.72,5.72,5.71
30.99,2.18,2.17,-3.53,-3.54,3.54,3.93,4.79,5.72,5.71,5.71
31.30,2.23,2.23,-3.48,-3.48,3.48,3.88,4.79,5.71,5.71,5.71
31.61,2.28,2.28,-3.43,-3.43,3.43,3.84,4.79,5.70,5.71,5.70
31.93,2.33,2.32,-3.37,-3.38,3.37,3.79,4.77,5.70,5.70,5.70
32.24,2.37,2.37,-3.33,-3.33,3.32,3.74,4.76,5.69,5.69,5.70
32.57,2.42,2.42,-3.28,-3.27,3.27,3.69,4.73,5.69,5.69,5.69
32.89,2.47,2.47,-3.22,-3.22,3.22,3.65,4.70,5.69,5.69,5.69
33.22,2.52,2.51,-3.17,-3.17,3.17,3.60,4.65,5.69,5.68,5.69
33.55,2.56,2.56,-3.12,-3.12,3.12,3.55,4.61,5.68,5.68,5.68
33.89,2.61,2.61,-3.07,-3.07,3.07,3.50,4.56,5.68,5.68,5.68
34.23,2.66,2.66,-3.02,-3.02,3.02,3.45,4.50,5.68,5.68,5.67
34.57,2.71,2.70,-2.96,-2.97,2.97,3.40,4.43,5.68,5.67,5.67
34.92,2.74,2.74,-2.93,-2.92,2.93,3.34,4.37,5.66,5.67,5.66
35.27,2.78,2.78,-2.88,-2.88,2.88,3.29,4.30,5.66,5.66,5.66
35.62,2.82,2.81,-2.84,-2.84,2.84,3.24,4.22,5.66,5.66,5.66
35.97,2.85,2.85,-2.80,-2.80,2.80,3.19,4.15,5.65,5.65,5.65
36.33,2.88,2.88,-2.77,-2.77,2.77,3.14,4.07,5.64,5.64,5.64
36.70,2.91,2.91,-2.73,-2.73,2.73,3.08,3.98,5.63,5.64,5.64
37.06,2.94,2.94,-2.70,-2.69,2.69,3.03,3.90,5.63,5.63,5.63
37.43,2.98,2.97,-2.65,-2.65,2.65,2.98,3.82,5.63,5.62,5.63
37.81,3.01,3.01,-2.61,-2.61,2.61,2.92,3.73,5.62,5.62,5.62
38.19,3.05,3.05,-2.57,-2.57,2.57,2.87,3.65,5.62,5.62,5.62
38.57,3.08,3.08,-2.53,-2.53,2.53,2.81,3.56,5.61,5.61,5.61
