frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.02,9.02,0.82,0.83,-0.82,-1.58,-0.81,8.20,8.20,8.20
20.20,9.06,9.06,0.87,0.86,-0.86,-1.58,-0.83,8.20,8.20,8.20
20.40,9.09,9.10,0.90,0.90,-0.90,-1.59,-0.86,8.19,8.20,8.20
20.61,9.13,9.13,0.94,0.94,-0.94,-1.59,-0.88,8.19,8.19,8.20
20.81,9.17,9.17,0.98,0.97,-0.98,-1.59,-0.91,8.20,8.19,8.20
21.02,9.20,9.21,1.01,1.01,-1.01,-1.59,-0.94,8.19,8.19,8.20
21.23,9.24,9.24,1.05,1.05,-1.05,-1.59,-0.96,8.20,8.19,8.19
21.44,9.27,9.28,1.08,1.08,-1.08,-1.59,-0.99,8.19,8.19,8.19
21.66,9.31,9.31,1.12,1.12,-1.12,-1.59,-1.02,8.20,8.19,8.19
21.87,9.34,9.34,1.15,1.15,-1.15,-1.60,-1.05,8.19,8.19,8.19
22.09,9.37,9.37,1.18,1.18,-1.18,-1.60,-1.08,8.19,8.19,8.19
22.31,9.40,9.40,1.21,1.21,-1.21,-1.60,-1.11,8.19,8.19,8.19
22.54,9.43,9.43,1.24,1.24,-1.25,-1.60,-1.15,8.19,8.19,8.19
22.76,9.46,9.46,1.27,1.27,-1.28,-1.60,-1.18,8.19,8.19,8.19
22.99,9.49,9.49,1.31,1.31,-1.31,-1.60,-1.21,8.19,8.19,8.19
23.22,9.52,9.52,1.34,1.34,-1.34,-1.61,-1.25,8.19,8.19,8.19
23.45,9.55,9.55,1.37,1.37,-1.37,-1.61,-1.28,8.19,8.19,8.19
23.69,9.58,9.58,1.40,1.40,-1.39,-1.61,-1.32,8.19,8.19,8.18
23.92,9.60,9.61,1.42,1.42,-1.42,-1.61,-1.36,8.18,8.18,8.18
24.16,9.63,9.63,1.45,1.45,-1.45,-1.61,-1.39,8.18,8.18,8.18
24.40,9.65,9.66,1.47,1.48,-1.48,-1.62,-1.43,8.18,8.18,8.18
24.65,9.68,9.68,1.50,1.50,-1.50,-1.62,-1.47,8.18,8.18,8.18
24.89,9.70,9.70,1.52,1.52,-1.52,-1.62,-1.51,8.18,8.18,8.18
25.14,9.72,9.72,1.55,1.55,-1.55,-1.62,-1.55,8.18,8.18,8.18
25.39,9.74,9.74,1.57,1.57,-1.57,-1.62,-1.59,8.18,8.18,8.18
25.65,9.76,9.76,1.59,1.59,-1.59,-1.63,-1.63,8.17,8.17,8.17
25.91,9.78,9.78,1.61,1.61,-1.61,-1.63,-1.67,8.17,8.17,8.17
