frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.37,4.37,-1.76,-1.76,1.76,1.79,0.72,6.13,6.13,6.12
20.20,4.37,4.37,-1.76,-1.75,1.75,1.79,0.74,6.12,6.12,6.12
20.40,4.38,4.37,-1.74,-1.75,1.75,1.79,0.76,6.12,6.12,6.12
20.61,4.38,4.38,-1.74,-1.74,1.74,1.79,0.79,6.12,6.12,6.12
20.81,4.39,4.39,-1.73,-1.74,1.73,1.79,0.81,6.12,6.12,6.12
21.02,4.39,4.39,-1.73,-1.73,1.73,1.78,0.84,6.12,6.12,6.12
21.23,4.40,4.40,-1.72,-1.72,1.72,1.78,0.86,6.12,6.12,6.12
21.44,4.40,4.40,-1.72,-1.72,1.72,1.78,0.89,6.12,6.12,6.12
21.66,4.41,4.41,-1.71,-1.71,1.71,1.78,0.91,6.12,6.12,6.12
21.87,4.41,4.41,-1.71,-1.71,1.71,1.78,0.94,6.11,6.12,6.12
22.09,4.42,4.42,-1.70,-1.70,1.70,1.78,0.97,6.12,6.12,6.12
22.31,4.42,4.42,-1.70,-1.69,1.70,1.78,1.00,6.11,6.12,6.12
22.54,4.43,4.43,-1.69,-1.69,1.69,1.78,1.02,6.12,6.12,6.11
22.76,4.43,4.43,-1.69,-1.69,1.69,1.78,1.06,6.12,6.12,6.11
22.99,4.43,4.43,-1.68,-1.68,1.69,1.78,1.09,6.11,6.11,6.11
23.22,4.43,4.43,-1.68,-1.68,1.68,1.78,1.12,6.11,6.11,6.11
23.45,4.43,4.43,-1.68,-1.68,1.68,1.77,1.15,6.11,6.11,6.11
23.69,4.43,4.43,-1.68,-1.68,1.68,1.77,1.18,6.11,6.11,6.11
23.92,4.43,4.43,-1.68,-1.68,1.68,1.77,1.22,6.11,6.11,6.11
24.16,4.43,4.43,-1.68,-1.68,1.68,1.77,1.25,6.11,6.11,6.11
24.40,4.43,4.43,-1.68,-1.68,1.68,1.77,1.28,6.11,6.11,6.11
24.65,4.43,4.43,-1.68,-1.68,1.68,1.77,1.32,6.10,6.10,6.10
24.89,4.43,4.43,-1.68,-1.68,1.67,1.77,1.35,6.10,6.10,6.10
25.14,4.43,4.43,-1.67,-1.67,1.67,1.77,1.39,6.10,6.10,6.10
25.39,4.43,4.43,-1.67,-1.67,1.67,1.76,1.43,6.10,6.10,6.10
25.65,4.44,4.43,-1.66,-1.67,1.67,1.76,1.46,6.11,6.10,6.10
25.91,4.44,4.43,-1.66,-1.66,1.67,1.76,1.50,6.10,6.10,6.10
26.16,4.43,4.43,-1.67,-1.66,1.67,1.76,1.53,6.09,6.10,6.10
26.43,4.43,4.43,-1.67,-1.67,1.66,1.76,1.57,6.09,6.09,6.09
26.69,4.43,4.43,-1.67,-1.67,1.66,1.76,1.61,6.09,6.09,6.09
26.96,4.43,4.43,-1.66,-1.66,1.66,1.76,1.64,6.09,6.09,6.09
27.23,4.43,4.43,-1.66,-1.66,1.66,1.75,1.67,6.09,6.09,6.09
27.50,4.43,4.43,-1.66,-1.66,1.66,1.75,1.71,6.09,6.09,6.09
27.77,4.43,4.43,-1.66,-1.66,1.66,1.75,1.74,6.09,6.09,6.09
28.05,4.43,4.43,-1.66,-1.66,1.66,1.75,1.77,6.08,6.08,6.08
28.33,4.43,4.43,-1.65,-1.65,1.65,1.75,1.80,6.08,6.08,6.08
28.62,4.43,4.43,-1.65,-1.65,1.65,1.75,1.83,6.08,6.08,6.08
28.90,4.43,4.43,-1.65,-1.65,1.65,1.74,1.85,6.08,6.08,6.08
29.19,4.43,4.42,-1.65,-1.65,1.65,1.74,1.88,6.08,6.07,6.07
29.48,4.42,4.42,-1.65,-1.65,1.65,1.74,1.90,6.07,6.07,6.07
29.78,4.42,4.42,-1.65,-1.65,1.65,1.74,1.92,6.07,6.07,6.07
30.08,4.42,4.42,-1.65,-1.65,1.65,1.74,1.94,6.07,6.07,6.07
30.38,4.42,4.42,-1.65,-1.65,1.65,1.73,1.95,6.07,6.07,6.06
30.68,4.41,4.41,-1.65,-1.65,1.65,1.73,1.96,6.06,6.06,6.06
30.99,4.41,4.40,-1.65,-1.65,1.65,1.73,1.97,6.06,6.06,6.06
31.30,4.40,4.40,-1.66,-1.66,1.65,1.73,1.98,6.05,6.05,6.06
31.61,4.40,4.40,-1.65,-1.65,1.65,1.73,1.99,6.05,6.05,6.05
31.93,4.40,4.40,-1.65,-1.65,1.65,1.72,1.99,6.05,6.05,6.05
32.24,4.40,4.40,-1.65,-1.65,1.65,1.72,1.99,6.05,6.05,6.05
32.57,4.40,4.40,-1.64,-1.64,1.65,1.72,1.99,6.04,6.04,6.04
32.89,4.40,4.39,-1.64,-1.64,1.65,1.72,1.98,6.04,6.04,6.04
33.22,4.39,4.39,-1.65,-1.64,1.64,1.71,1.98,6.03,6.04,6.03
33.55,4.39,4.39,-1.64,-1.64,1.64,1.71,1.97,6.03,6.03,6.03
33.89,4.39,4.38,-1.64,-1.64,1.64,1.71,1.96,6.03,6.03,6.03
34.23,4.38,4.38,-1.64,-1.64,1.64,1.70,1.94,6.02,6.02,6.02
34.57,4.38,4.37,-1.64,-1.64,1.64,1.70,1.93,6.02,6.02,6.02
34.92,4.37,4.37,-1.65,-1.65,1.65,1.70,1.92,6.01,6.01,6.01
35.27,4.36,4.36,-1.65,-1.65,1.65,1.70,1.90,6.00,6.01,6.01
35.62,4.36,4.35,-1.65,-1.65,1.65,1.69,1.88,6.01,6.00,6.00
35.97,4.35,4.35,-1.65,-1.65,1.65,1.69,1.86,6.00,6.00,6.00
36.33,4.35,4.35,-1.65,-1.65,1.65,1.69,1.85,6.00,5.99,5.99
36.70,4.34,4.34,-1.65,-1.65,1.65,1.68,1.83,5.99,5.99,5.99
37.06,4.34,4.34,-1.64,-1.65,1.65,1.68,1.81,5.98,5.98,5.98
37.43,4.33,4.33,-1.65,-1.65,1.65,1.68,1.79,5.97,5.98,5.98
