frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.13,2.13,-1.64,-1.65,1.65,1.38,0.69,3.78,3.77,3.77
20.20,2.14,2.14,-1.63,-1.63,1.63,1.39,0.71,3.77,3.77,3.77
20.40,2.16,2.16,-1.61,-1.61,1.61,1.39,0.73,3.77,3.77,3.77
20.61,2.18,2.17,-1.59,-1.60,1.60,1.40,0.75,3.77,3.77,3.77
20.81,2.19,2.19,-1.58,-1.58,1.58,1.40,0.78,3.77,3.77,3.77
21.02,2.20,2.20,-1.57,-1.57,1.57,1.41,0.80,3.77,3.77,3.77
21.23,2.22,2.22,-1.55,-1.55,1.55,1.41,0.82,3.77,3.77,3.77
21.44,2.23,2.23,-1.54,-1.54,1.54,1.42,0.84,3.77,3.77,3.77
21.66,2.24,2.24,-1.53,-1.53,1.53,1.42,0.87,3.77,3.77,3.77
21.87,2.25,2.25,-1.52,-1.52,1.52,1.43,0.89,3.77,3.77,3.77
22.09,2.25,2.25,-1.52,-1.51,1.51,1.44,0.92,3.76,3.76,3.77
22.31,2.26,2.26,-1.51,-1.50,1.50,1.44,0.95,3.76,3.76,3.76
22.54,2.27,2.27,-1.50,-1.50,1.49,1.45,0.97,3.76,3.76,3.76
22.76,2.28,2.28,-1.48,-1.49,1.49,1.46,1.00,3.77,3.76,3.76
22.99,2.28,2.28,-1.48,-1.48,1.48,1.46,1.03,3.76,3.76,3.76
23.22,2.29,2.29,-1.47,-1.47,1.48,1.47,1.06,3.77,3.76,3.76
23.45,2.29,2.29,-1.47,-1.47,1.47,1.48,1.09,3.76,3.76,3.76
23.69,2.29,2.29,-1.47,-1.47,1.47,1.48,1.12,3.76,3.76,3.76
23.92,2.29,2.29,-1.47,-1.47,1.46,1.49,1.15,3.75,3.76,3.76
24.16,2.30,2.30,-1.46,-1.46,1.46,1.50,1.18,3.76,3.76,3.76
24.40,2.30,2.30,-1.46,-1.46,1.46,1.50,1.21,3.76,3.76,3.76
24.65,2.30,2.30,-1.46,-1.46,1.46,1.51,1.25,3.76,3.76,3.75
24.89,2.29,2.29,-1.46,-1.46,1.46,1.52,1.28,3.75,3.75,3.75
25.14,2.29,2.29,-1.46,-1.46,1.46,1.53,1.31,3.75,3.75,3.75
25.39,2.29,2.29,-1.46,-1.46,1.46,1.53,1.35,3.75,3.75,3.75
25.65,2.29,2.29,-1.46,-1.46,1.46,1.54,1.38,3.75,3.75,3.75
25.91,2.29,2.29,-1.46,-1.46,1.46,1.55,1.41,3.75,3.75,3.75
26.16,2.29,2.29,-1.46,-1.46,1.46,1.56,1.45,3.75,3.75,3.75
26.43,2.29,2.29,-1.45,-1.45,1.46,1.56,1.48,3.75,3.75,3.74
26.69,2.29,2.29,-1.45,-1.45,1.46,1.57,1.51,3.74,3.74,3.74
26.96,2.29,2.29,-1.45,-1.45,1.46,1.58,1.55,3.74,3.74,3.74
27.23,2.28,2.28,-1.46,-1.46,1.46,1.59,1.58,3.73,3.74,3.74
27.50,2.28,2.28,-1.46,-1.46,1.46,1.60,1.61,3.74,3.74,3.74
27.77,2.28,2.28,-1.46,-1.46,1.46,1.61,1.64,3.74,3.73,3.74
28.05,2.27,2.27,-1.46,-1.46,1.46,1.62,1.67,3.73,3.73,3.73
