frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.30,-2.30,-7.73,-7.73,6.00,6.09,2.72,3.70,3.70,5.43
20.20,-2.26,-2.27,-7.69,-7.69,6.00,6.08,2.80,3.74,3.73,5.43
20.40,-2.23,-2.23,-7.66,-7.66,6.00,6.08,2.88,3.77,3.77,5.43
20.61,-2.19,-2.19,-7.62,-7.62,6.00,6.08,2.96,3.81,3.81,5.43
20.81,-2.15,-2.15,-7.58,-7.58,6.00,6.08,3.05,3.85,3.85,5.43
21.02,-2.11,-2.11,-7.54,-7.54,6.00,6.07,3.13,3.89,3.89,5.43
21.23,-2.07,-2.07,-7.50,-7.50,6.00,6.07,3.22,3.93,3.93,5.43
21.44,-2.03,-2.03,-7.46,-7.46,6.00,6.07,3.32,3.97,3.97,5.42
21.66,-1.99,-1.99,-7.42,-7.42,6.00,6.06,3.41,4.01,4.01,5.42
21.87,-1.95,-1.95,-7.37,-7.37,6.00,6.06,3.51,4.05,4.05,5.42
22.09,-1.91,-1.91,-7.33,-7.33,6.00,6.06,3.61,4.09,4.09,5.42
22.31,-1.87,-1.87,-7.29,-7.30,6.00,6.06,3.71,4.13,4.13,5.42
22.54,-1.84,-1.84,-7.26,-7.26,6.00,6.05,3.81,4.16,4.16,5.42
22.76,-1.80,-1.80,-7.22,-7.22,6.00,6.05,3.92,4.20,4.20,5.42
22.99,-1.77,-1.77,-7.19,-7.19,6.00,6.05,4.03,4.23,4.23,5.42
23.22,-1.73,-1.73,-7.15,-7.15,6.00,6.04,4.15,4.27,4.27,5.42
23.45,-1.70,-1.70,-7.12,-7.12,6.00,6.04,4.26,4.30,4.30,5.42
23.69,-1.67,-1.67,-7.09,-7.09,6.00,6.04,4.38,4.33,4.33,5.42
23.92,-1.64,-1.64,-7.06,-7.06,6.00,6.03,4.50,4.36,4.36,5.41
24.16,-1.61,-1.61,-7.03,-7.03,6.00,6.03,4.63,4.39,4.39,5.41
24.40,-1.58,-1.58,-6.99,-6.99,6.00,6.03,4.75,4.42,4.42,5.41
24.65,-1.55,-1.55,-6.96,-6.96,6.00,6.02,4.88,4.45,4.45,5.41
24.89,-1.52,-1.52,-6.93,-6.93,6.00,6.02,5.01,4.48,4.48,5.41
25.14,-1.49,-1.50,-6.90,-6.90,6.00,6.02,5.14,4.51,4.50,5.41
25.39,-1.47,-1.47,-6.88,-6.88,6.00,6.01,5.27,4.53,4.53,5.41
25.65,-1.44,-1.44,-6.85,-6.85,6.00,6.01,5.40,4.56,4.56,5.41
25.91,-1.41,-1.41,-6.82,-6.82,6.00,6.00,5.53,4.59,4.59,5.40
26.16,-1.38,-1.38,-6.78,-6.78,6.00,6.00,5.67,4.62,4.62,5.40
26.43,-1.35,-1.35,-6.75,-6.75,6.00,5.99,5.80,4.65,4.65,5.40
26.69,-1.32,-1.32,-6.72,-6.72,6.00,5.99,5.93,4.68,4.68,5.40
26.96,-1.29,-1.29,-6.69,-6.69,6.00,5.99,6.06,4.71,4.71,5.40
27.23,-1.26,-1.26,-6.66,-6.66,6.00,5.98,6.19,4.74,4.74,5.40
27.50,-1.23,-1.23,-6.63,-6.63,6.00,5.98,6.31,4.77,4.77,5.39
27.77,-1.20,-1.21,-6.59,-6.60,6.00,5.97,6.43,4.80,4.79,5.39
28.05,-1.18,-1.18,-6.57,-6.57,6.00,5.97,6.55,4.82,4.82,5.39
28.33,-1.15,-1.15,-6.54,-6.54,6.00,5.96,6.66,4.85,4.85,5.39
28.62,-1.12,-1.13,-6.51,-6.51,6.00,5.96,6.77,4.88,4.87,5.39
28.90,-1.10,-1.10,-6.49,-6.48,6.00,5.95,6.86,4.90,4.90,5.38
