frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.03,8.03,1.55,1.55,-1.55,-1.84,-0.81,6.48,6.48,6.48
20.20,8.04,8.04,1.56,1.57,-1.57,-1.84,-0.83,6.47,6.48,6.48
20.40,8.06,8.06,1.58,1.58,-1.58,-1.84,-0.86,6.48,6.48,6.48
20.61,8.08,8.08,1.60,1.60,-1.60,-1.84,-0.88,6.48,6.48,6.48
20.81,8.09,8.09,1.62,1.62,-1.62,-1.84,-0.91,6.47,6.48,6.48
21.02,8.10,8.10,1.63,1.63,-1.63,-1.83,-0.94,6.47,6.47,6.47
21.23,8.12,8.12,1.65,1.64,-1.65,-1.83,-0.97,6.48,6.47,6.47
21.44,8.13,8.13,1.66,1.66,-1.66,-1.83,-1.00,6.47,6.47,6.47
21.66,8.14,8.15,1.67,1.67,-1.67,-1.83,-1.03,6.47,6.47,6.47
21.87,8.16,8.16,1.69,1.69,-1.69,-1.83,-1.06,6.47,6.47,6.47
22.09,8.17,8.17,1.70,1.70,-1.70,-1.82,-1.09,6.47,6.47,6.47
22.31,8.18,8.18,1.71,1.71,-1.71,-1.82,-1.12,6.47,6.47,6.47
22.54,8.19,8.19,1.72,1.72,-1.72,-1.82,-1.15,6.47,6.47,6.47
22.76,8.20,8.20,1.73,1.73,-1.73,-1.82,-1.19,6.47,6.47,6.47
22.99,8.20,8.20,1.73,1.74,-1.74,-1.81,-1.22,6.46,6.47,6.47
23.22,8.21,8.21,1.74,1.75,-1.75,-1.81,-1.26,6.46,6.46,6.47
23.45,8.22,8.22,1.76,1.75,-1.76,-1.81,-1.30,6.47,6.46,6.46
23.69,8.23,8.23,1.77,1.76,-1.76,-1.80,-1.33,6.47,6.46,6.46
23.92,8.23,8.24,1.77,1.77,-1.77,-1.80,-1.37,6.46,6.46,6.46
24.16,8.24,8.24,1.78,1.78,-1.78,-1.80,-1.41,6.46,6.46,6.46
24.40,8.25,8.25,1.79,1.79,-1.79,-1.80,-1.45,6.46,6.46,6.46
24.65,8.25,8.26,1.79,1.80,-1.80,-1.79,-1.49,6.45,6.46,6.46
24.89,8.26,8.26,1.80,1.80,-1.80,-1.79,-1.53,6.46,6.46,6.46
25.14,8.27,8.27,1.81,1.81,-1.81,-1.79,-1.57,6.46,6.46,6.46
25.39,8.27,8.27,1.82,1.82,-1.82,-1.78,-1.61,6.45,6.46,6.45
25.65,8.28,8.28,1.83,1.82,-1.82,-1.78,-1.65,6.46,6.46,6.45
25.91,8.28,8.28,1.83,1.83,-1.83,-1.78,-1.69,6.45,6.45,6.45
26.16,8.28,8.28,1.83,1.83,-1.83,-1.77,-1.73,6.45,6.45,6.45
26.43,8.28,8.28,1.83,1.83,-1.83,-1.77,-1.77,6.45,6.45,6.45
26.69,8.28,8.28,1.83,1.83,-1.83,-1.77,-1.81,6.45,6.45,6.45
26.96,8.28,8.28,1.84,1.84,-1.84,-1.76,-1.85,6.45,6.45,6.45
27.23,8.28,8.28,1.84,1.84,-1.84,-1.76,-1.89,6.44,6.44,6.44
27.50,8.28,8.28,1.84,1.84,-1.84,-1.75,-1.92,6.44,6.44,6.44
27.77,8.27,8.27,1.83,1.83,-1.84,-1.75,-1.96,6.43,6.44,6.44
28.05,8.27,8.27,1.83,1.83,-1.84,-1.75,-1.99,6.44,6.44,6.44
28.33,8.27,8.27,1.84,1.83,-1.83,-1.74,-2.02,6.44,6.43,6.44
28.62,8.27,8.27,1.84,1.83,-1.83,-1.74,-2.05,6.44,6.44,6.43
28.90,8.26,8.26,1.83,1.83,-1.83,-1.73,-2.07,6.43,6.43,6.43
29.19,8.26,8.26,1.83,1.83,-1.83,-1.73,-2.10,6.43,6.43,6.43
29.48,8.25,8.25,1.82,1.82,-1.83,-1.72,-2.12,6.43,6.43,6.43
29.78,8.24,8.25,1.82,1.82,-1.82,-1.72,-2.14,6.42,6.42,6.42
30.08,8.24,8.24,1.82,1.82,-1.82,-1.71,-2.15,6.42,6.42,6.42
30.38,8.23,8.23,1.81,1.81,-1.81,-1.71,-2.17,6.42,6.42,6.42
30.68,8.22,8.22,1.80,1.81,-1.80,-1.70,-2.17,6.42,6.42,6.42
30.99,8.21,8.21,1.80,1.80,-1.80,-1.70,-2.18,6.41,6.41,6.41
31.30,8.20,8.20,1.79,1.79,-1.79,-1.69,-2.18,6.41,6.41,6.41
31.61,8.19,8.19,1.78,1.78,-1.79,-1.69,-2.18,6.41,6.41,6.41
31.93,8.18,8.18,1.78,1.78,-1.78,-1.68,-2.17,6.40,6.40,6.40
32.24,8.17,8.17,1.77,1.77,-1.77,-1.67,-2.17,6.40,6.40,6.40
32.57,8.16,8.16,1.76,1.76,-1.76,-1.67,-2.15,6.40,6.40,6.40
32.89,8.15,8.15,1.76,1.75,-1.75,-1.66,-2.14,6.40,6.39,6.39
33.22,8.13,8.13,1.74,1.75,-1.75,-1.65,-2.12,6.38,6.39,6.39
33.55,8.12,8.12,1.74,1.74,-1.74,-1.65,-2.10,6.38,6.38,6.39
33.89,8.11,8.11,1.73,1.73,-1.73,-1.64,-2.08,6.38,6.38,6.38
34.23,8.09,8.09,1.71,1.72,-1.72,-1.63,-2.05,6.38,6.38,6.38
