frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.07,6.07,-0.89,-0.89,0.90,0.96,0.29,6.97,6.97,6.96
20.20,6.07,6.08,-0.89,-0.89,0.89,0.95,0.30,6.96,6.97,6.96
20.40,6.08,6.08,-0.88,-0.88,0.88,0.95,0.31,6.97,6.96,6.96
20.61,6.08,6.08,-0.88,-0.88,0.88,0.95,0.32,6.96,6.96,6.96
20.81,6.08,6.09,-0.88,-0.88,0.87,0.95,0.33,6.96,6.96,6.96
21.02,6.09,6.09,-0.87,-0.87,0.87,0.95,0.34,6.96,6.96,6.96
21.23,6.09,6.09,-0.87,-0.87,0.86,0.95,0.35,6.95,6.96,6.96
21.44,6.10,6.10,-0.86,-0.86,0.86,0.95,0.36,6.96,6.96,6.96
21.66,6.11,6.11,-0.85,-0.85,0.85,0.95,0.37,6.96,6.96,6.96
21.87,6.12,6.12,-0.84,-0.84,0.84,0.94,0.38,6.96,6.96,6.96
22.09,6.12,6.13,-0.83,-0.83,0.83,0.94,0.39,6.96,6.96,6.96
22.31,6.13,6.13,-0.82,-0.83,0.83,0.94,0.41,6.96,6.96,6.96
22.54,6.13,6.14,-0.82,-0.82,0.82,0.94,0.42,6.95,6.96,6.96
22.76,6.14,6.14,-0.81,-0.81,0.82,0.94,0.43,6.96,6.96,6.95
22.99,6.14,6.14,-0.81,-0.81,0.81,0.94,0.44,6.96,6.95,6.95
23.22,6.14,6.14,-0.81,-0.81,0.81,0.93,0.46,6.95,6.95,6.95
23.45,6.14,6.14,-0.81,-0.81,0.81,0.93,0.47,6.95,6.95,6.95
23.69,6.14,6.14,-0.81,-0.81,0.81,0.93,0.48,6.95,6.95,6.95
23.92,6.14,6.14,-0.81,-0.81,0.81,0.93,0.50,6.95,6.95,6.95
24.16,6.14,6.14,-0.81,-0.81,0.81,0.93,0.51,6.95,6.95,6.95
24.40,6.14,6.14,-0.80,-0.80,0.81,0.92,0.52,6.95,6.95,6.95
24.65,6.14,6.14,-0.80,-0.80,0.80,0.92,0.54,6.95,6.95,6.95
24.89,6.14,6.14,-0.80,-0.80,0.80,0.92,0.55,6.95,6.95,6.94
25.14,6.14,6.14,-0.80,-0.80,0.80,0.92,0.57,6.94,6.94,6.94
25.39,6.14,6.14,-0.80,-0.80,0.80,0.92,0.58,6.94,6.94,6.94
25.65,6.14,6.14,-0.80,-0.80,0.79,0.91,0.60,6.93,6.94,6.94
25.91,6.15,6.15,-0.79,-0.79,0.79,0.91,0.61,6.94,6.94,6.94
