frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.16,1.16,-3.50,-3.49,3.51,2.85,1.06,4.66,4.67,4.65
20.20,1.17,1.16,-3.49,-3.49,3.49,2.85,1.09,4.66,4.66,4.65
20.40,1.18,1.17,-3.48,-3.48,3.47,2.84,1.12,4.65,4.65,4.65
20.61,1.19,1.19,-3.46,-3.46,3.45,2.84,1.16,4.64,4.64,4.65
20.81,1.21,1.21,-3.44,-3.44,3.43,2.83,1.19,4.64,4.64,4.65
21.02,1.24,1.24,-3.41,-3.41,3.41,2.82,1.23,4.65,4.64,4.65
21.23,1.27,1.27,-3.38,-3.38,3.38,2.82,1.27,4.65,4.65,4.65
21.44,1.30,1.30,-3.35,-3.35,3.35,2.81,1.30,4.65,4.65,4.65
21.66,1.33,1.33,-3.32,-3.32,3.32,2.80,1.34,4.65,4.65,4.65
21.87,1.36,1.36,-3.29,-3.29,3.29,2.79,1.38,4.65,4.65,4.65
22.09,1.40,1.39,-3.25,-3.25,3.25,2.79,1.42,4.65,4.65,4.65
22.31,1.43,1.43,-3.22,-3.22,3.22,2.78,1.47,4.65,4.65,4.65
22.54,1.46,1.46,-3.19,-3.18,3.18,2.77,1.51,4.64,4.65,4.65
22.76,1.50,1.50,-3.15,-3.15,3.15,2.76,1.56,4.65,4.65,4.64
22.99,1.53,1.53,-3.12,-3.12,3.12,2.76,1.60,4.65,4.65,4.64
23.22,1.56,1.56,-3.08,-3.09,3.09,2.75,1.65,4.65,4.65,4.64
23.45,1.58,1.58,-3.06,-3.06,3.06,2.74,1.70,4.64,4.64,4.64
23.69,1.61,1.60,-3.03,-3.04,3.03,2.73,1.75,4.64,4.64,4.64
23.92,1.63,1.63,-3.01,-3.01,3.01,2.72,1.80,4.63,4.64,4.64
24.16,1.66,1.66,-2.98,-2.98,2.98,2.71,1.85,4.63,4.63,4.64
24.40,1.69,1.69,-2.95,-2.95,2.95,2.70,1.90,4.63,4.63,4.64
24.65,1.72,1.72,-2.92,-2.92,2.92,2.70,1.95,4.63,4.63,4.64
24.89,1.75,1.75,-2.89,-2.89,2.88,2.69,2.00,4.63,4.63,4.63
25.14,1.78,1.78,-2.85,-2.85,2.85,2.68,2.05,4.63,4.63,4.63
25.39,1.81,1.81,-2.82,-2.82,2.82,2.67,2.11,4.63,4.63,4.63
25.65,1.84,1.84,-2.79,-2.79,2.80,2.66,2.16,4.63,4.64,4.63
25.91,1.87,1.86,-2.76,-2.76,2.77,2.65,2.21,4.64,4.64,4.63
26.16,1.89,1.88,-2.74,-2.74,2.75,2.63,2.27,4.64,4.63,4.63
26.43,1.90,1.90,-2.73,-2.72,2.73,2.62,2.32,4.62,4.63,4.63
