frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.27,1.27,-1.56,-1.55,1.54,0.62,0.10,2.81,2.81,2.83
20.20,1.22,1.22,-1.64,-1.64,1.64,0.62,0.10,2.86,2.86,2.86
20.40,1.17,1.16,-1.72,-1.72,1.73,0.61,0.10,2.90,2.89,2.89
20.61,1.11,1.12,-1.80,-1.80,1.81,0.61,0.10,2.92,2.93,2.91
20.81,1.07,1.07,-1.87,-1.87,1.88,0.61,0.11,2.95,2.95,2.94
21.02,1.03,1.03,-1.94,-1.93,1.93,0.61,0.11,2.96,2.96,2.97
21.23,1.00,1.00,-1.98,-1.98,1.98,0.61,0.11,2.98,2.98,2.98
21.44,0.97,0.97,-2.01,-2.01,2.01,0.61,0.12,2.98,2.98,2.98
21.66,0.96,0.96,-2.03,-2.03,2.04,0.61,0.12,3.00,2.99,2.99
21.87,0.95,0.95,-2.04,-2.05,2.05,0.61,0.13,3.00,3.00,2.99
22.09,0.96,0.96,-2.04,-2.04,2.05,0.61,0.13,3.01,3.00,3.00
22.31,0.97,0.97,-2.03,-2.03,2.03,0.60,0.13,3.00,3.00,3.00
22.54,1.00,1.00,-2.00,-2.00,1.99,0.60,0.14,2.99,2.99,3.00
22.76,1.04,1.04,-1.96,-1.96,1.94,0.60,0.14,2.98,2.98,3.00
22.99,1.10,1.10,-1.89,-1.89,1.88,0.60,0.14,2.98,2.98,2.99
23.22,1.18,1.18,-1.81,-1.81,1.80,0.60,0.15,2.98,2.98,2.99
23.45,1.28,1.28,-1.71,-1.71,1.71,0.60,0.15,2.99,2.98,2.99
23.69,1.39,1.39,-1.60,-1.60,1.60,0.60,0.16,2.99,2.99,2.99
23.92,1.50,1.50,-1.49,-1.49,1.50,0.60,0.16,3.00,3.00,2.99
24.16,1.62,1.62,-1.38,-1.38,1.39,0.59,0.17,3.01,3.00,3.00
24.40,1.72,1.73,-1.27,-1.27,1.28,0.59,0.17,3.00,3.00,3.00
24.65,1.83,1.83,-1.16,-1.16,1.17,0.59,0.18,3.00,3.00,2.98
24.89,1.92,1.92,-1.06,-1.06,1.07,0.59,0.18,2.99,2.99,2.98
25.14,2.01,2.01,-0.97,-0.97,0.97,0.59,0.19,2.98,2.98,2.98
25.39,2.10,2.10,-0.88,-0.88,0.87,0.59,0.19,2.97,2.98,2.98
25.65,2.19,2.19,-0.79,-0.79,0.79,0.59,0.20,2.98,2.97,2.98
25.91,2.27,2.27,-0.70,-0.70,0.70,0.59,0.20,2.97,2.97,2.97
26.16,2.34,2.34,-0.63,-0.63,0.63,0.58,0.21,2.97,2.97,2.97
26.43,2.41,2.41,-0.56,-0.56,0.57,0.58,0.22,2.98,2.97,2.97
26.69,2.46,2.46,-0.51,-0.50,0.51,0.58,0.22,2.97,2.97,2.97
26.96,2.51,2.51,-0.46,-0.46,0.46,0.58,0.23,2.97,2.97,2.97
27.23,2.54,2.54,-0.42,-0.42,0.43,0.58,0.23,2.97,2.97,2.96
27.50,2.56,2.56,-0.40,-0.40,0.40,0.58,0.24,2.96,2.96,2.96
27.77,2.58,2.58,-0.37,-0.38,0.38,0.57,0.25,2.96,2.96,2.95
28.05,2.58,2.58,-0.37,-0.37,0.37,0.57,0.25,2.95,2.95,2.95
28.33,2.58,2.58,-0.36,-0.36,0.36,0.57,0.26,2.94,2.94,2.94
28.62,2.58,2.58,-0.36,-0.36,0.35,0.57,0.27,2.93,2.93,2.94
28.90,2.58,2.58,-0.35,-0.35,0.35,0.57,0.27,2.93,2.93,2.93
29.19,2.58,2.58,-0.34,-0.35,0.35,0.57,0.28,2.93,2.93,2.92
29.48,2.58,2.58,-0.35,-0.35,0.35,0.57,0.29,2.93,2.93,2.93
29.78,2.58,2.58,-0.34,-0.34,0.35,0.56,0.29,2.93,2.93,2.92
30.08,2.58,2.58,-0.34,-0.34,0.34,0.56,0.30,2.92,2.92,2.92
30.38,2.58,2.58,-0.33,-0.33,0.33,0.56,0.31,2.91,2.91,2.91
30.68,2.58,2.58,-0.32,-0.32,0.32,0.56,0.31,2.90,2.90,2.90
30.99,2.59,2.59,-0.30,-0.30,0.29,0.56,0.32,2.88,2.88,2.89
31.30,2.61,2.61,-0.28,-0.28,0.26,0.56,0.33,2.87,2.87,2.89
31.61,2.65,2.65,-0.24,-0.23,0.22,0.56,0.33,2.87,2.87,2.89
31.93,2.70,2.70,-0.18,-0.18,0.16,0.55,0.34,2.86,2.86,2.88
32.24,2.75,2.76,-0.11,-0.11,0.11,0.55,0.35,2.86,2.86,2.86
32.57,2.82,2.82,-0.04,-0.04,0.05,0.55,0.35,2.87,2.86,2.86
32.89,2.88,2.88,0.02,0.02,-0.01,0.55,0.36,2.87,2.86,2.86
33.22,2.93,2.93,0.09,0.08,-0.07,0.55,0.37,2.86,2.86,2.84
33.55,2.97,2.97,0.13,0.13,-0.12,0.55,0.38,2.85,2.85,2.84
33.89,3.00,3.00,0.17,0.17,-0.16,0.55,0.39,2.84,2.84,2.83
34.23,3.02,3.02,0.19,0.19,-0.18,0.54,0.39,2.84,2.83,2.83
34.57,3.02,3.02,0.21,0.21,-0.20,0.54,0.40,2.82,2.82,2.81
34.92,3.01,3.02,0.21,0.21,-0.22,0.54,0.41,2.79,2.80,2.80
35.27,3.01,3.01,0.21,0.22,-0.22,0.54,0.42,2.79,2.79,2.80
35.62,3.00,3.00,0.22,0.22,-0.22,0.54,0.43,2.78,2.78,2.78
35.97,2.99,2.99,0.22,0.22,-0.22,0.54,0.44,2.77,2.77,2.77
36.33,2.98,2.98,0.21,0.22,-0.22,0.54,0.45,2.76,2.76,2.77
