frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.67,9.68,6.45,6.45,-6.44,-4.17,-1.92,3.23,3.24,3.22
20.20,9.64,9.64,6.39,6.38,-6.38,-4.17,-1.98,3.26,3.26,3.25
20.40,9.60,9.60,6.32,6.32,-6.32,-4.17,-2.04,3.28,3.28,3.28
20.61,9.57,9.57,6.27,6.26,-6.27,-4.17,-2.10,3.30,3.30,3.30
20.81,9.54,9.54,6.21,6.21,-6.22,-4.16,-2.16,3.32,3.32,3.33
21.02,9.51,9.51,6.15,6.16,-6.18,-4.16,-2.22,3.34,3.34,3.36
21.23,9.49,9.49,6.12,6.12,-6.13,-4.16,-2.28,3.36,3.36,3.37
21.44,9.47,9.48,6.09,6.09,-6.10,-4.16,-2.35,3.38,3.38,3.38
21.66,9.46,9.46,6.07,6.07,-6.07,-4.16,-2.42,3.39,3.39,3.39
21.87,9.44,9.44,6.05,6.05,-6.04,-4.16,-2.49,3.40,3.40,3.39
22.09,9.42,9.42,6.02,6.03,-6.02,-4.15,-2.56,3.40,3.40,3.40
22.31,9.40,9.40,6.00,6.00,-6.00,-4.15,-2.64,3.40,3.40,3.40
22.54,9.37,9.37,5.98,5.98,-5.97,-4.15,-2.71,3.40,3.40,3.40
22.76,9.34,9.34,5.95,5.95,-5.95,-4.15,-2.79,3.40,3.40,3.40
22.99,9.31,9.31,5.93,5.92,-5.92,-4.14,-2.87,3.39,3.39,3.39
23.22,9.27,9.28,5.89,5.89,-5.89,-4.14,-2.95,3.39,3.39,3.39
23.45,9.24,9.24,5.86,5.86,-5.86,-4.14,-3.03,3.39,3.38,3.39
23.69,9.20,9.21,5.82,5.82,-5.83,-4.14,-3.12,3.38,3.38,3.38
23.92,9.17,9.17,5.79,5.79,-5.79,-4.13,-3.21,3.38,3.38,3.38
24.16,9.14,9.14,5.75,5.75,-5.76,-4.13,-3.30,3.39,3.39,3.39
24.40,9.11,9.11,5.72,5.72,-5.72,-4.13,-3.39,3.39,3.39,3.39
24.65,9.07,9.07,5.69,5.68,-5.68,-4.12,-3.48,3.39,3.39,3.38
24.89,9.02,9.02,5.64,5.64,-5.64,-4.12,-3.57,3.38,3.39,3.38
25.14,8.97,8.97,5.59,5.60,-5.59,-4.12,-3.66,3.38,3.38,3.38
25.39,8.92,8.92,5.54,5.54,-5.54,-4.11,-3.76,3.38,3.38,3.38
25.65,8.86,8.86,5.49,5.49,-5.48,-4.11,-3.85,3.38,3.38,3.38
25.91,8.79,8.79,5.43,5.43,-5.42,-4.10,-3.94,3.37,3.37,3.37
26.16,8.72,8.72,5.36,5.36,-5.36,-4.10,-4.04,3.36,3.37,3.37
26.43,8.65,8.65,5.29,5.29,-5.29,-4.09,-4.13,3.36,3.36,3.36
26.69,8.58,8.58,5.22,5.22,-5.22,-4.09,-4.22,3.36,3.36,3.36
26.96,8.51,8.51,5.15,5.15,-5.15,-4.08,-4.31,3.36,3.36,3.36
27.23,8.43,8.44,5.07,5.08,-5.08,-4.07,-4.40,3.36,3.36,3.36
27.50,8.35,8.36,4.99,5.00,-5.00,-4.07,-4.49,3.35,3.36,3.36
27.77,8.28,8.28,4.93,4.93,-4.93,-4.06,-4.57,3.36,3.35,3.35
28.05,8.19,8.20,4.85,4.85,-4.85,-4.05,-4.66,3.34,3.35,3.35
28.33,8.11,8.11,4.78,4.78,-4.77,-4.04,-4.73,3.34,3.34,3.33
28.62,8.03,8.03,4.70,4.70,-4.70,-4.04,-4.81,3.34,3.33,3.33
28.90,7.95,7.95,4.62,4.62,-4.63,-4.03,-4.87,3.33,3.33,3.33
29.19,7.87,7.88,4.55,4.55,-4.55,-4.02,-4.94,3.32,3.32,3.32
29.48,7.80,7.80,4.47,4.48,-4.48,-4.01,-4.99,3.32,3.32,3.33
29.78,7.72,7.73,4.41,4.41,-4.41,-4.00,-5.05,3.31,3.31,3.32
