frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.92,5.92,1.61,1.61,-1.60,-2.85,-1.40,4.32,4.32,4.31
20.20,5.99,5.99,1.65,1.65,-1.65,-2.86,-1.45,4.35,4.35,4.34
20.40,6.06,6.06,1.69,1.69,-1.69,-2.86,-1.49,4.37,4.37,4.37
20.61,6.13,6.13,1.74,1.74,-1.74,-2.86,-1.53,4.39,4.39,4.39
20.81,6.20,6.20,1.78,1.78,-1.79,-2.87,-1.58,4.42,4.41,4.42
21.02,6.27,6.27,1.82,1.83,-1.84,-2.87,-1.62,4.43,4.43,4.45
21.23,6.34,6.35,1.88,1.88,-1.89,-2.87,-1.67,4.45,4.45,4.46
21.44,6.41,6.41,1.95,1.94,-1.94,-2.88,-1.72,4.47,4.47,4.47
21.66,6.48,6.48,2.00,2.01,-2.00,-2.88,-1.77,4.48,4.48,4.48
21.87,6.54,6.55,2.07,2.07,-2.06,-2.88,-1.82,4.48,4.49,4.48
22.09,6.61,6.61,2.13,2.13,-2.12,-2.89,-1.87,4.49,4.49,4.49
22.31,6.67,6.67,2.19,2.18,-2.18,-2.89,-1.93,4.49,4.49,4.49
22.54,6.72,6.73,2.24,2.24,-2.24,-2.89,-1.98,4.48,4.48,4.49
22.76,6.78,6.78,2.30,2.30,-2.30,-2.90,-2.04,4.48,4.48,4.49
22.99,6.83,6.84,2.36,2.36,-2.36,-2.90,-2.10,4.47,4.48,4.48
23.22,6.89,6.89,2.42,2.42,-2.42,-2.91,-2.16,4.48,4.48,4.47
23.45,6.95,6.95,2.48,2.48,-2.47,-2.91,-2.22,4.48,4.48,4.47
23.69,7.00,7.00,2.53,2.53,-2.53,-2.92,-2.28,4.48,4.48,4.47
23.92,7.05,7.06,2.58,2.58,-2.58,-2.92,-2.35,4.47,4.47,4.47
24.16,7.10,7.11,2.62,2.63,-2.63,-2.93,-2.41,4.47,4.47,4.48
24.40,7.15,7.15,2.67,2.68,-2.68,-2.93,-2.48,4.47,4.47,4.48
24.65,7.20,7.20,2.73,2.73,-2.73,-2.94,-2.55,4.48,4.47,4.47
24.89,7.24,7.25,2.78,2.78,-2.77,-2.95,-2.61,4.47,4.47,4.47
25.14,7.28,7.28,2.82,2.82,-2.82,-2.95,-2.68,4.47,4.47,4.47
25.39,7.32,7.32,2.86,2.86,-2.86,-2.96,-2.75,4.47,4.46,4.47
25.65,7.35,7.36,2.89,2.90,-2.90,-2.97,-2.82,4.46,4.46,4.47
25.91,7.39,7.39,2.94,2.93,-2.93,-2.97,-2.89,4.46,4.46,4.45
26.16,7.42,7.42,2.97,2.97,-2.97,-2.98,-2.96,4.46,4.46,4.45
26.43,7.45,7.45,3.00,3.00,-3.00,-2.99,-3.02,4.46,4.46,4.45
26.69,7.47,7.48,3.02,3.03,-3.03,-3.00,-3.09,4.45,4.45,4.45
26.96,7.50,7.50,3.05,3.05,-3.06,-3.01,-3.16,4.45,4.45,4.45
27.23,7.52,7.53,3.08,3.08,-3.08,-3.02,-3.22,4.44,4.44,4.45
27.50,7.55,7.55,3.11,3.11,-3.11,-3.03,-3.29,4.44,4.44,4.45
27.77,7.57,7.57,3.14,3.13,-3.14,-3.04,-3.35,4.44,4.44,4.44
28.05,7.59,7.59,3.16,3.16,-3.16,-3.05,-3.41,4.43,4.43,4.43
28.33,7.61,7.61,3.19,3.19,-3.19,-3.06,-3.46,4.43,4.43,4.42
28.62,7.63,7.63,3.21,3.21,-3.21,-3.08,-3.52,4.43,4.43,4.42
28.90,7.65,7.65,3.23,3.23,-3.23,-3.09,-3.57,4.43,4.42,4.42
29.19,7.66,7.66,3.26,3.25,-3.25,-3.10,-3.61,4.42,4.42,4.41
29.48,7.67,7.67,3.26,3.26,-3.27,-3.12,-3.66,4.41,4.41,4.42
29.78,7.68,7.68,3.28,3.28,-3.29,-3.14,-3.69,4.40,4.40,4.40
30.08,7.69,7.70,3.29,3.30,-3.31,-3.15,-3.73,4.39,4.39,4.40
30.38,7.71,7.71,3.32,3.32,-3.32,-3.17,-3.76,4.39,4.39,4.39
30.68,7.73,7.73,3.35,3.35,-3.34,-3.19,-3.78,4.39,4.39,4.39
30.99,7.74,7.75,3.37,3.37,-3.36,-3.21,-3.80,4.38,4.39,4.38
31.30,7.76,7.76,3.39,3.38,-3.38,-3.23,-3.81,4.39,4.38,4.37
31.61,7.76,7.76,3.39,3.40,-3.39,-3.25,-3.82,4.37,4.37,4.37
31.93,7.76,7.77,3.40,3.41,-3.41,-3.27,-3.83,4.36,4.36,4.36
32.24,7.77,7.77,3.43,3.42,-3.42,-3.29,-3.83,4.35,4.35,4.35
32.57,7.77,7.77,3.43,3.43,-3.43,-3.31,-3.82,4.34,4.34,4.34
32.89,7.77,7.78,3.43,3.44,-3.44,-3.33,-3.81,4.33,4.33,4.34
