frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.12,2.12,-4.28,-4.28,4.28,4.47,1.89,6.40,6.40,6.40
20.20,2.13,2.12,-4.30,-4.31,4.31,4.47,1.95,6.44,6.43,6.43
20.40,2.13,2.13,-4.33,-4.33,4.34,4.47,2.00,6.46,6.46,6.46
20.61,2.13,2.13,-4.35,-4.36,4.36,4.46,2.06,6.49,6.49,6.48
20.81,2.13,2.13,-4.38,-4.38,4.38,4.46,2.12,6.51,6.51,6.51
21.02,2.13,2.13,-4.41,-4.40,4.40,4.45,2.18,6.53,6.53,6.54
21.23,2.13,2.13,-4.42,-4.42,4.41,4.45,2.25,6.54,6.54,6.55
21.44,2.13,2.13,-4.43,-4.43,4.43,4.45,2.32,6.55,6.55,6.56
21.66,2.13,2.13,-4.44,-4.44,4.44,4.44,2.38,6.56,6.56,6.57
21.87,2.13,2.13,-4.44,-4.44,4.44,4.44,2.45,6.57,6.57,6.57
22.09,2.13,2.13,-4.45,-4.45,4.45,4.44,2.52,6.57,6.57,6.57
22.31,2.13,2.12,-4.45,-4.45,4.45,4.43,2.60,6.58,6.57,6.57
22.54,2.12,2.12,-4.46,-4.45,4.45,4.43,2.67,6.57,6.57,6.57
22.76,2.12,2.12,-4.46,-4.45,4.45,4.42,2.75,6.57,6.57,6.57
22.99,2.12,2.11,-4.45,-4.45,4.46,4.42,2.83,6.57,6.57,6.56
23.22,2.11,2.11,-4.46,-4.46,4.46,4.41,2.91,6.57,6.57,6.56
23.45,2.10,2.10,-4.46,-4.46,4.46,4.41,3.00,6.56,6.56,6.56
23.69,2.10,2.10,-4.46,-4.46,4.46,4.41,3.08,6.56,6.56,6.56
23.92,2.10,2.10,-4.46,-4.47,4.47,4.40,3.17,6.56,6.56,6.56
24.16,2.10,2.10,-4.47,-4.47,4.47,4.40,3.26,6.56,6.56,6.57
24.40,2.10,2.10,-4.47,-4.47,4.47,4.39,3.35,6.56,6.56,6.57
24.65,2.10,2.10,-4.46,-4.46,4.46,4.39,3.44,6.56,6.56,6.56
24.89,2.10,2.10,-4.46,-4.46,4.46,4.38,3.53,6.55,6.56,6.56
25.14,2.11,2.10,-4.45,-4.45,4.45,4.37,3.62,6.56,6.55,6.55
25.39,2.11,2.11,-4.45,-4.44,4.44,4.37,3.71,6.55,6.55,6.55
25.65,2.12,2.12,-4.44,-4.43,4.43,4.36,3.81,6.55,6.55,6.55
25.91,2.13,2.12,-4.42,-4.42,4.42,4.36,3.90,6.55,6.54,6.54
