frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.34,3.34,-2.66,-2.67,2.67,2.95,1.31,6.01,6.01,6.01
20.20,3.38,3.38,-2.65,-2.65,2.65,2.94,1.35,6.03,6.03,6.04
20.40,3.41,3.42,-2.65,-2.65,2.64,2.94,1.39,6.05,6.06,6.07
20.61,3.44,3.44,-2.64,-2.64,2.64,2.94,1.43,6.08,6.08,6.08
20.81,3.47,3.47,-2.64,-2.65,2.64,2.93,1.47,6.11,6.11,6.11
21.02,3.49,3.49,-2.65,-2.65,2.65,2.93,1.52,6.14,6.14,6.14
21.23,3.49,3.49,-2.66,-2.66,2.67,2.93,1.56,6.16,6.16,6.15
21.44,3.49,3.49,-2.67,-2.68,2.69,2.92,1.61,6.18,6.17,6.16
21.66,3.46,3.46,-2.71,-2.71,2.72,2.92,1.66,6.18,6.18,6.17
21.87,3.43,3.43,-2.74,-2.75,2.76,2.92,1.71,6.19,6.19,6.17
22.09,3.38,3.38,-2.80,-2.80,2.80,2.91,1.76,6.19,6.19,6.18
22.31,3.33,3.33,-2.85,-2.85,2.85,2.91,1.81,6.18,6.18,6.18
22.54,3.27,3.27,-2.91,-2.91,2.90,2.90,1.87,6.17,6.17,6.18
22.76,3.22,3.22,-2.96,-2.95,2.94,2.90,1.92,6.16,6.16,6.18
22.99,3.18,3.18,-2.99,-2.99,2.97,2.90,1.98,6.15,6.15,6.17
23.22,3.15,3.15,-3.02,-3.01,2.99,2.89,2.04,6.15,6.15,6.17
23.45,3.14,3.14,-3.02,-3.02,3.01,2.89,2.09,6.15,6.15,6.17
23.69,3.14,3.15,-3.02,-3.02,3.01,2.88,2.15,6.15,6.15,6.17
23.92,3.16,3.16,-3.00,-3.01,3.01,2.88,2.22,6.17,6.17,6.17
24.16,3.17,3.17,-3.00,-3.00,3.01,2.87,2.28,6.18,6.18,6.17
24.40,3.18,3.18,-2.99,-2.99,3.01,2.87,2.34,6.19,6.19,6.17
24.65,3.17,3.17,-2.99,-2.99,3.02,2.86,2.41,6.19,6.19,6.16
24.89,3.16,3.15,-3.00,-3.01,3.04,2.86,2.47,6.20,6.19,6.16
25.14,3.12,3.12,-3.04,-3.04,3.06,2.85,2.54,6.18,6.18,6.16
25.39,3.07,3.07,-3.09,-3.08,3.09,2.85,2.60,6.16,6.17,6.16
25.65,3.02,3.02,-3.14,-3.13,3.13,2.84,2.67,6.15,6.15,6.16
25.91,2.98,2.98,-3.17,-3.17,3.16,2.84,2.73,6.14,6.14,6.15
26.16,2.94,2.95,-3.20,-3.20,3.18,2.83,2.80,6.12,6.13,6.15
26.43,2.93,2.93,-3.21,-3.21,3.19,2.83,2.86,6.12,6.12,6.15
26.69,2.94,2.94,-3.20,-3.20,3.18,2.82,2.93,6.12,6.12,6.14
26.96,2.97,2.97,-3.17,-3.17,3.16,2.82,2.99,6.13,6.13,6.14
27.23,3.01,3.01,-3.13,-3.13,3.12,2.81,3.05,6.14,6.14,6.14
