frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.75,6.74,5.88,5.87,-5.85,-3.01,-1.54,0.90,0.89,0.87
20.20,6.68,6.69,5.78,5.79,-5.79,-3.01,-1.59,0.89,0.90,0.90
20.40,6.64,6.64,5.71,5.72,-5.73,-3.01,-1.63,0.91,0.91,0.93
20.61,6.61,6.61,5.66,5.66,-5.67,-3.00,-1.68,0.94,0.93,0.95
20.81,6.59,6.58,5.61,5.61,-5.62,-3.00,-1.73,0.97,0.96,0.98
21.02,6.56,6.56,5.55,5.56,-5.57,-3.00,-1.78,0.99,0.99,1.00
21.23,6.54,6.54,5.52,5.52,-5.53,-3.00,-1.84,1.01,1.01,1.01
21.44,6.51,6.51,5.48,5.48,-5.48,-3.00,-1.89,1.02,1.03,1.02
21.66,6.49,6.48,5.45,5.45,-5.45,-3.00,-1.95,1.04,1.04,1.03
21.87,6.46,6.46,5.42,5.42,-5.42,-3.00,-2.01,1.04,1.04,1.03
22.09,6.43,6.43,5.39,5.39,-5.39,-2.99,-2.06,1.04,1.04,1.04
22.31,6.40,6.40,5.36,5.35,-5.36,-2.99,-2.13,1.04,1.04,1.04
22.54,6.37,6.37,5.33,5.32,-5.33,-2.99,-2.19,1.04,1.04,1.04
22.76,6.33,6.33,5.29,5.29,-5.30,-2.99,-2.25,1.03,1.04,1.04
22.99,6.30,6.29,5.27,5.26,-5.26,-2.99,-2.32,1.04,1.03,1.03
23.22,6.25,6.25,5.22,5.22,-5.22,-2.98,-2.38,1.03,1.03,1.03
23.45,6.21,6.21,5.18,5.18,-5.17,-2.98,-2.45,1.03,1.03,1.03
23.69,6.16,6.16,5.13,5.13,-5.12,-2.98,-2.52,1.03,1.03,1.03
23.92,6.10,6.10,5.07,5.07,-5.07,-2.98,-2.59,1.03,1.03,1.03
24.16,6.04,6.04,5.00,5.00,-5.00,-2.97,-2.67,1.04,1.04,1.04
24.40,5.97,5.96,4.93,4.93,-4.93,-2.97,-2.74,1.04,1.03,1.03
24.65,5.89,5.89,4.86,4.86,-4.85,-2.97,-2.81,1.03,1.03,1.02
24.89,5.80,5.80,4.77,4.78,-4.77,-2.97,-2.89,1.02,1.02,1.02
25.14,5.72,5.71,4.69,4.69,-4.69,-2.96,-2.96,1.02,1.02,1.02
25.39,5.62,5.62,4.60,4.60,-4.61,-2.96,-3.04,1.01,1.01,1.02
25.65,5.54,5.54,4.52,4.52,-4.52,-2.96,-3.12,1.01,1.01,1.02
25.91,5.45,5.45,4.44,4.44,-4.44,-2.95,-3.19,1.01,1.01,1.01
26.16,5.37,5.37,4.36,4.36,-4.35,-2.95,-3.27,1.01,1.01,1.01
