frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.81,-2.81,-4.90,-4.90,4.90,4.52,1.74,2.09,2.09,2.09
20.20,-2.79,-2.79,-4.91,-4.92,4.92,4.51,1.79,2.13,2.13,2.12
20.40,-2.78,-2.78,-4.93,-4.93,4.93,4.51,1.84,2.15,2.16,2.15
20.61,-2.76,-2.76,-4.93,-4.94,4.94,4.50,1.89,2.18,2.18,2.17
20.81,-2.74,-2.74,-4.94,-4.94,4.94,4.50,1.95,2.20,2.20,2.20
21.02,-2.72,-2.72,-4.95,-4.94,4.94,4.49,2.01,2.22,2.22,2.23
21.23,-2.70,-2.70,-4.94,-4.94,4.93,4.49,2.07,2.23,2.24,2.24
21.44,-2.67,-2.67,-4.92,-4.92,4.92,4.48,2.13,2.25,2.25,2.25
21.66,-2.64,-2.64,-4.90,-4.90,4.90,4.47,2.19,2.26,2.26,2.26
21.87,-2.61,-2.61,-4.87,-4.87,4.87,4.47,2.25,2.27,2.27,2.26
22.09,-2.58,-2.57,-4.85,-4.84,4.84,4.46,2.32,2.26,2.27,2.27
22.31,-2.54,-2.54,-4.81,-4.81,4.81,4.46,2.39,2.27,2.27,2.27
22.54,-2.50,-2.50,-4.77,-4.77,4.77,4.45,2.46,2.27,2.26,2.27
22.76,-2.47,-2.46,-4.74,-4.73,4.72,4.44,2.53,2.26,2.26,2.27
22.99,-2.42,-2.42,-4.68,-4.68,4.68,4.44,2.60,2.26,2.26,2.26
23.22,-2.38,-2.38,-4.63,-4.64,4.64,4.43,2.68,2.26,2.26,2.26
23.45,-2.34,-2.33,-4.59,-4.59,4.59,4.42,2.75,2.26,2.26,2.26
23.69,-2.29,-2.29,-4.54,-4.55,4.55,4.42,2.83,2.26,2.26,2.25
23.92,-2.25,-2.25,-4.50,-4.51,4.52,4.41,2.91,2.27,2.26,2.25
24.16,-2.22,-2.22,-4.48,-4.48,4.48,4.40,2.99,2.26,2.27,2.26
