frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.13,4.13,-1.17,-1.17,1.18,2.16,-0.40,5.31,5.31,5.30
20.20,4.16,4.16,-1.17,-1.17,1.18,2.07,-0.41,5.34,5.34,5.33
20.40,4.20,4.19,-1.16,-1.17,1.17,1.99,-0.42,5.38,5.37,5.36
20.61,4.22,4.23,-1.16,-1.16,1.16,1.90,-0.43,5.38,5.39,5.38
20.81,4.26,4.26,-1.15,-1.15,1.14,1.82,-0.44,5.40,5.40,5.41
21.02,4.30,4.30,-1.14,-1.13,1.11,1.73,-0.44,5.41,5.41,5.44
21.23,4.35,4.35,-1.10,-1.10,1.08,1.65,-0.45,5.43,5.43,5.45
21.44,4.41,4.41,-1.05,-1.05,1.04,1.56,-0.46,5.45,5.45,5.46
21.66,4.48,4.48,-0.99,-0.99,0.98,1.47,-0.47,5.46,5.46,5.47
21.87,4.56,4.56,-0.91,-0.92,0.91,1.39,-0.48,5.48,5.47,5.47
22.09,4.63,4.64,-0.85,-0.84,0.85,1.30,-0.49,5.48,5.48,5.48
22.31,4.71,4.71,-0.77,-0.77,0.78,1.21,-0.50,5.49,5.49,5.48
22.54,4.78,4.78,-0.70,-0.70,0.71,1.13,-0.51,5.49,5.49,5.48
22.76,4.84,4.84,-0.64,-0.63,0.65,1.04,-0.53,5.49,5.49,5.48
22.99,4.89,4.89,-0.58,-0.58,0.59,0.95,-0.54,5.48,5.48,5.47
23.22,4.93,4.93,-0.53,-0.53,0.54,0.87,-0.55,5.47,5.47,5.47
23.45,4.97,4.97,-0.49,-0.49,0.49,0.78,-0.56,5.47,5.46,5.47
23.69,5.01,5.01,-0.45,-0.45,0.45,0.69,-0.57,5.46,5.46,5.46
23.92,5.05,5.05,-0.41,-0.41,0.40,0.60,-0.59,5.46,5.46,5.46
24.16,5.10,5.10,-0.37,-0.37,0.36,0.52,-0.60,5.46,5.46,5.47
24.40,5.15,5.15,-0.32,-0.32,0.31,0.43,-0.61,5.46,5.46,5.47
24.65,5.20,5.20,-0.26,-0.26,0.26,0.34,-0.63,5.46,5.46,5.46
24.89,5.25,5.25,-0.21,-0.21,0.21,0.25,-0.64,5.46,5.46,5.46
25.14,5.31,5.31,-0.15,-0.15,0.15,0.17,-0.65,5.46,5.46,5.46
25.39,5.36,5.36,-0.10,-0.09,0.09,0.08,-0.67,5.46,5.46,5.46
25.65,5.42,5.42,-0.04,-0.04,0.04,-0.01,-0.69,5.46,5.45,5.46
25.91,5.47,5.47,0.02,0.02,-0.02,-0.10,-0.70,5.45,5.45,5.45
26.16,5.53,5.53,0.09,0.09,-0.08,-0.19,-0.72,5.45,5.45,5.44
26.43,5.59,5.59,0.15,0.15,-0.14,-0.27,-0.74,5.45,5.45,5.44
26.69,5.65,5.65,0.21,0.21,-0.21,-0.36,-0.76,5.45,5.45,5.44
26.96,5.71,5.71,0.27,0.27,-0.27,-0.45,-0.77,5.44,5.44,5.44
27.23,5.77,5.77,0.33,0.33,-0.34,-0.54,-0.79,5.43,5.43,5.44
27.50,5.83,5.83,0.39,0.40,-0.40,-0.63,-0.81,5.43,5.43,5.44
27.77,5.90,5.90,0.47,0.47,-0.47,-0.72,-0.84,5.43,5.43,5.43
28.05,5.97,5.97,0.55,0.55,-0.54,-0.80,-0.86,5.43,5.43,5.43
28.33,6.04,6.04,0.63,0.62,-0.62,-0.89,-0.88,5.43,5.43,5.41
28.62,6.11,6.11,0.70,0.70,-0.69,-0.98,-0.90,5.42,5.42,5.41
28.90,6.18,6.18,0.77,0.77,-0.77,-1.07,-0.93,5.41,5.41,5.41
