frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.53,8.53,0.33,0.33,-0.32,-2.31,-1.44,8.21,8.21,8.20
20.20,8.60,8.59,0.40,0.39,-0.39,-2.33,-1.48,8.21,8.20,8.20
20.40,8.67,8.67,0.47,0.47,-0.47,-2.35,-1.53,8.20,8.20,8.20
20.61,8.75,8.75,0.55,0.55,-0.56,-2.37,-1.57,8.19,8.19,8.20
20.81,8.84,8.84,0.64,0.64,-0.65,-2.38,-1.62,8.19,8.19,8.20
21.02,8.94,8.94,0.74,0.74,-0.75,-2.40,-1.67,8.19,8.19,8.20
21.23,9.04,9.04,0.84,0.84,-0.85,-2.42,-1.71,8.19,8.19,8.20
21.44,9.15,9.15,0.95,0.95,-0.95,-2.44,-1.76,8.20,8.20,8.20
21.66,9.26,9.26,1.06,1.06,-1.06,-2.46,-1.81,8.19,8.20,8.20
21.87,9.38,9.38,1.19,1.18,-1.18,-2.48,-1.87,8.20,8.20,8.19
22.09,9.50,9.50,1.31,1.30,-1.30,-2.49,-1.92,8.20,8.20,8.19
22.31,9.62,9.62,1.43,1.43,-1.43,-2.51,-1.98,8.19,8.19,8.19
22.54,9.74,9.74,1.54,1.55,-1.55,-2.53,-2.04,8.18,8.19,8.19
22.76,9.87,9.87,1.68,1.67,-1.68,-2.55,-2.09,8.19,8.19,8.19
22.99,10.00,10.00,1.81,1.81,-1.81,-2.57,-2.15,8.19,8.19,8.19
23.22,10.13,10.13,1.94,1.94,-1.94,-2.59,-2.22,8.18,8.19,8.19
23.45,10.27,10.26,2.08,2.07,-2.07,-2.61,-2.28,8.19,8.19,8.19
23.69,10.39,10.39,2.20,2.20,-2.20,-2.63,-2.34,8.18,8.19,8.19
23.92,10.52,10.52,2.33,2.33,-2.33,-2.64,-2.41,8.19,8.19,8.19
24.16,10.64,10.64,2.45,2.45,-2.45,-2.66,-2.48,8.19,8.19,8.18
24.40,10.76,10.76,2.58,2.57,-2.57,-2.68,-2.54,8.19,8.19,8.18
24.65,10.87,10.87,2.68,2.68,-2.68,-2.70,-2.61,8.19,8.19,8.18
24.89,10.97,10.97,2.79,2.79,-2.78,-2.72,-2.68,8.19,8.19,8.18
25.14,11.06,11.06,2.88,2.88,-2.88,-2.74,-2.75,8.18,8.18,8.18
25.39,11.15,11.15,2.97,2.97,-2.97,-2.76,-2.82,8.18,8.18,8.18
25.65,11.23,11.23,3.05,3.05,-3.06,-2.78,-2.89,8.17,8.17,8.18
25.91,11.31,11.31,3.13,3.13,-3.14,-2.80,-2.96,8.17,8.17,8.18
26.16,11.39,11.38,3.22,3.21,-3.21,-2.82,-3.03,8.18,8.17,8.17
26.43,11.46,11.46,3.28,3.28,-3.28,-2.84,-3.10,8.17,8.17,8.17
26.69,11.52,11.52,3.35,3.35,-3.35,-2.86,-3.17,8.17,8.17,8.17
26.96,11.59,11.58,3.42,3.42,-3.42,-2.88,-3.24,8.17,8.17,8.17
27.23,11.65,11.64,3.48,3.48,-3.48,-2.90,-3.31,8.17,8.16,8.17
