frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.89,9.89,3.26,3.26,-3.26,-3.39,-1.33,6.63,6.64,6.64
20.20,9.89,9.89,3.26,3.26,-3.26,-3.38,-1.37,6.64,6.64,6.64
20.40,9.89,9.89,3.26,3.26,-3.26,-3.37,-1.41,6.64,6.64,6.63
20.61,9.89,9.89,3.26,3.26,-3.25,-3.36,-1.45,6.64,6.64,6.63
20.81,9.88,9.89,3.25,3.25,-3.25,-3.36,-1.49,6.63,6.63,6.63
21.02,9.88,9.88,3.25,3.25,-3.25,-3.35,-1.54,6.63,6.63,6.63
21.23,9.88,9.88,3.25,3.25,-3.25,-3.34,-1.58,6.63,6.63,6.63
21.44,9.87,9.88,3.24,3.25,-3.25,-3.33,-1.63,6.63,6.63,6.63
21.66,9.87,9.87,3.24,3.24,-3.25,-3.32,-1.68,6.63,6.63,6.63
21.87,9.87,9.87,3.24,3.24,-3.24,-3.31,-1.73,6.63,6.63,6.63
22.09,9.87,9.87,3.24,3.24,-3.24,-3.31,-1.78,6.63,6.63,6.63
22.31,9.87,9.87,3.25,3.24,-3.24,-3.30,-1.83,6.63,6.63,6.63
22.54,9.86,9.87,3.24,3.24,-3.24,-3.29,-1.89,6.63,6.63,6.63
22.76,9.86,9.86,3.24,3.24,-3.24,-3.28,-1.94,6.63,6.63,6.63
22.99,9.85,9.86,3.23,3.23,-3.23,-3.27,-2.00,6.62,6.62,6.63
23.22,9.85,9.85,3.23,3.23,-3.23,-3.26,-2.06,6.63,6.62,6.62
23.45,9.84,9.85,3.22,3.22,-3.22,-3.25,-2.12,6.62,6.62,6.62
23.69,9.84,9.84,3.22,3.22,-3.22,-3.24,-2.18,6.63,6.62,6.62
23.92,9.83,9.83,3.21,3.21,-3.21,-3.23,-2.24,6.62,6.62,6.62
24.16,9.82,9.82,3.20,3.20,-3.20,-3.22,-2.30,6.62,6.62,6.62
24.40,9.81,9.82,3.20,3.20,-3.20,-3.21,-2.36,6.62,6.62,6.62
24.65,9.80,9.81,3.19,3.19,-3.19,-3.20,-2.43,6.62,6.62,6.62
24.89,9.80,9.80,3.19,3.18,-3.18,-3.19,-2.49,6.62,6.62,6.62
25.14,9.78,9.79,3.17,3.17,-3.17,-3.18,-2.56,6.61,6.62,6.61
25.39,9.77,9.78,3.16,3.16,-3.16,-3.17,-2.62,6.61,6.61,6.61
25.65,9.76,9.76,3.15,3.15,-3.16,-3.16,-2.69,6.61,6.61,6.61
25.91,9.75,9.75,3.14,3.14,-3.15,-3.14,-2.76,6.61,6.61,6.61
