frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.61,1.61,-3.39,-3.39,3.38,2.09,0.96,4.99,4.99,5.00
20.20,1.64,1.64,-3.36,-3.36,3.36,2.09,0.99,5.00,5.00,5.00
20.40,1.67,1.67,-3.33,-3.33,3.33,2.09,1.02,5.00,5.00,5.00
20.61,1.70,1.70,-3.30,-3.30,3.30,2.08,1.05,5.00,5.00,5.00
20.81,1.72,1.72,-3.27,-3.27,3.28,2.08,1.08,5.00,5.00,5.00
21.02,1.75,1.75,-3.24,-3.25,3.25,2.08,1.11,5.00,5.00,4.99
21.23,1.77,1.77,-3.22,-3.22,3.22,2.08,1.15,4.99,4.99,4.99
21.44,1.80,1.80,-3.19,-3.20,3.19,2.08,1.18,4.99,4.99,4.99
21.66,1.82,1.82,-3.17,-3.17,3.17,2.08,1.22,4.99,4.99,4.99
21.87,1.85,1.85,-3.14,-3.14,3.14,2.08,1.25,4.99,4.99,4.99
22.09,1.88,1.88,-3.11,-3.11,3.11,2.07,1.29,4.99,4.99,4.99
22.31,1.91,1.91,-3.08,-3.08,3.08,2.07,1.33,4.99,4.99,4.99
22.54,1.94,1.94,-3.05,-3.05,3.05,2.07,1.37,4.99,4.99,4.99
22.76,1.98,1.98,-3.01,-3.01,3.01,2.07,1.41,4.99,4.99,4.99
22.99,2.01,2.01,-2.98,-2.98,2.98,2.07,1.45,4.99,4.99,4.99
23.22,2.04,2.04,-2.95,-2.94,2.94,2.07,1.49,4.98,4.99,4.99
23.45,2.08,2.08,-2.90,-2.91,2.91,2.06,1.53,4.99,4.98,4.98
23.69,2.11,2.11,-2.87,-2.87,2.87,2.06,1.58,4.98,4.98,4.98
23.92,2.14,2.14,-2.84,-2.84,2.84,2.06,1.62,4.98,4.98,4.98
24.16,2.18,2.18,-2.80,-2.80,2.81,2.06,1.67,4.99,4.98,4.98
24.40,2.21,2.21,-2.77,-2.77,2.77,2.06,1.71,4.98,4.98,4.98
24.65,2.24,2.24,-2.74,-2.74,2.74,2.05,1.76,4.98,4.98,4.98
24.89,2.27,2.27,-2.71,-2.71,2.71,2.05,1.81,4.98,4.98,4.98
25.14,2.30,2.30,-2.68,-2.68,2.67,2.05,1.85,4.97,4.97,4.98
25.39,2.33,2.33,-2.64,-2.64,2.64,2.05,1.90,4.97,4.97,4.97
25.65,2.36,2.36,-2.61,-2.61,2.61,2.04,1.95,4.97,4.97,4.97
25.91,2.40,2.40,-2.57,-2.58,2.58,2.04,2.00,4.98,4.97,4.97
26.16,2.43,2.43,-2.54,-2.54,2.54,2.04,2.05,4.97,4.97,4.97
26.43,2.46,2.46,-2.51,-2.51,2.51,2.04,2.09,4.97,4.97,4.97
26.69,2.49,2.49,-2.48,-2.48,2.48,2.03,2.14,4.97,4.97,4.97
26.96,2.52,2.52,-2.45,-2.45,2.45,2.03,2.18,4.96,4.96,4.97
27.23,2.55,2.55,-2.41,-2.41,2.41,2.03,2.23,4.96,4.96,4.96
27.50,2.58,2.58,-2.38,-2.38,2.38,2.02,2.27,4.96,4.96,4.96
27.77,2.61,2.61,-2.35,-2.35,2.35,2.02,2.31,4.96,4.96,4.96
28.05,2.64,2.64,-2.32,-2.32,2.32,2.02,2.35,4.96,4.96,4.96
28.33,2.67,2.67,-2.29,-2.29,2.28,2.01,2.39,4.95,4.95,4.96
28.62,2.70,2.70,-2.25,-2.25,2.25,2.01,2.43,4.95,4.95,4.95
28.90,2.73,2.73,-2.22,-2.22,2.22,2.01,2.46,4.95,4.95,4.95
29.19,2.76,2.76,-2.19,-2.19,2.19,2.00,2.49,4.95,4.95,4.95
29.48,2.79,2.79,-2.16,-2.16,2.16,2.00,2.52,4.95,4.95,4.95
29.78,2.81,2.81,-2.13,-2.13,2.13,1.99,2.55,4.94,4.95,4.94
30.08,2.84,2.84,-2.10,-2.10,2.10,1.99,2.57,4.94,4.94,4.94
30.38,2.86,2.86,-2.08,-2.08,2.08,1.98,2.58,4.94,4.94,4.94
30.68,2.88,2.88,-2.06,-2.05,2.05,1.98,2.60,4.93,4.94,4.94
30.99,2.91,2.91,-2.02,-2.03,2.03,1.97,2.61,4.94,4.93,4.93
31.30,2.93,2.93,-2.00,-2.00,2.00,1.97,2.62,4.93,4.93,4.93
31.61,2.95,2.95,-1.98,-1.98,1.98,1.96,2.62,4.93,4.93,4.93
31.93,2.97,2.97,-1.95,-1.95,1.95,1.96,2.62,4.92,4.92,4.92
32.24,2.99,2.99,-1.93,-1.93,1.93,1.95,2.62,4.92,4.92,4.92
32.57,3.01,3.01,-1.91,-1.91,1.91,1.94,2.61,4.92,4.92,4.92
32.89,3.03,3.03,-1.88,-1.88,1.88,1.94,2.60,4.91,4.91,4.91
33.22,3.05,3.05,-1.86,-1.86,1.86,1.93,2.59,4.91,4.91,4.91
33.55,3.06,3.06,-1.84,-1.84,1.84,1.92,2.57,4.90,4.91,4.91
33.89,3.08,3.08,-1.82,-1.82,1.82,1.92,2.55,4.90,4.90,4.90
34.23,3.09,3.09,-1.81,-1.80,1.80,1.91,2.53,4.89,4.89,4.90
34.57,3.11,3.11,-1.78,-1.78,1.78,1.90,2.50,4.89,4.89,4.89
34.92,3.13,3.13,-1.76,-1.76,1.76,1.89,2.48,4.89,4.89,4.89
35.27,3.14,3.14,-1.74,-1.74,1.74,1.89,2.45,4.88,4.88,4.88
35.62,3.15,3.15,-1.73,-1.72,1.72,1.88,2.42,4.87,4.88,4.88
35.97,3.17,3.17,-1.70,-1.71,1.71,1.87,2.39,4.88,4.87,4.87
36.33,3.18,3.18,-1.69,-1.69,1.69,1.86,2.36,4.87,4.87,4.87
36.70,3.19,3.19,-1.67,-1.67,1.67,1.85,2.33,4.86,4.86,4.86
37.06,3.20,3.20,-1.66,-1.66,1.66,1.84,2.29,4.86,4.86,4.86
37.43,3.21,3.21,-1.64,-1.64,1.65,1.83,2.26,4.86,4.85,4.85
37.81,3.21,3.21,-1.63,-1.63,1.63,1.82,2.23,4.84,4.85,4.84
38.19,3.22,3.22,-1.62,-1.62,1.62,1.81,2.19,4.84,4.84,4.84
38.57,3.22,3.22,-1.61,-1.61,1.61,1.80,2.16,4.83,4.83,4.83
38.95,3.22,3.22,-1.60,-1.60,1.60,1.79,2.13,4.82,4.82,4.83
39.34,3.23,3.23,-1.59,-1.59,1.59,1.77,2.10,4.82,4.82,4.82
39.74,3.23,3.23,-1.58,-1.58,1.58,1.76,2.06,4.81,4.81,4.81
40.14,3.24,3.24,-1.56,-1.57,1.57,1.75,2.03,4.81,4.81,4.80
40.54,3.24,3.24,-1.56,-1.56,1.56,1.74,2.00,4.80,4.80,4.80
40.94,3.23,3.23,-1.56,-1.55,1.55,1.72,1.98,4.78,4.79,4.79
41.35,3.23,3.23,-1.55,-1.55,1.54,1.71,1.95,4.77,4.78,4.78
41.76,3.23,3.23,-1.54,-1.54,1.54,1.70,1.92,4.77,4.77,4.77
42.18,3.23,3.23,-1.53,-1.53,1.53,1.68,1.90,4.76,4.76,4.76
42.60,3.23,3.23,-1.52,-1.52,1.52,1.67,1.87,4.75,4.75,4.75
43.03,3.23,3.23,-1.51,-1.51,1.51,1.66,1.85,4.74,4.74,4.74
43.46,3.23,3.23,-1.50,-1.50,1.51,1.64,1.83,4.74,4.73,4.73
43.90,3.22,3.22,-1.50,-1.50,1.50,1.63,1.81,4.72,4.72,4.72
