frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.64,13.67,6.89,6.91,-6.71,-7.56,-3.26,6.93,6.96,6.76
20.20,13.60,13.58,6.85,6.82,-6.76,-7.55,-3.35,6.84,6.81,6.75
20.40,13.55,13.53,6.80,6.78,-6.83,-7.54,-3.45,6.73,6.71,6.75
20.61,13.51,13.53,6.76,6.78,-6.90,-7.53,-3.54,6.61,6.63,6.75
20.81,13.56,13.57,6.81,6.82,-6.98,-7.51,-3.64,6.58,6.58,6.75
21.02,13.67,13.67,6.92,6.92,-7.08,-7.50,-3.74,6.59,6.59,6.75
21.23,13.82,13.83,7.07,7.08,-7.19,-7.49,-3.85,6.64,6.64,6.75
21.44,14.03,14.03,7.27,7.27,-7.30,-7.48,-3.96,6.72,6.72,6.75
21.66,14.24,14.24,7.49,7.49,-7.50,-7.47,-4.07,6.74,6.75,6.75
21.87,14.47,14.46,7.72,7.71,-7.68,-7.46,-4.18,6.78,6.78,6.75
22.09,14.65,14.65,7.91,7.90,-7.85,-7.45,-4.30,6.80,6.80,6.75
22.31,14.80,14.80,8.06,8.06,-7.98,-7.44,-4.42,6.82,6.82,6.75
22.54,14.90,14.90,8.15,8.15,-8.07,-7.42,-4.54,6.83,6.83,6.75
22.76,14.93,14.93,8.19,8.18,-8.11,-7.41,-4.67,6.83,6.82,6.75
22.99,14.90,14.90,8.16,8.15,-8.11,-7.40,-4.80,6.80,6.79,6.74
23.22,14.82,14.82,8.08,8.08,-8.08,-7.38,-4.93,6.75,6.74,6.74
23.45,14.72,14.73,7.98,7.98,-8.04,-7.37,-5.07,6.68,6.69,6.74
23.69,14.63,14.64,7.89,7.90,-8.00,-7.36,-5.21,6.64,6.64,6.74
23.92,14.58,14.59,7.84,7.85,-7.96,-7.34,-5.35,6.62,6.63,6.74
24.16,14.57,14.58,7.83,7.84,-7.92,-7.33,-5.49,6.65,6.66,6.74
24.40,14.58,14.60,7.85,7.86,-7.87,-7.32,-5.64,6.71,6.72,6.74
24.65,14.61,14.60,7.88,7.87,-7.81,-7.30,-5.79,6.80,6.79,6.74
24.89,14.58,14.57,7.85,7.84,-7.72,-7.29,-5.94,6.86,6.85,6.74
25.14,14.45,14.45,7.72,7.72,-7.60,-7.27,-6.10,6.85,6.85,6.73
25.39,14.26,14.23,7.52,7.50,-7.43,-7.26,-6.25,6.83,6.80,6.73
25.65,13.90,13.90,7.17,7.17,-7.20,-7.24,-6.41,6.71,6.71,6.73
25.91,13.52,13.50,6.79,6.77,-6.93,-7.23,-6.57,6.59,6.57,6.73
26.16,13.07,13.08,6.34,6.35,-6.67,-7.21,-6.72,6.40,6.41,6.73
26.43,12.71,12.73,5.98,6.01,-6.45,-7.19,-6.88,6.26,6.29,6.73
26.69,12.52,12.52,5.80,5.80,-6.30,-7.18,-7.04,6.23,6.23,6.72
26.96,12.47,12.51,5.75,5.78,-6.23,-7.16,-7.19,6.24,6.28,6.72
27.23,12.65,12.66,5.93,5.94,-6.25,-7.14,-7.35,6.40,6.41,6.72
27.50,12.94,12.93,6.22,6.21,-6.34,-7.12,-7.50,6.60,6.59,6.72
27.77,13.26,13.25,6.54,6.53,-6.48,-7.11,-7.64,6.78,6.77,6.72
28.05,13.54,13.53,6.83,6.81,-6.66,-7.09,-7.78,6.88,6.87,6.72
28.33,13.74,13.74,7.03,7.03,-6.86,-7.07,-7.91,6.89,6.89,6.71
28.62,13.88,13.88,7.17,7.17,-7.04,-7.05,-8.04,6.84,6.84,6.71
28.90,13.95,13.95,7.24,7.24,-7.19,-7.03,-8.16,6.76,6.76,6.71
29.19,13.97,13.98,7.27,7.27,-7.27,-7.01,-8.27,6.70,6.71,6.71
29.48,13.97,13.97,7.27,7.27,-7.28,-6.99,-8.36,6.69,6.69,6.70
29.78,13.94,13.95,7.24,7.25,-7.25,-6.97,-8.45,6.69,6.70,6.70
30.08,13.91,13.91,7.21,7.21,-7.20,-6.95,-8.52,6.72,6.71,6.70
30.38,13.84,13.84,7.15,7.14,-7.13,-6.93,-8.58,6.72,6.71,6.70
30.68,13.75,13.75,7.06,7.06,-7.06,-6.91,-8.63,6.70,6.70,6.69
