frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.63,9.63,3.01,3.01,-3.00,-3.13,-1.28,6.63,6.63,6.62
20.20,9.62,9.62,3.00,3.00,-3.00,-3.12,-1.32,6.62,6.62,6.62
20.40,9.61,9.61,2.99,3.00,-3.00,-3.11,-1.36,6.61,6.61,6.62
20.61,9.61,9.61,2.99,2.99,-3.00,-3.10,-1.40,6.61,6.61,6.62
20.81,9.61,9.61,3.00,3.00,-3.01,-3.09,-1.45,6.60,6.61,6.61
21.02,9.62,9.62,3.01,3.01,-3.01,-3.08,-1.49,6.61,6.61,6.61
21.23,9.63,9.63,3.02,3.02,-3.02,-3.07,-1.53,6.61,6.61,6.61
21.44,9.64,9.64,3.03,3.03,-3.03,-3.06,-1.58,6.61,6.61,6.61
21.66,9.65,9.65,3.04,3.04,-3.05,-3.06,-1.63,6.60,6.61,6.61
21.87,9.67,9.67,3.06,3.06,-3.07,-3.05,-1.68,6.60,6.60,6.61
22.09,9.69,9.69,3.08,3.08,-3.08,-3.04,-1.73,6.61,6.61,6.61
22.31,9.71,9.71,3.10,3.10,-3.10,-3.03,-1.78,6.61,6.61,6.61
22.54,9.72,9.72,3.11,3.12,-3.11,-3.02,-1.83,6.61,6.61,6.61
22.76,9.73,9.73,3.12,3.13,-3.12,-3.01,-1.89,6.61,6.62,6.61
22.99,9.74,9.73,3.13,3.13,-3.11,-3.00,-1.94,6.63,6.62,6.61
23.22,9.72,9.72,3.12,3.11,-3.10,-2.99,-2.00,6.62,6.62,6.61
23.45,9.69,9.69,3.09,3.09,-3.08,-2.98,-2.06,6.61,6.62,6.60
23.69,9.66,9.66,3.06,3.05,-3.05,-2.96,-2.12,6.61,6.61,6.60
23.92,9.62,9.62,3.02,3.01,-3.02,-2.95,-2.18,6.60,6.60,6.60
24.16,9.57,9.57,2.97,2.97,-2.98,-2.94,-2.24,6.58,6.59,6.60
24.40,9.54,9.54,2.94,2.94,-2.96,-2.93,-2.30,6.58,6.58,6.60
24.65,9.51,9.51,2.91,2.91,-2.93,-2.92,-2.37,6.58,6.58,6.60
24.89,9.50,9.50,2.90,2.90,-2.92,-2.91,-2.43,6.58,6.58,6.60
25.14,9.49,9.50,2.89,2.90,-2.91,-2.89,-2.49,6.58,6.59,6.60
25.39,9.50,9.50,2.91,2.90,-2.90,-2.88,-2.56,6.60,6.60,6.59
