frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.60,5.60,-0.43,-0.43,0.47,0.89,0.25,6.07,6.07,6.03
20.20,5.57,5.57,-0.46,-0.46,0.48,0.87,0.26,6.04,6.04,6.03
20.40,5.55,5.54,-0.48,-0.48,0.47,0.85,0.26,6.02,6.02,6.03
20.61,5.53,5.53,-0.50,-0.50,0.47,0.83,0.27,6.00,6.00,6.03
20.81,5.53,5.52,-0.50,-0.50,0.47,0.81,0.28,5.99,5.99,6.03
21.02,5.53,5.53,-0.50,-0.50,0.46,0.79,0.28,5.99,5.99,6.03
21.23,5.55,5.55,-0.48,-0.48,0.45,0.76,0.29,6.00,6.00,6.03
21.44,5.58,5.58,-0.45,-0.45,0.44,0.73,0.30,6.02,6.02,6.02
21.66,5.62,5.61,-0.41,-0.41,0.41,0.70,0.31,6.03,6.03,6.02
21.87,5.65,5.65,-0.38,-0.38,0.39,0.67,0.31,6.04,6.04,6.02
22.09,5.67,5.67,-0.36,-0.35,0.37,0.63,0.32,6.04,6.04,6.02
22.31,5.69,5.68,-0.33,-0.34,0.36,0.59,0.33,6.05,6.04,6.02
22.54,5.69,5.68,-0.33,-0.34,0.35,0.54,0.34,6.04,6.04,6.02
22.76,5.68,5.68,-0.34,-0.34,0.35,0.49,0.35,6.03,6.03,6.02
22.99,5.66,5.66,-0.36,-0.36,0.35,0.44,0.35,6.01,6.01,6.02
23.22,5.65,5.65,-0.37,-0.37,0.35,0.37,0.36,6.00,6.00,6.02
23.45,5.64,5.64,-0.38,-0.37,0.36,0.31,0.37,5.99,6.00,6.02
23.69,5.65,5.65,-0.37,-0.37,0.36,0.24,0.38,6.00,6.00,6.02
23.92,5.66,5.66,-0.36,-0.36,0.35,0.16,0.39,6.01,6.01,6.01
24.16,5.67,5.67,-0.35,-0.34,0.35,0.08,0.40,6.02,6.02,6.01
24.40,5.68,5.68,-0.33,-0.33,0.35,-0.00,0.41,6.02,6.02,6.01
24.65,5.69,5.68,-0.32,-0.33,0.34,-0.09,0.42,6.03,6.03,6.01
24.89,5.68,5.68,-0.33,-0.33,0.35,-0.18,0.43,6.02,6.02,6.01
25.14,5.67,5.66,-0.34,-0.34,0.35,-0.26,0.44,6.02,6.01,6.01
25.39,5.65,5.65,-0.36,-0.36,0.36,-0.34,0.45,6.00,6.00,6.01
25.65,5.63,5.63,-0.38,-0.38,0.36,-0.41,0.46,5.99,5.99,6.01
25.91,5.62,5.62,-0.39,-0.39,0.37,-0.48,0.47,5.99,5.99,6.00
26.16,5.61,5.61,-0.40,-0.39,0.38,-0.51,0.48,5.99,5.99,6.00
26.43,5.61,5.61,-0.39,-0.39,0.39,-0.55,0.50,6.00,6.00,6.00
26.69,5.61,5.61,-0.39,-0.39,0.40,-0.54,0.51,6.00,6.00,6.00
26.96,5.61,5.60,-0.39,-0.39,0.41,-0.53,0.52,6.02,6.01,6.00
27.23,5.59,5.59,-0.41,-0.41,0.42,-0.48,0.53,6.01,6.01,6.00
27.50,5.57,5.57,-0.43,-0.43,0.44,-0.43,0.54,6.01,6.01,5.99
27.77,5.54,5.54,-0.45,-0.46,0.46,-0.36,0.56,5.99,5.99,5.99
28.05,5.51,5.51,-0.48,-0.48,0.48,-0.27,0.57,5.98,5.98,5.99
28.33,5.48,5.48,-0.51,-0.51,0.49,-0.18,0.58,5.97,5.97,5.99
28.62,5.46,5.46,-0.53,-0.53,0.51,-0.08,0.59,5.97,5.97,5.99
28.90,5.45,5.45,-0.54,-0.53,0.52,0.02,0.61,5.97,5.97,5.98
29.19,5.45,5.45,-0.53,-0.53,0.53,0.11,0.62,5.98,5.98,5.98
29.48,5.45,5.45,-0.53,-0.53,0.54,0.21,0.63,5.99,5.99,5.98
29.78,5.45,5.44,-0.53,-0.53,0.55,0.30,0.65,6.00,5.99,5.98
30.08,5.43,5.43,-0.55,-0.54,0.56,0.39,0.66,5.99,5.99,5.97
30.38,5.41,5.41,-0.56,-0.56,0.57,0.47,0.67,5.98,5.98,5.97
30.68,5.39,5.38,-0.58,-0.58,0.58,0.54,0.69,5.97,5.96,5.97
30.99,5.36,5.36,-0.61,-0.60,0.59,0.62,0.70,5.95,5.96,5.96
31.30,5.35,5.34,-0.61,-0.62,0.61,0.68,0.71,5.95,5.95,5.96
31.61,5.33,5.33,-0.63,-0.63,0.62,0.74,0.73,5.95,5.95,5.96
31.93,5.32,5.32,-0.64,-0.64,0.64,0.80,0.74,5.96,5.96,5.96
32.24,5.31,5.30,-0.65,-0.65,0.65,0.85,0.75,5.96,5.96,5.95
32.57,5.29,5.29,-0.66,-0.66,0.67,0.90,0.77,5.96,5.96,5.95
32.89,5.27,5.26,-0.68,-0.68,0.68,0.95,0.78,5.95,5.95,5.94
33.22,5.24,5.24,-0.70,-0.70,0.70,0.99,0.80,5.93,5.94,5.94
33.55,5.22,5.22,-0.72,-0.72,0.71,1.03,0.81,5.93,5.93,5.94
33.89,5.20,5.20,-0.74,-0.74,0.73,1.07,0.83,5.93,5.93,5.93
34.23,5.18,5.18,-0.75,-0.75,0.75,1.11,0.84,5.93,5.93,5.93
34.57,5.17,5.16,-0.76,-0.76,0.77,1.14,0.86,5.94,5.93,5.92
34.92,5.14,5.14,-0.78,-0.78,0.79,1.17,0.88,5.93,5.93,5.92
35.27,5.12,5.11,-0.80,-0.80,0.81,1.20,0.89,5.92,5.92,5.91
35.62,5.08,5.08,-0.83,-0.83,0.83,1.23,0.91,5.90,5.91,5.91
35.97,5.05,5.05,-0.86,-0.86,0.85,1.26,0.93,5.89,5.90,5.90
36.33,5.03,5.02,-0.87,-0.88,0.87,1.28,0.95,5.89,5.89,5.90
36.70,5.00,5.00,-0.90,-0.89,0.89,1.31,0.96,5.89,5.89,5.89
37.06,4.99,4.98,-0.90,-0.91,0.91,1.33,0.98,5.90,5.89,5.89
37.43,4.96,4.96,-0.93,-0.93,0.93,1.36,1.00,5.89,5.89,5.88
37.81,4.93,4.93,-0.95,-0.95,0.96,1.38,1.02,5.88,5.88,5.88
38.19,4.90,4.89,-0.97,-0.98,0.98,1.40,1.05,5.88,5.87,5.87
38.57,4.86,4.86,-1.01,-1.00,1.00,1.42,1.07,5.86,5.86,5.86
38.95,4.83,4.82,-1.03,-1.03,1.03,1.45,1.09,5.86,5.86,5.86
39.34,4.79,4.79,-1.06,-1.06,1.06,1.47,1.12,5.84,5.85,5.85
39.74,4.76,4.75,-1.09,-1.09,1.09,1.49,1.14,5.84,5.84,5.84
40.14,4.72,4.72,-1.12,-1.12,1.11,1.51,1.17,5.83,5.83,5.83
40.54,4.69,4.69,-1.14,-1.14,1.14,1.53,1.19,5.82,5.82,5.83
40.94,4.66,4.66,-1.16,-1.16,1.16,1.55,1.22,5.82,5.82,5.82
41.35,4.63,4.63,-1.18,-1.18,1.19,1.57,1.25,5.81,5.81,5.81
41.76,4.60,4.59,-1.21,-1.21,1.21,1.59,1.28,5.81,5.80,5.80
42.18,4.56,4.56,-1.24,-1.23,1.24,1.61,1.31,5.79,5.80,5.79
42.60,4.53,4.52,-1.26,-1.26,1.26,1.63,1.34,5.79,5.79,5.78
43.03,4.49,4.48,-1.29,-1.29,1.29,1.65,1.37,5.78,5.77,5.77
43.46,4.44,4.44,-1.33,-1.32,1.32,1.67,1.41,5.76,5.76,5.76
43.90,4.40,4.40,-1.36,-1.36,1.35,1.69,1.44,5.75,5.75,5.75
44.33,4.36,4.36,-1.39,-1.39,1.38,1.71,1.48,5.74,5.74,5.74
44.78,4.32,4.32,-1.41,-1.41,1.41,1.73,1.51,5.73,5.73,5.73
