frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.53,7.53,0.11,0.11,-0.12,-0.27,-0.19,7.41,7.41,7.42
20.20,7.53,7.53,0.11,0.11,-0.11,-0.27,-0.19,7.42,7.42,7.42
20.40,7.54,7.53,0.12,0.11,-0.10,-0.27,-0.20,7.44,7.43,7.42
20.61,7.53,7.53,0.11,0.11,-0.10,-0.27,-0.20,7.44,7.44,7.42
20.81,7.52,7.53,0.10,0.10,-0.09,-0.27,-0.21,7.43,7.43,7.42
21.02,7.52,7.52,0.10,0.10,-0.10,-0.28,-0.22,7.43,7.42,7.42
21.23,7.52,7.52,0.10,0.10,-0.10,-0.28,-0.22,7.42,7.42,7.42
21.44,7.52,7.52,0.10,0.10,-0.11,-0.28,-0.23,7.41,7.41,7.42
21.66,7.53,7.53,0.11,0.11,-0.12,-0.28,-0.23,7.41,7.41,7.42
21.87,7.54,7.55,0.12,0.13,-0.14,-0.28,-0.24,7.40,7.41,7.42
22.09,7.57,7.57,0.15,0.15,-0.16,-0.28,-0.25,7.41,7.41,7.42
22.31,7.60,7.60,0.18,0.18,-0.19,-0.28,-0.26,7.42,7.41,7.42
22.54,7.63,7.63,0.21,0.22,-0.21,-0.28,-0.26,7.42,7.42,7.42
22.76,7.66,7.66,0.25,0.24,-0.23,-0.29,-0.27,7.43,7.42,7.41
22.99,7.68,7.68,0.27,0.27,-0.25,-0.29,-0.28,7.43,7.42,7.41
23.22,7.69,7.69,0.28,0.28,-0.27,-0.29,-0.29,7.42,7.43,7.41
23.45,7.70,7.70,0.29,0.29,-0.28,-0.29,-0.29,7.42,7.42,7.41
23.69,7.70,7.70,0.29,0.29,-0.28,-0.29,-0.30,7.42,7.42,7.41
23.92,7.69,7.69,0.28,0.28,-0.28,-0.29,-0.31,7.41,7.41,7.41
24.16,7.68,7.68,0.27,0.28,-0.28,-0.29,-0.32,7.40,7.40,7.41
24.40,7.68,7.68,0.27,0.27,-0.28,-0.30,-0.33,7.40,7.39,7.41
24.65,7.68,7.68,0.27,0.28,-0.29,-0.30,-0.34,7.39,7.39,7.41
24.89,7.69,7.69,0.29,0.29,-0.30,-0.30,-0.35,7.39,7.39,7.40
25.14,7.71,7.71,0.31,0.31,-0.31,-0.30,-0.35,7.40,7.40,7.40
