frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.19,9.19,2.54,2.53,-2.54,-2.49,-1.11,6.65,6.65,6.65
20.20,9.19,9.19,2.54,2.54,-2.54,-2.49,-1.14,6.65,6.65,6.65
20.40,9.19,9.19,2.54,2.54,-2.54,-2.49,-1.18,6.65,6.65,6.65
20.61,9.20,9.20,2.55,2.55,-2.54,-2.49,-1.21,6.66,6.65,6.65
20.81,9.20,9.20,2.55,2.55,-2.55,-2.49,-1.25,6.65,6.65,6.65
21.02,9.20,9.20,2.55,2.55,-2.55,-2.49,-1.29,6.65,6.65,6.65
21.23,9.20,9.20,2.55,2.55,-2.55,-2.48,-1.33,6.65,6.65,6.65
21.44,9.20,9.20,2.55,2.55,-2.55,-2.48,-1.37,6.65,6.65,6.65
21.66,9.20,9.20,2.55,2.55,-2.55,-2.48,-1.41,6.65,6.65,6.65
21.87,9.20,9.20,2.55,2.55,-2.55,-2.48,-1.45,6.65,6.65,6.65
22.09,9.20,9.20,2.55,2.55,-2.55,-2.48,-1.49,6.65,6.65,6.65
22.31,9.20,9.20,2.55,2.55,-2.56,-2.47,-1.54,6.65,6.65,6.65
22.54,9.20,9.20,2.56,2.56,-2.56,-2.47,-1.58,6.65,6.65,6.65
22.76,9.20,9.20,2.56,2.56,-2.56,-2.47,-1.63,6.64,6.65,6.64
22.99,9.20,9.20,2.56,2.56,-2.56,-2.47,-1.67,6.65,6.64,6.64
23.22,9.20,9.20,2.56,2.56,-2.55,-2.47,-1.72,6.65,6.64,6.64
23.45,9.19,9.19,2.55,2.55,-2.55,-2.46,-1.77,6.64,6.64,6.64
23.69,9.19,9.19,2.55,2.55,-2.55,-2.46,-1.82,6.64,6.64,6.64
23.92,9.19,9.19,2.55,2.55,-2.55,-2.46,-1.88,6.64,6.64,6.64
24.16,9.18,9.18,2.54,2.55,-2.55,-2.46,-1.93,6.63,6.64,6.64
24.40,9.18,9.18,2.54,2.54,-2.54,-2.45,-1.98,6.64,6.64,6.64
24.65,9.18,9.18,2.55,2.54,-2.54,-2.45,-2.04,6.64,6.64,6.64
24.89,9.17,9.17,2.54,2.54,-2.54,-2.45,-2.09,6.63,6.63,6.63
25.14,9.17,9.17,2.54,2.54,-2.54,-2.45,-2.14,6.64,6.63,6.63
25.39,9.16,9.16,2.53,2.53,-2.53,-2.44,-2.20,6.63,6.63,6.63
25.65,9.16,9.16,2.53,2.53,-2.53,-2.44,-2.25,6.63,6.63,6.63
25.91,9.15,9.15,2.52,2.52,-2.52,-2.44,-2.31,6.63,6.63,6.63
26.16,9.14,9.14,2.51,2.51,-2.51,-2.44,-2.36,6.63,6.63,6.63
26.43,9.13,9.13,2.51,2.51,-2.51,-2.43,-2.42,6.62,6.62,6.63
26.69,9.12,9.12,2.50,2.50,-2.50,-2.43,-2.47,6.62,6.62,6.62
26.96,9.12,9.12,2.50,2.50,-2.50,-2.43,-2.52,6.62,6.62,6.62
27.23,9.11,9.11,2.49,2.49,-2.49,-2.42,-2.58,6.62,6.62,6.62
27.50,9.10,9.10,2.48,2.48,-2.48,-2.42,-2.63,6.62,6.62,6.62
27.77,9.09,9.09,2.47,2.48,-2.48,-2.41,-2.67,6.61,6.61,6.62
28.05,9.09,9.09,2.48,2.47,-2.47,-2.41,-2.72,6.62,6.61,6.61
28.33,9.08,9.08,2.47,2.47,-2.47,-2.41,-2.76,6.61,6.61,6.61
