frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.00,12.01,4.43,4.43,-4.41,-5.02,-2.34,7.59,7.59,7.57
20.20,12.03,12.03,4.46,4.45,-4.45,-5.02,-2.41,7.58,7.58,7.57
20.40,12.05,12.05,4.48,4.48,-4.48,-5.03,-2.48,7.57,7.57,7.57
20.61,12.07,12.08,4.50,4.50,-4.51,-5.03,-2.55,7.56,7.56,7.57
20.81,12.10,12.10,4.53,4.53,-4.55,-5.03,-2.62,7.56,7.56,7.57
21.02,12.13,12.13,4.56,4.56,-4.58,-5.03,-2.70,7.56,7.56,7.57
21.23,12.17,12.17,4.60,4.60,-4.61,-5.03,-2.78,7.57,7.56,7.57
21.44,12.20,12.21,4.63,4.64,-4.64,-5.04,-2.86,7.57,7.57,7.57
21.66,12.24,12.24,4.67,4.67,-4.67,-5.04,-2.94,7.57,7.57,7.57
21.87,12.27,12.27,4.70,4.70,-4.70,-5.04,-3.02,7.57,7.57,7.57
22.09,12.30,12.30,4.74,4.73,-4.73,-5.04,-3.11,7.58,7.58,7.57
22.31,12.32,12.32,4.76,4.76,-4.75,-5.04,-3.20,7.57,7.57,7.57
22.54,12.34,12.34,4.78,4.77,-4.77,-5.05,-3.29,7.57,7.57,7.57
22.76,12.35,12.35,4.79,4.79,-4.79,-5.05,-3.38,7.56,7.56,7.56
22.99,12.36,12.37,4.80,4.80,-4.81,-5.05,-3.48,7.56,7.56,7.56
23.22,12.38,12.38,4.82,4.82,-4.82,-5.05,-3.57,7.56,7.56,7.56
23.45,12.39,12.39,4.83,4.83,-4.84,-5.06,-3.67,7.55,7.55,7.56
23.69,12.41,12.41,4.85,4.85,-4.86,-5.06,-3.78,7.55,7.56,7.56
23.92,12.43,12.43,4.87,4.88,-4.88,-5.06,-3.88,7.55,7.56,7.56
24.16,12.46,12.46,4.90,4.90,-4.90,-5.06,-3.99,7.56,7.56,7.56
24.40,12.48,12.48,4.93,4.93,-4.92,-5.07,-4.09,7.56,7.56,7.56
24.65,12.50,12.50,4.95,4.95,-4.94,-5.07,-4.20,7.56,7.56,7.56
24.89,12.52,12.52,4.97,4.97,-4.97,-5.07,-4.31,7.56,7.56,7.55
25.14,12.54,12.54,4.99,4.99,-4.99,-5.08,-4.43,7.55,7.55,7.55
25.39,12.56,12.56,5.01,5.01,-5.01,-5.08,-4.54,7.55,7.55,7.55
25.65,12.58,12.58,5.03,5.03,-5.04,-5.08,-4.65,7.55,7.55,7.55
25.91,12.60,12.60,5.05,5.05,-5.06,-5.08,-4.77,7.54,7.54,7.55
26.16,12.62,12.62,5.08,5.08,-5.08,-5.09,-4.88,7.54,7.54,7.55
26.43,12.64,12.64,5.10,5.10,-5.10,-5.09,-4.99,7.54,7.55,7.55
26.69,12.66,12.66,5.12,5.12,-5.11,-5.09,-5.11,7.55,7.55,7.54
26.96,12.68,12.68,5.14,5.14,-5.13,-5.10,-5.22,7.55,7.55,7.54
27.23,12.69,12.69,5.15,5.15,-5.14,-5.10,-5.33,7.55,7.55,7.54
27.50,12.69,12.69,5.15,5.16,-5.15,-5.10,-5.43,7.54,7.54,7.54
27.77,12.69,12.70,5.16,5.16,-5.16,-5.10,-5.54,7.53,7.53,7.54
28.05,12.70,12.70,5.17,5.17,-5.18,-5.11,-5.64,7.53,7.53,7.53
28.33,12.71,12.71,5.18,5.18,-5.19,-5.11,-5.73,7.52,7.52,7.53
28.62,12.72,12.73,5.19,5.20,-5.20,-5.11,-5.83,7.52,7.52,7.53
28.90,12.74,12.74,5.21,5.22,-5.22,-5.12,-5.91,7.53,7.53,7.53
29.19,12.76,12.76,5.24,5.24,-5.23,-5.12,-5.99,7.53,7.53,7.53
29.48,12.78,12.78,5.26,5.26,-5.25,-5.12,-6.06,7.53,7.53,7.52
29.78,12.79,12.79,5.27,5.27,-5.27,-5.13,-6.13,7.53,7.53,7.52
30.08,12.80,12.80,5.28,5.29,-5.28,-5.13,-6.19,7.52,7.52,7.52
30.38,12.81,12.81,5.30,5.30,-5.30,-5.14,-6.24,7.52,7.52,7.52
30.68,12.82,12.82,5.31,5.31,-5.31,-5.14,-6.28,7.51,7.51,7.51
30.99,12.82,12.83,5.31,5.32,-5.32,-5.14,-6.32,7.50,7.51,7.51
31.30,12.83,12.83,5.33,5.33,-5.33,-5.15,-6.34,7.50,7.50,7.51
31.61,12.84,12.84,5.34,5.34,-5.34,-5.15,-6.36,7.50,7.50,7.50
31.93,12.85,12.85,5.35,5.35,-5.35,-5.15,-6.37,7.51,7.50,7.50
32.24,12.85,12.86,5.36,5.36,-5.36,-5.16,-6.38,7.50,7.50,7.50
32.57,12.86,12.86,5.37,5.37,-5.37,-5.16,-6.37,7.50,7.49,7.49
32.89,12.86,12.86,5.37,5.37,-5.38,-5.17,-6.35,7.49,7.49,7.49
33.22,12.86,12.87,5.38,5.38,-5.38,-5.17,-6.33,7.48,7.48,7.49
33.55,12.87,12.87,5.39,5.39,-5.39,-5.17,-6.30,7.48,7.48,7.48
33.89,12.88,12.88,5.40,5.40,-5.40,-5.18,-6.27,7.48,7.48,7.48
34.23,12.89,12.89,5.42,5.42,-5.41,-5.18,-6.23,7.48,7.48,7.47
34.57,12.89,12.90,5.42,5.43,-5.42,-5.19,-6.19,7.47,7.47,7.47
34.92,12.90,12.90,5.44,5.44,-5.43,-5.19,-6.14,7.47,7.47,7.46
35.27,12.90,12.90,5.44,5.44,-5.44,-5.19,-6.09,7.46,7.46,7.46
35.62,12.90,12.90,5.45,5.45,-5.45,-5.20,-6.03,7.45,7.46,7.45
35.97,12.90,12.90,5.45,5.45,-5.45,-5.20,-5.97,7.45,7.45,7.45
36.33,12.90,12.90,5.46,5.46,-5.46,-5.21,-5.92,7.45,7.44,7.44
36.70,12.90,12.90,5.46,5.46,-5.46,-5.21,-5.86,7.44,7.44,7.44
37.06,12.89,12.90,5.46,5.46,-5.46,-5.22,-5.80,7.43,7.43,7.43
37.43,12.89,12.89,5.46,5.46,-5.47,-5.22,-5.74,7.43,7.43,7.43
37.81,12.89,12.89,5.47,5.47,-5.47,-5.22,-5.68,7.42,7.42,7.42
38.19,12.88,12.89,5.47,5.47,-5.47,-5.23,-5.62,7.41,7.41,7.41
38.57,12.88,12.88,5.47,5.47,-5.47,-5.23,-5.56,7.41,7.41,7.41
38.95,12.88,12.88,5.48,5.48,-5.48,-5.24,-5.51,7.40,7.40,7.40
39.34,12.87,12.88,5.48,5.48,-5.48,-5.24,-5.46,7.39,7.39,7.39
39.74,12.87,12.87,5.48,5.48,-5.48,-5.25,-5.41,7.39,7.39,7.39
40.14,12.86,12.87,5.48,5.49,-5.48,-5.25,-5.36,7.38,7.38,7.38
40.54,12.86,12.86,5.49,5.49,-5.49,-5.26,-5.31,7.38,7.37,7.37
40.94,12.85,12.85,5.49,5.49,-5.49,-5.26,-5.27,7.37,7.37,7.36
41.35,12.84,12.84,5.49,5.49,-5.49,-5.26,-5.23,7.36,7.36,7.36
41.76,12.83,12.83,5.49,5.49,-5.49,-5.27,-5.20,7.35,7.35,7.35
