frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.60,11.60,4.05,4.05,-4.03,-4.70,-2.21,7.57,7.57,7.55
20.20,11.63,11.63,4.08,4.08,-4.08,-4.70,-2.27,7.55,7.55,7.55
20.40,11.66,11.66,4.11,4.11,-4.12,-4.70,-2.34,7.54,7.54,7.55
20.61,11.69,11.69,4.14,4.14,-4.16,-4.70,-2.41,7.53,7.54,7.55
20.81,11.73,11.73,4.18,4.18,-4.19,-4.71,-2.47,7.54,7.54,7.55
21.02,11.77,11.77,4.22,4.22,-4.23,-4.71,-2.55,7.54,7.54,7.55
21.23,11.81,11.81,4.26,4.26,-4.26,-4.71,-2.62,7.55,7.55,7.55
21.44,11.84,11.84,4.29,4.29,-4.29,-4.72,-2.69,7.56,7.55,7.55
21.66,11.86,11.87,4.32,4.32,-4.31,-4.72,-2.77,7.55,7.55,7.55
21.87,11.89,11.89,4.35,4.34,-4.33,-4.72,-2.85,7.56,7.55,7.54
22.09,11.90,11.90,4.36,4.36,-4.35,-4.73,-2.93,7.55,7.55,7.54
22.31,11.91,11.91,4.37,4.37,-4.37,-4.73,-3.02,7.54,7.55,7.54
22.54,11.92,11.92,4.38,4.38,-4.38,-4.73,-3.10,7.54,7.54,7.54
22.76,11.93,11.93,4.39,4.39,-4.40,-4.74,-3.19,7.53,7.53,7.54
22.99,11.94,11.94,4.40,4.40,-4.41,-4.74,-3.28,7.53,7.53,7.54
23.22,11.96,11.96,4.42,4.42,-4.43,-4.75,-3.37,7.53,7.53,7.54
23.45,11.99,11.99,4.45,4.45,-4.46,-4.75,-3.47,7.53,7.53,7.54
23.69,12.02,12.02,4.48,4.48,-4.48,-4.75,-3.57,7.54,7.54,7.54
23.92,12.05,12.05,4.52,4.52,-4.51,-4.76,-3.66,7.54,7.54,7.54
24.16,12.08,12.08,4.55,4.54,-4.54,-4.76,-3.76,7.54,7.54,7.53
24.40,12.10,12.10,4.57,4.57,-4.56,-4.77,-3.87,7.54,7.54,7.53
24.65,12.12,12.12,4.59,4.59,-4.58,-4.77,-3.97,7.54,7.54,7.53
24.89,12.14,12.14,4.61,4.61,-4.61,-4.78,-4.07,7.54,7.53,7.53
25.14,12.15,12.15,4.62,4.62,-4.62,-4.78,-4.18,7.53,7.53,7.53
25.39,12.17,12.17,4.64,4.64,-4.64,-4.78,-4.29,7.53,7.53,7.53
25.65,12.18,12.18,4.65,4.66,-4.66,-4.79,-4.39,7.52,7.52,7.53
25.91,12.20,12.20,4.68,4.67,-4.68,-4.79,-4.50,7.52,7.52,7.53
26.16,12.22,12.22,4.70,4.70,-4.70,-4.80,-4.61,7.52,7.52,7.52
26.43,12.24,12.24,4.72,4.72,-4.72,-4.81,-4.72,7.52,7.52,7.52
26.69,12.27,12.27,4.75,4.75,-4.74,-4.81,-4.82,7.53,7.52,7.52
26.96,12.29,12.29,4.77,4.77,-4.76,-4.82,-4.93,7.53,7.52,7.52
27.23,12.30,12.31,4.78,4.79,-4.78,-4.82,-5.03,7.52,7.52,7.52
27.50,12.32,12.32,4.81,4.80,-4.80,-4.83,-5.13,7.52,7.52,7.51
27.77,12.33,12.33,4.82,4.82,-4.82,-4.83,-5.23,7.51,7.51,7.51
28.05,12.34,12.34,4.83,4.83,-4.83,-4.84,-5.32,7.51,7.51,7.51
28.33,12.35,12.35,4.84,4.84,-4.85,-4.85,-5.41,7.50,7.50,7.51
28.62,12.37,12.37,4.86,4.86,-4.87,-4.85,-5.50,7.50,7.50,7.51
28.90,12.38,12.38,4.88,4.88,-4.88,-4.86,-5.58,7.50,7.50,7.50
29.19,12.40,12.40,4.90,4.90,-4.90,-4.87,-5.66,7.50,7.50,7.50
29.48,12.42,12.42,4.92,4.92,-4.91,-4.88,-5.72,7.51,7.50,7.50
29.78,12.43,12.43,4.93,4.93,-4.93,-4.88,-5.79,7.50,7.50,7.50
30.08,12.44,12.44,4.95,4.95,-4.94,-4.89,-5.84,7.50,7.50,7.49
30.38,12.45,12.45,4.96,4.96,-4.95,-4.90,-5.89,7.50,7.49,7.49
30.68,12.45,12.45,4.96,4.97,-4.97,-4.91,-5.93,7.48,7.49,7.49
30.99,12.46,12.46,4.97,4.98,-4.98,-4.91,-5.97,7.48,7.48,7.49
31.30,12.47,12.47,4.99,4.99,-4.99,-4.92,-5.99,7.48,7.48,7.48
31.61,12.48,12.48,5.00,5.00,-5.00,-4.93,-6.01,7.48,7.48,7.48
31.93,12.49,12.49,5.01,5.02,-5.02,-4.94,-6.01,7.47,7.48,7.48
32.24,12.50,12.50,5.03,5.03,-5.03,-4.95,-6.02,7.47,7.48,7.47
32.57,12.52,12.52,5.05,5.05,-5.04,-4.96,-6.01,7.48,7.47,7.47
32.89,12.52,12.52,5.05,5.06,-5.05,-4.97,-6.00,7.47,7.47,7.47
33.22,12.53,12.53,5.07,5.07,-5.06,-4.98,-5.98,7.47,7.46,7.46
33.55,12.53,12.53,5.07,5.07,-5.07,-4.99,-5.95,7.46,7.46,7.46
33.89,12.53,12.54,5.08,5.08,-5.08,-5.00,-5.92,7.45,7.45,7.45
34.23,12.54,12.54,5.09,5.09,-5.09,-5.01,-5.89,7.45,7.45,7.45
34.57,12.55,12.55,5.11,5.10,-5.10,-5.02,-5.84,7.45,7.45,7.45
34.92,12.55,12.55,5.11,5.11,-5.11,-5.03,-5.80,7.44,7.44,7.44
35.27,12.56,12.56,5.12,5.12,-5.12,-5.04,-5.75,7.44,7.44,7.44
35.62,12.56,12.56,5.13,5.13,-5.13,-5.05,-5.70,7.43,7.43,7.43
35.97,12.56,12.57,5.13,5.14,-5.14,-5.05,-5.65,7.42,7.43,7.43
36.33,12.57,12.57,5.15,5.15,-5.15,-5.06,-5.59,7.42,7.42,7.42
36.70,12.57,12.57,5.16,5.15,-5.15,-5.07,-5.54,7.42,7.42,7.42
37.06,12.57,12.57,5.16,5.16,-5.16,-5.08,-5.48,7.41,7.41,7.41
37.43,12.57,12.57,5.17,5.17,-5.16,-5.09,-5.42,7.41,7.41,7.40
37.81,12.57,12.57,5.17,5.17,-5.17,-5.09,-5.37,7.40,7.40,7.40
38.19,12.56,12.56,5.17,5.17,-5.17,-5.10,-5.32,7.39,7.39,7.39
38.57,12.56,12.56,5.18,5.18,-5.18,-5.11,-5.26,7.38,7.38,7.39
38.95,12.56,12.56,5.18,5.18,-5.19,-5.11,-5.21,7.38,7.37,7.38
39.34,12.56,12.56,5.19,5.19,-5.19,-5.12,-5.16,7.37,7.37,7.37
39.74,12.56,12.56,5.20,5.20,-5.20,-5.12,-5.11,7.36,7.36,7.36
40.14,12.56,12.56,5.20,5.20,-5.20,-5.13,-5.07,7.36,7.36,7.36
40.54,12.56,12.56,5.21,5.21,-5.21,-5.13,-5.03,7.35,7.35,7.35
40.94,12.55,12.55,5.21,5.21,-5.21,-5.13,-4.99,7.34,7.34,7.34
41.35,12.55,12.55,5.22,5.22,-5.21,-5.14,-4.95,7.34,7.33,7.33
41.76,12.54,12.54,5.22,5.22,-5.22,-5.14,-4.92,7.32,7.32,7.32
42.18,12.53,12.53,5.22,5.22,-5.22,-5.14,-4.89,7.31,7.31,7.31
42.60,12.52,12.52,5.22,5.22,-5.22,-5.14,-4.86,7.30,7.30,7.30
43.03,12.51,12.51,5.22,5.22,-5.22,-5.15,-4.84,7.29,7.29,7.30
43.46,12.50,12.50,5.22,5.22,-5.22,-5.15,-4.82,7.28,7.28,7.28
43.90,12.49,12.49,5.22,5.22,-5.22,-5.15,-4.81,7.27,7.27,7.27
44.33,12.48,12.48,5.22,5.22,-5.22,-5.15,-4.80,7.26,7.26,7.26
44.78,12.47,12.47,5.22,5.22,-5.22,-5.15,-4.79,7.25,7.25,7.25
45.23,12.46,12.46,5.22,5.22,-5.22,-5.15,-4.78,7.24,7.25,7.24
45.68,12.45,12.45,5.22,5.22,-5.22,-5.15,-4.78,7.24,7.24,7.23
46.13,12.44,12.43,5.22,5.22,-5.21,-5.16,-4.79,7.23,7.22,7.22
46.60,12.41,12.41,5.21,5.21,-5.21,-5.16,-4.79,7.20,7.20,7.20
47.06,12.39,12.39,5.20,5.20,-5.21,-5.16,-4.80,7.18,7.19,7.19
47.53,12.37,12.37,5.19,5.20,-5.20,-5.16,-4.82,7.17,7.17,7.18
48.01,12.36,12.36,5.20,5.19,-5.20,-5.16,-4.83,7.16,7.16,7.16
48.49,12.34,12.34,5.19,5.20,-5.20,-5.17,-4.85,7.14,7.14,7.15
48.97,12.33,12.33,5.20,5.20,-5.20,-5.17,-4.87,7.13,7.13,7.13
49.46,12.32,12.32,5.20,5.20,-5.20,-5.17,-4.90,7.12,7.12,7.12
49.96,12.30,12.30,5.20,5.20,-5.20,-5.17,-4.93,7.11,7.11,7.10
50.46,12.28,12.28,5.20,5.20,-5.19,-5.17,-4.96,7.09,7.09,7.08
50.96,12.26,12.26,5.20,5.19,-5.19,-5.18,-4.99,7.07,7.06,7.07
51.47,12.23,12.23,5.18,5.19,-5.19,-5.18,-5.02,7.04,7.04,7.05
51.99,12.21,12.21,5.18,5.18,-5.19,-5.18,-5.06,7.02,7.02,7.03
52.51,12.19,12.19,5.18,5.18,-5.19,-5.19,-5.10,7.00,7.01,7.01
53.03,12.18,12.18,5.19,5.19,-5.19,-5.19,-5.13,7.00,6.99,6.99
53.56,12.16,12.16,5.19,5.19,-5.18,-5.19,-5.17,6.98,6.97,6.97
54.10,12.13,12.13,5.18,5.18,-5.18,-5.20,-5.21,6.95,6.95,6.95
54.64,12.10,12.11,5.18,5.18,-5.18,-5.20,-5.25,6.92,6.93,6.93
55.18,12.08,12.08,5.18,5.18,-5.18,-5.20,-5.29,6.90,6.90,6.90
55.74,12.06,12.06,5.18,5.18,-5.18,-5.21,-5.32,6.89,6.88,6.88
56.29,12.03,12.03,5.18,5.17,-5.17,-5.21,-5.36,6.86,6.85,6.86
56.86,11.99,12.00,5.16,5.16,-5.17,-5.21,-5.39,6.82,6.83,6.83
57.42,11.96,11.96,5.16,5.16,-5.16,-5.22,-5.42,6.80,6.80,6.80
58.00,11.94,11.94,5.16,5.16,-5.16,-5.22,-5.45,6.78,6.78,6.78
58.58,11.91,11.91,5.16,5.16,-5.15,-5.22,-5.48,6.76,6.76,6.75
59.16,11.88,11.88,5.16,5.16,-5.15,-5.22,-5.50,6.73,6.73,6.72
59.76,11.84,11.84,5.15,5.15,-5.14,-5.23,-5.52,6.70,6.70,6.69
60.35,11.80,11.80,5.14,5.14,-5.14,-5.23,-5.53,6.66,6.66,6.66
60.96,11.76,11.76,5.13,5.13,-5.14,-5.23,-5.54,6.63,6.63,6.63
61.57,11.73,11.73,5.13,5.13,-5.13,-5.24,-5.55,6.60,6.60,6.60
62.18,11.70,11.70,5.13,5.13,-5.13,-5.24,-5.55,6.58,6.57,6.57
62.80,11.66,11.66,5.12,5.12,-5.12,-5.24,-5.54,6.54,6.54,6.54
63.43,11.62,11.62,5.12,5.12,-5.12,-5.24,-5.53,6.50,6.50,6.50
64.07,11.58,11.58,5.11,5.11,-5.11,-5.25,-5.52,6.47,6.47,6.47
64.71,11.54,11.54,5.11,5.11,-5.11,-5.25,-5.50,6.43,6.43,6.43
65.35,11.50,11.50,5.11,5.11,-5.11,-5.25,-5.48,6.39,6.39,6.39
66.01,11.46,11.46,5.10,5.11,-5.11,-5.25,-5.45,6.36,6.36,6.36
66.67,11.42,11.42,5.10,5.10,-5.10,-5.25,-5.42,6.32,6.32,6.32
67.33,11.38,11.38,5.10,5.10,-5.10,-5.26,-5.39,6.28,6.28,6.28
68.01,11.33,11.33,5.09,5.10,-5.10,-5.26,-5.35,6.24,6.24,6.24
68.69,11.29,11.29,5.10,5.09,-5.09,-5.26,-5.31,6.20,6.20,6.19
69.37,11.24,11.24,5.09,5.09,-5.09,-5.26,-5.26,6.15,6.15,6.15
70.07,11.19,11.19,5.08,5.08,-5.09,-5.26,-5.22,6.10,6.10,6.11
70.77,11.14,11.15,5.08,5.08,-5.09,-5.26,-5.17,6.05,6.06,6.06
71.48,11.10,11.10,5.09,5.08,-5.08,-5.26,-5.13,6.02,6.02,6.02
72.19,11.06,11.05,5.09,5.08,-5.08,-5.26,-5.08,5.98,5.97,5.97
72.91,11.00,11.00,5.08,5.08,-5.08,-5.26,-5.03,5.92,5.92,5.92
73.64,10.95,10.95,5.08,5.08,-5.08,-5.26,-4.98,5.87,5.87,5.87
74.38,10.90,10.90,5.08,5.08,-5.08,-5.26,-4.93,5.82,5.82,5.82
75.12,10.85,10.85,5.08,5.08,-5.08,-5.26,-4.88,5.77,5.77,5.77
75.87,10.79,10.79,5.07,5.07,-5.07,-5.25,-4.84,5.72,5.72,5.72
76.63,10.73,10.73,5.07,5.07,-5.07,-5.25,-4.79,5.66,5.66,5.66
77.40,10.68,10.68,5.07,5.07,-5.07,-5.25,-4.75,5.61,5.61,5.61
78.17,10.62,10.62,5.07,5.07,-5.07,-5.25,-4.71,5.55,5.55,5.55
78.95,10.57,10.57,5.07,5.07,-5.07,-5.24,-4.67,5.50,5.50,5.50
79.74,10.51,10.51,5.07,5.07,-5.07,-5.24,-4.63,5.44,5.44,5.44
80.54,10.45,10.45,5.07,5.07,-5.07,-5.24,-4.60,5.38,5.38,5.38
81.35,10.39,10.39,5.07,5.07,-5.07,-5.23,-4.57,5.32,5.32,5.32
82.16,10.34,10.34,5.08,5.07,-5.07,-5.23,-4.54,5.27,5.26,5.26
82.98,10.28,10.28,5.08,5.08,-5.07,-5.22,-4.51,5.21,5.21,5.20
83.81,10.21,10.21,5.07,5.07,-5.07,-5.22,-4.49,5.14,5.14,5.14
84.65,10.15,10.15,5.07,5.07,-5.07,-5.21,-4.47,5.08,5.08,5.08
85.50,10.08,10.08,5.07,5.07,-5.07,-5.21,-4.45,5.01,5.01,5.01
86.35,10.02,10.02,5.07,5.07,-5.07,-5.20,-4.44,4.95,4.95,4.95
87.22,9.95,9.95,5.07,5.07,-5.07,-5.19,-4.43,4.88,4.88,4.88
88.09,9.89,9.89,5.07,5.07,-5.07,-5.19,-4.42,4.82,4.82,4.82
88.97,9.82,9.82,5.07,5.07,-5.07,-5.18,-4.42,4.75,4.75,4.75
89.86,9.75,9.75,5.07,5.07,-5.07,-5.17,-4.42,4.68,4.69,4.68
90.76,9.68,9.68,5.06,5.07,-5.06,-5.16,-4.43,4.62,4.62,4.62
91.66,9.61,9.61,5.06,5.06,-5.06,-5.15,-4.43,4.55,4.55,4.55
92.58,9.54,9.54,5.06,5.06,-5.06,-5.14,-4.44,4.48,4.48,4.48
