frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.09,6.09,-1.19,-1.19,1.20,0.60,0.29,7.29,7.29,7.28
20.20,6.11,6.12,-1.17,-1.17,1.17,0.60,0.30,7.28,7.28,7.28
20.40,6.14,6.14,-1.14,-1.14,1.14,0.59,0.30,7.28,7.28,7.28
20.61,6.16,6.17,-1.12,-1.11,1.11,0.59,0.31,7.27,7.27,7.28
20.81,6.19,6.20,-1.09,-1.08,1.08,0.59,0.32,7.27,7.27,7.28
21.02,6.22,6.22,-1.06,-1.06,1.05,0.59,0.33,7.28,7.28,7.28
21.23,6.25,6.25,-1.02,-1.03,1.03,0.59,0.34,7.28,7.28,7.28
21.44,6.27,6.27,-1.00,-1.00,1.01,0.59,0.35,7.28,7.28,7.28
21.66,6.29,6.30,-0.98,-0.98,0.98,0.59,0.36,7.28,7.28,7.28
21.87,6.31,6.31,-0.96,-0.96,0.96,0.59,0.38,7.28,7.28,7.28
22.09,6.33,6.33,-0.94,-0.94,0.95,0.59,0.39,7.28,7.28,7.28
22.31,6.34,6.34,-0.93,-0.93,0.93,0.59,0.40,7.28,7.28,7.27
22.54,6.35,6.35,-0.92,-0.92,0.92,0.59,0.41,7.27,7.27,7.27
22.76,6.36,6.36,-0.91,-0.91,0.91,0.59,0.42,7.27,7.27,7.27
22.99,6.37,6.37,-0.90,-0.90,0.89,0.59,0.44,7.27,7.27,7.27
23.22,6.38,6.39,-0.89,-0.88,0.88,0.59,0.45,7.26,7.27,7.27
23.45,6.40,6.40,-0.87,-0.87,0.87,0.58,0.46,7.27,7.27,7.27
23.69,6.41,6.42,-0.85,-0.85,0.85,0.58,0.48,7.26,7.27,7.27
23.92,6.43,6.43,-0.83,-0.83,0.84,0.58,0.49,7.27,7.27,7.27
24.16,6.45,6.45,-0.81,-0.82,0.82,0.58,0.50,7.27,7.27,7.27
24.40,6.46,6.46,-0.80,-0.80,0.80,0.58,0.52,7.27,7.27,7.26
24.65,6.47,6.48,-0.79,-0.79,0.79,0.58,0.53,7.26,7.26,7.26
24.89,6.48,6.49,-0.78,-0.77,0.77,0.58,0.55,7.26,7.26,7.26
25.14,6.50,6.50,-0.76,-0.76,0.76,0.58,0.56,7.26,7.26,7.26
25.39,6.51,6.51,-0.75,-0.75,0.75,0.58,0.58,7.26,7.26,7.26
25.65,6.52,6.53,-0.73,-0.73,0.73,0.58,0.59,7.26,7.26,7.26
25.91,6.53,6.54,-0.72,-0.72,0.72,0.57,0.60,7.25,7.26,7.26
