frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.83,6.83,0.96,0.96,-0.96,-0.91,-0.34,5.87,5.87,5.87
20.20,6.83,6.83,0.96,0.96,-0.96,-0.90,-0.35,5.87,5.87,5.87
20.40,6.83,6.83,0.96,0.96,-0.96,-0.90,-0.36,5.86,5.87,5.87
20.61,6.83,6.83,0.96,0.96,-0.96,-0.90,-0.37,5.86,5.87,5.87
20.81,6.84,6.83,0.97,0.97,-0.97,-0.90,-0.39,5.87,5.87,5.87
21.02,6.84,6.84,0.97,0.97,-0.97,-0.89,-0.40,5.87,5.87,5.87
21.23,6.84,6.84,0.97,0.97,-0.97,-0.89,-0.41,5.87,5.87,5.87
21.44,6.84,6.84,0.97,0.97,-0.97,-0.89,-0.42,5.87,5.87,5.86
21.66,6.84,6.84,0.97,0.97,-0.97,-0.89,-0.44,5.87,5.87,5.86
21.87,6.84,6.83,0.97,0.97,-0.97,-0.88,-0.45,5.87,5.86,5.86
22.09,6.83,6.83,0.96,0.97,-0.97,-0.88,-0.46,5.86,5.86,5.86
22.31,6.83,6.83,0.96,0.97,-0.97,-0.88,-0.48,5.86,5.86,5.86
22.54,6.83,6.83,0.97,0.96,-0.97,-0.87,-0.49,5.86,5.86,5.86
22.76,6.83,6.83,0.97,0.97,-0.97,-0.87,-0.51,5.86,5.86,5.86
22.99,6.83,6.83,0.97,0.97,-0.97,-0.87,-0.53,5.86,5.86,5.86
23.22,6.83,6.83,0.97,0.97,-0.97,-0.86,-0.54,5.86,5.86,5.86
23.45,6.83,6.82,0.97,0.97,-0.96,-0.86,-0.56,5.86,5.86,5.86
23.69,6.82,6.82,0.96,0.96,-0.96,-0.86,-0.57,5.85,5.86,5.86
23.92,6.82,6.81,0.96,0.96,-0.96,-0.85,-0.59,5.86,5.85,5.85
24.16,6.81,6.81,0.95,0.96,-0.96,-0.85,-0.61,5.85,5.85,5.85
24.40,6.81,6.80,0.95,0.95,-0.95,-0.84,-0.63,5.85,5.85,5.85
24.65,6.80,6.80,0.95,0.95,-0.95,-0.84,-0.64,5.85,5.85,5.85
24.89,6.80,6.79,0.95,0.94,-0.94,-0.84,-0.66,5.85,5.85,5.85
25.14,6.79,6.79,0.94,0.94,-0.94,-0.83,-0.68,5.85,5.85,5.85
25.39,6.78,6.78,0.93,0.93,-0.93,-0.83,-0.70,5.84,5.85,5.85
25.65,6.78,6.77,0.93,0.93,-0.93,-0.82,-0.71,5.85,5.84,5.84
25.91,6.77,6.77,0.92,0.92,-0.92,-0.82,-0.73,5.84,5.84,5.84
26.16,6.76,6.76,0.91,0.92,-0.91,-0.81,-0.75,5.84,5.84,5.84
26.43,6.75,6.75,0.91,0.91,-0.90,-0.81,-0.76,5.84,5.84,5.84
26.69,6.74,6.74,0.90,0.90,-0.90,-0.80,-0.78,5.84,5.84,5.84
26.96,6.73,6.72,0.89,0.89,-0.89,-0.80,-0.80,5.84,5.84,5.84
27.23,6.71,6.71,0.87,0.87,-0.88,-0.79,-0.81,5.83,5.83,5.83
27.50,6.70,6.70,0.86,0.86,-0.87,-0.79,-0.83,5.83,5.83,5.83
27.77,6.69,6.69,0.85,0.85,-0.86,-0.78,-0.84,5.83,5.83,5.83
28.05,6.68,6.68,0.85,0.85,-0.85,-0.78,-0.85,5.83,5.83,5.83
28.33,6.67,6.67,0.84,0.84,-0.84,-0.77,-0.86,5.83,5.83,5.83
28.62,6.66,6.65,0.83,0.83,-0.83,-0.77,-0.87,5.83,5.83,5.82
28.90,6.64,6.64,0.81,0.82,-0.82,-0.76,-0.88,5.82,5.82,5.82
29.19,6.63,6.63,0.81,0.81,-0.81,-0.75,-0.89,5.82,5.82,5.82
29.48,6.62,6.61,0.80,0.79,-0.79,-0.75,-0.90,5.82,5.82,5.82
29.78,6.60,6.60,0.78,0.78,-0.78,-0.74,-0.90,5.82,5.82,5.82
30.08,6.58,6.58,0.76,0.77,-0.77,-0.73,-0.90,5.81,5.81,5.81
30.38,6.57,6.56,0.76,0.75,-0.75,-0.73,-0.91,5.81,5.81,5.81
30.68,6.55,6.55,0.74,0.74,-0.74,-0.72,-0.91,5.81,5.81,5.81
30.99,6.53,6.53,0.72,0.73,-0.73,-0.71,-0.90,5.80,5.80,5.80
31.30,6.52,6.51,0.72,0.71,-0.71,-0.70,-0.90,5.80,5.80,5.80
31.61,6.50,6.50,0.70,0.70,-0.70,-0.69,-0.89,5.79,5.80,5.80
31.93,6.49,6.48,0.69,0.69,-0.69,-0.69,-0.88,5.80,5.79,5.79
32.24,6.47,6.47,0.67,0.68,-0.68,-0.68,-0.88,5.79,5.79,5.79
32.57,6.46,6.45,0.67,0.67,-0.66,-0.67,-0.86,5.79,5.79,5.79
32.89,6.44,6.43,0.65,0.65,-0.65,-0.66,-0.85,5.79,5.79,5.78
33.22,6.42,6.41,0.64,0.63,-0.63,-0.65,-0.84,5.79,5.78,5.78
33.55,6.39,6.39,0.61,0.61,-0.61,-0.64,-0.82,5.77,5.77,5.78
33.89,6.37,6.37,0.59,0.59,-0.60,-0.63,-0.80,5.77,5.77,5.77
34.23,6.35,6.35,0.58,0.58,-0.58,-0.62,-0.78,5.76,5.76,5.77
34.57,6.33,6.33,0.56,0.56,-0.56,-0.61,-0.76,5.76,5.76,5.76
34.92,6.31,6.31,0.55,0.55,-0.55,-0.60,-0.74,5.76,5.76,5.76
35.27,6.29,6.29,0.53,0.53,-0.53,-0.59,-0.71,5.76,5.76,5.75
35.62,6.27,6.27,0.52,0.52,-0.51,-0.58,-0.69,5.75,5.75,5.75
35.97,6.25,6.24,0.50,0.50,-0.49,-0.56,-0.66,5.75,5.75,5.74
36.33,6.22,6.22,0.48,0.48,-0.48,-0.55,-0.64,5.74,5.74,5.74
36.70,6.19,6.19,0.45,0.46,-0.46,-0.54,-0.61,5.73,5.73,5.73
37.06,6.17,6.16,0.44,0.43,-0.44,-0.53,-0.58,5.73,5.72,5.73
37.43,6.14,6.14,0.41,0.42,-0.42,-0.51,-0.56,5.72,5.72,5.72
37.81,6.12,6.12,0.40,0.40,-0.40,-0.50,-0.53,5.72,5.72,5.72
38.19,6.10,6.09,0.39,0.38,-0.38,-0.49,-0.50,5.72,5.71,5.71
38.57,6.07,6.07,0.36,0.36,-0.36,-0.47,-0.47,5.71,5.71,5.70
38.95,6.04,6.04,0.34,0.34,-0.34,-0.46,-0.44,5.70,5.70,5.70
39.34,6.01,6.00,0.32,0.32,-0.32,-0.44,-0.41,5.69,5.69,5.69
39.74,5.98,5.98,0.29,0.29,-0.30,-0.43,-0.38,5.68,5.68,5.68
40.14,5.95,5.95,0.27,0.27,-0.28,-0.41,-0.35,5.67,5.67,5.67
40.54,5.93,5.92,0.26,0.26,-0.26,-0.39,-0.32,5.67,5.67,5.67
40.94,5.90,5.90,0.24,0.24,-0.23,-0.37,-0.29,5.66,5.66,5.66
41.35,5.87,5.87,0.22,0.22,-0.21,-0.36,-0.26,5.65,5.65,5.65
41.76,5.84,5.84,0.19,0.19,-0.19,-0.34,-0.23,5.64,5.64,5.64
42.18,5.81,5.81,0.17,0.17,-0.17,-0.32,-0.19,5.63,5.63,5.63
42.60,5.78,5.78,0.15,0.15,-0.15,-0.30,-0.16,5.62,5.62,5.62
43.03,5.75,5.75,0.13,0.13,-0.13,-0.28,-0.13,5.61,5.61,5.61
43.46,5.72,5.72,0.11,0.11,-0.11,-0.26,-0.10,5.60,5.60,5.60
43.90,5.69,5.69,0.09,0.09,-0.09,-0.24,-0.07,5.59,5.59,5.59
44.33,5.66,5.65,0.07,0.07,-0.07,-0.22,-0.04,5.59,5.58,5.58
44.78,5.62,5.62,0.05,0.05,-0.05,-0.19,-0.01,5.57,5.57,5.57
45.23,5.59,5.58,0.03,0.02,-0.02,-0.17,0.02,5.56,5.56,5.56
45.68,5.55,5.54,-0.00,-0.00,0.00,-0.15,0.05,5.55,5.55,5.55
46.13,5.51,5.51,-0.03,-0.03,0.03,-0.12,0.08,5.53,5.53,5.53
46.60,5.47,5.47,-0.06,-0.05,0.05,-0.10,0.11,5.52,5.52,5.52
47.06,5.44,5.43,-0.07,-0.08,0.07,-0.07,0.14,5.51,5.51,5.51
47.53,5.40,5.40,-0.10,-0.10,0.10,-0.05,0.17,5.49,5.49,5.49
48.01,5.37,5.36,-0.11,-0.12,0.12,-0.02,0.20,5.48,5.48,5.48
48.49,5.33,5.33,-0.14,-0.14,0.14,0.01,0.23,5.47,5.47,5.47
48.97,5.29,5.29,-0.16,-0.16,0.16,0.04,0.26,5.45,5.45,5.45
49.46,5.26,5.25,-0.18,-0.18,0.18,0.07,0.29,5.44,5.43,5.43
49.96,5.22,5.22,-0.20,-0.20,0.20,0.09,0.32,5.42,5.42,5.42
50.46,5.18,5.18,-0.22,-0.22,0.22,0.12,0.35,5.40,5.40,5.40
50.96,5.14,5.14,-0.25,-0.25,0.25,0.15,0.38,5.38,5.38,5.38
51.47,5.10,5.10,-0.27,-0.27,0.27,0.19,0.41,5.37,5.37,5.37
51.99,5.06,5.06,-0.29,-0.29,0.29,0.22,0.43,5.35,5.35,5.35
52.51,5.02,5.01,-0.31,-0.31,0.31,0.25,0.46,5.33,5.33,5.33
53.03,4.97,4.97,-0.34,-0.34,0.34,0.28,0.49,5.30,5.31,5.31
53.56,4.93,4.93,-0.36,-0.36,0.36,0.31,0.52,5.29,5.29,5.29
54.10,4.89,4.88,-0.38,-0.38,0.38,0.34,0.54,5.27,5.26,5.27
54.64,4.84,4.84,-0.41,-0.40,0.40,0.38,0.57,5.24,5.24,5.24
55.18,4.80,4.80,-0.43,-0.42,0.43,0.41,0.59,5.22,5.22,5.22
55.74,4.76,4.75,-0.44,-0.45,0.45,0.44,0.61,5.20,5.20,5.20
56.29,4.71,4.71,-0.47,-0.47,0.47,0.48,0.63,5.17,5.17,5.17
56.86,4.66,4.66,-0.49,-0.49,0.49,0.51,0.66,5.14,5.15,5.15
57.42,4.62,4.61,-0.51,-0.51,0.51,0.54,0.68,5.12,5.12,5.12
58.00,4.57,4.57,-0.53,-0.53,0.53,0.57,0.69,5.09,5.09,5.10
58.58,4.53,4.53,-0.54,-0.54,0.54,0.60,0.71,5.07,5.07,5.07
59.16,4.49,4.48,-0.56,-0.56,0.56,0.64,0.73,5.05,5.04,5.04
59.76,4.44,4.44,-0.58,-0.58,0.58,0.67,0.74,5.01,5.01,5.01
60.35,4.39,4.39,-0.60,-0.59,0.59,0.70,0.75,4.98,4.98,4.98
60.96,4.35,4.34,-0.61,-0.61,0.61,0.72,0.76,4.96,4.95,4.95
61.57,4.30,4.30,-0.62,-0.63,0.63,0.75,0.77,4.92,4.92,4.92
62.18,4.25,4.25,-0.64,-0.64,0.64,0.78,0.78,4.89,4.89,4.89
62.80,4.20,4.19,-0.66,-0.66,0.66,0.80,0.79,4.85,4.85,4.85
63.43,4.15,4.15,-0.67,-0.67,0.67,0.83,0.79,4.82,4.82,4.82
64.07,4.10,4.10,-0.69,-0.69,0.69,0.85,0.79,4.78,4.79,4.79
64.71,4.06,4.05,-0.69,-0.70,0.70,0.87,0.79,4.76,4.75,4.75
65.35,4.01,4.00,-0.71,-0.71,0.71,0.89,0.79,4.72,4.72,4.71
66.01,3.95,3.95,-0.73,-0.72,0.73,0.90,0.79,4.67,4.68,4.67
66.67,3.90,3.90,-0.74,-0.74,0.74,0.92,0.79,4.63,4.64,4.64
67.33,3.85,3.84,-0.75,-0.75,0.75,0.93,0.78,4.60,4.59,4.60
68.01,3.80,3.79,-0.76,-0.76,0.76,0.94,0.78,4.56,4.55,4.55
68.69,3.74,3.74,-0.78,-0.77,0.77,0.95,0.77,4.51,4.51,4.51
69.37,3.69,3.69,-0.78,-0.78,0.78,0.96,0.76,4.47,4.47,4.47
70.07,3.64,3.64,-0.79,-0.79,0.79,0.96,0.75,4.42,4.42,4.43
70.77,3.59,3.59,-0.79,-0.79,0.79,0.96,0.74,4.38,4.38,4.38
71.48,3.54,3.54,-0.80,-0.80,0.80,0.96,0.73,4.33,4.34,4.33
