frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.93,7.93,-1.40,-1.40,1.40,1.17,0.49,9.33,9.33,9.33
20.20,7.94,7.94,-1.39,-1.39,1.39,1.17,0.51,9.33,9.33,9.33
20.40,7.95,7.95,-1.38,-1.37,1.38,1.16,0.53,9.33,9.33,9.33
20.61,7.97,7.97,-1.36,-1.36,1.36,1.16,0.54,9.33,9.33,9.33
20.81,7.98,7.97,-1.35,-1.35,1.35,1.16,0.56,9.33,9.33,9.33
21.02,7.98,7.98,-1.35,-1.34,1.34,1.16,0.58,9.32,9.32,9.33
21.23,7.99,7.99,-1.34,-1.33,1.33,1.16,0.59,9.32,9.32,9.33
21.44,8.01,8.00,-1.32,-1.32,1.32,1.16,0.61,9.33,9.32,9.32
21.66,8.02,8.02,-1.30,-1.31,1.31,1.15,0.63,9.32,9.32,9.32
21.87,8.03,8.03,-1.29,-1.29,1.29,1.15,0.65,9.32,9.32,9.32
22.09,8.04,8.04,-1.28,-1.28,1.28,1.15,0.67,9.32,9.32,9.32
22.31,8.05,8.05,-1.27,-1.27,1.27,1.15,0.69,9.32,9.32,9.32
22.54,8.06,8.06,-1.26,-1.26,1.27,1.15,0.71,9.32,9.32,9.32
22.76,8.07,8.07,-1.25,-1.25,1.26,1.14,0.73,9.33,9.32,9.32
22.99,8.07,8.07,-1.25,-1.25,1.25,1.14,0.75,9.32,9.32,9.32
23.22,8.07,8.07,-1.25,-1.24,1.24,1.14,0.78,9.31,9.31,9.32
23.45,8.08,8.08,-1.24,-1.24,1.23,1.14,0.80,9.31,9.31,9.32
23.69,8.09,8.09,-1.23,-1.23,1.22,1.14,0.82,9.31,9.31,9.32
23.92,8.10,8.10,-1.21,-1.21,1.21,1.13,0.84,9.31,9.31,9.31
24.16,8.11,8.11,-1.20,-1.20,1.20,1.13,0.87,9.31,9.31,9.31
