frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.66,10.66,4.27,4.27,-4.27,-3.47,-1.76,6.39,6.39,6.39
20.20,10.66,10.66,4.27,4.27,-4.27,-3.47,-1.82,6.39,6.39,6.39
20.40,10.66,10.66,4.27,4.27,-4.27,-3.47,-1.87,6.39,6.39,6.39
20.61,10.65,10.66,4.26,4.27,-4.27,-3.47,-1.92,6.39,6.39,6.39
20.81,10.65,10.65,4.26,4.26,-4.26,-3.47,-1.98,6.39,6.39,6.39
21.02,10.64,10.65,4.25,4.26,-4.26,-3.47,-2.04,6.38,6.39,6.39
21.23,10.64,10.64,4.25,4.25,-4.26,-3.47,-2.10,6.39,6.39,6.39
21.44,10.64,10.64,4.26,4.25,-4.25,-3.47,-2.16,6.39,6.39,6.39
21.66,10.63,10.64,4.25,4.25,-4.25,-3.47,-2.22,6.38,6.39,6.39
21.87,10.63,10.63,4.25,4.24,-4.25,-3.47,-2.29,6.39,6.38,6.39
22.09,10.62,10.63,4.24,4.24,-4.24,-3.47,-2.36,6.38,6.38,6.38
22.31,10.62,10.62,4.24,4.24,-4.24,-3.47,-2.43,6.39,6.38,6.38
22.54,10.61,10.61,4.23,4.23,-4.23,-3.47,-2.50,6.39,6.39,6.38
22.76,10.60,10.60,4.22,4.22,-4.22,-3.47,-2.57,6.38,6.39,6.38
22.99,10.59,10.59,4.21,4.21,-4.20,-3.46,-2.64,6.39,6.38,6.38
23.22,10.57,10.57,4.19,4.19,-4.19,-3.46,-2.72,6.38,6.38,6.38
23.45,10.55,10.56,4.17,4.18,-4.18,-3.46,-2.80,6.38,6.38,6.38
23.69,10.54,10.54,4.16,4.16,-4.16,-3.46,-2.87,6.38,6.38,6.38
23.92,10.52,10.52,4.15,4.14,-4.15,-3.46,-2.95,6.38,6.37,6.38
24.16,10.50,10.51,4.13,4.13,-4.13,-3.46,-3.04,6.37,6.37,6.38
24.40,10.49,10.49,4.12,4.12,-4.13,-3.46,-3.12,6.37,6.37,6.37
24.65,10.48,10.48,4.11,4.11,-4.12,-3.46,-3.20,6.36,6.36,6.37
24.89,10.48,10.48,4.11,4.11,-4.11,-3.46,-3.29,6.37,6.37,6.37
25.14,10.48,10.48,4.11,4.11,-4.11,-3.46,-3.38,6.37,6.37,6.37
25.39,10.48,10.48,4.11,4.11,-4.11,-3.46,-3.46,6.37,6.37,6.37
25.65,10.48,10.48,4.11,4.11,-4.10,-3.46,-3.55,6.38,6.38,6.37
25.91,10.47,10.47,4.11,4.11,-4.10,-3.46,-3.64,6.37,6.37,6.37
26.16,10.46,10.46,4.10,4.10,-4.09,-3.46,-3.72,6.37,6.37,6.36
26.43,10.44,10.45,4.08,4.08,-4.08,-3.45,-3.81,6.36,6.37,6.36
26.69,10.43,10.43,4.07,4.07,-4.07,-3.45,-3.89,6.36,6.36,6.36
26.96,10.41,10.41,4.05,4.05,-4.06,-3.45,-3.98,6.36,6.35,6.36
27.23,10.39,10.40,4.04,4.04,-4.04,-3.45,-4.06,6.35,6.35,6.36
27.50,10.38,10.38,4.03,4.03,-4.03,-3.45,-4.14,6.35,6.35,6.36
27.77,10.37,10.37,4.02,4.02,-4.02,-3.45,-4.21,6.35,6.35,6.35
28.05,10.36,10.36,4.01,4.01,-4.01,-3.45,-4.29,6.35,6.35,6.35
28.33,10.35,10.35,4.00,4.00,-4.00,-3.45,-4.36,6.35,6.36,6.35
28.62,10.34,10.34,4.00,3.99,-3.98,-3.45,-4.42,6.36,6.36,6.35
28.90,10.32,10.32,3.98,3.98,-3.97,-3.44,-4.48,6.35,6.35,6.35
29.19,10.30,10.30,3.96,3.96,-3.95,-3.44,-4.54,6.35,6.35,6.34
29.48,10.27,10.27,3.93,3.93,-3.94,-3.44,-4.59,6.33,6.34,6.34
29.78,10.25,10.25,3.91,3.91,-3.92,-3.44,-4.64,6.33,6.33,6.34
30.08,10.23,10.23,3.90,3.90,-3.91,-3.44,-4.67,6.32,6.32,6.34
30.38,10.22,10.22,3.89,3.89,-3.90,-3.44,-4.71,6.32,6.32,6.33
30.68,10.21,10.21,3.88,3.88,-3.88,-3.43,-4.73,6.33,6.33,6.33
30.99,10.20,10.20,3.88,3.88,-3.87,-3.43,-4.75,6.33,6.34,6.33
31.30,10.19,10.19,3.87,3.87,-3.85,-3.43,-4.76,6.34,6.34,6.32
31.61,10.17,10.17,3.85,3.85,-3.83,-3.43,-4.76,6.34,6.34,6.32
31.93,10.14,10.14,3.83,3.82,-3.82,-3.43,-4.76,6.33,6.32,6.32
32.24,10.10,10.11,3.79,3.79,-3.80,-3.42,-4.75,6.30,6.31,6.31
32.57,10.07,10.08,3.76,3.76,-3.78,-3.42,-4.73,6.29,6.29,6.31
32.89,10.05,10.05,3.75,3.75,-3.76,-3.42,-4.71,6.29,6.29,6.31
33.22,10.04,10.04,3.74,3.74,-3.75,-3.42,-4.68,6.29,6.29,6.30
33.55,10.03,10.04,3.73,3.74,-3.74,-3.41,-4.65,6.29,6.30,6.30
33.89,10.03,10.03,3.74,3.74,-3.73,-3.41,-4.60,6.31,6.31,6.29
34.23,10.02,10.02,3.73,3.73,-3.71,-3.41,-4.56,6.31,6.31,6.29
34.57,10.00,10.00,3.72,3.71,-3.70,-3.40,-4.51,6.30,6.30,6.29
34.92,9.97,9.97,3.69,3.69,-3.69,-3.40,-4.46,6.29,6.29,6.28
35.27,9.94,9.94,3.67,3.66,-3.67,-3.40,-4.40,6.27,6.27,6.28
35.62,9.91,9.91,3.64,3.64,-3.65,-3.39,-4.34,6.26,6.26,6.27
35.97,9.88,9.89,3.61,3.62,-3.63,-3.39,-4.28,6.25,6.26,6.27
36.33,9.87,9.87,3.61,3.61,-3.61,-3.39,-4.22,6.26,6.26,6.26
36.70,9.85,9.85,3.60,3.60,-3.59,-3.38,-4.15,6.27,6.27,6.26
