frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.95,7.95,-0.08,-0.08,0.09,-0.10,-0.12,8.04,8.04,8.03
20.20,7.96,7.95,-0.07,-0.07,0.08,-0.11,-0.13,8.03,8.03,8.03
20.40,7.96,7.96,-0.07,-0.06,0.06,-0.11,-0.13,8.02,8.02,8.02
20.61,7.97,7.97,-0.06,-0.06,0.05,-0.12,-0.13,8.01,8.02,8.02
20.81,7.98,7.98,-0.05,-0.04,0.03,-0.12,-0.14,8.01,8.01,8.02
21.02,8.00,7.99,-0.02,-0.03,0.02,-0.12,-0.14,8.02,8.01,8.02
21.23,8.01,8.01,-0.01,-0.01,0.00,-0.13,-0.14,8.01,8.02,8.02
21.44,8.04,8.04,0.02,0.01,-0.01,-0.13,-0.15,8.02,8.02,8.02
21.66,8.06,8.06,0.04,0.04,-0.03,-0.13,-0.15,8.02,8.02,8.02
21.87,8.08,8.08,0.06,0.06,-0.05,-0.14,-0.15,8.03,8.03,8.02
22.09,8.09,8.09,0.07,0.07,-0.07,-0.14,-0.16,8.02,8.02,8.02
22.31,8.11,8.11,0.09,0.09,-0.08,-0.15,-0.16,8.02,8.02,8.02
22.54,8.12,8.12,0.10,0.10,-0.10,-0.15,-0.17,8.02,8.02,8.02
22.76,8.13,8.13,0.11,0.11,-0.11,-0.16,-0.17,8.02,8.02,8.02
22.99,8.14,8.14,0.12,0.12,-0.12,-0.16,-0.17,8.01,8.01,8.01
23.22,8.15,8.15,0.13,0.13,-0.14,-0.17,-0.18,8.01,8.01,8.01
23.45,8.16,8.16,0.15,0.15,-0.15,-0.17,-0.18,8.01,8.01,8.01
23.69,8.18,8.17,0.17,0.16,-0.17,-0.18,-0.19,8.01,8.01,8.01
23.92,8.19,8.19,0.18,0.18,-0.18,-0.18,-0.19,8.01,8.01,8.01
24.16,8.21,8.21,0.20,0.20,-0.19,-0.19,-0.20,8.01,8.01,8.01
24.40,8.22,8.22,0.21,0.21,-0.21,-0.19,-0.20,8.01,8.01,8.01
24.65,8.24,8.23,0.23,0.23,-0.22,-0.20,-0.21,8.02,8.01,8.01
24.89,8.24,8.24,0.23,0.23,-0.23,-0.20,-0.21,8.01,8.01,8.01
25.14,8.25,8.25,0.24,0.24,-0.24,-0.21,-0.22,8.01,8.01,8.00
25.39,8.25,8.25,0.24,0.25,-0.25,-0.22,-0.22,8.00,8.00,8.00
25.65,8.26,8.26,0.26,0.25,-0.26,-0.22,-0.23,8.00,7.99,8.00
25.91,8.26,8.26,0.26,0.26,-0.27,-0.23,-0.23,7.99,7.99,8.00
26.16,8.28,8.27,0.28,0.28,-0.28,-0.24,-0.24,8.00,7.99,8.00
26.43,8.29,8.29,0.29,0.29,-0.29,-0.24,-0.24,8.00,8.00,8.00
26.69,8.30,8.30,0.30,0.30,-0.30,-0.25,-0.25,8.00,8.00,7.99
26.96,8.31,8.30,0.31,0.31,-0.30,-0.26,-0.25,8.01,8.00,7.99
27.23,8.31,8.30,0.32,0.31,-0.31,-0.27,-0.26,8.00,8.00,7.99
27.50,8.30,8.30,0.31,0.31,-0.31,-0.27,-0.27,7.99,7.99,7.99
27.77,8.30,8.30,0.31,0.31,-0.31,-0.28,-0.27,7.98,7.98,7.99
28.05,8.30,8.30,0.31,0.31,-0.32,-0.29,-0.28,7.98,7.98,7.99
28.33,8.30,8.30,0.31,0.31,-0.32,-0.30,-0.28,7.98,7.98,7.98
28.62,8.30,8.30,0.32,0.32,-0.33,-0.31,-0.29,7.97,7.98,7.98
28.90,8.31,8.31,0.33,0.33,-0.33,-0.31,-0.29,7.98,7.98,7.98
29.19,8.32,8.32,0.34,0.34,-0.34,-0.32,-0.30,7.98,7.98,7.98
29.48,8.33,8.33,0.35,0.35,-0.35,-0.33,-0.30,7.98,7.98,7.97
29.78,8.33,8.33,0.36,0.36,-0.35,-0.34,-0.31,7.97,7.98,7.97
30.08,8.34,8.33,0.37,0.37,-0.36,-0.35,-0.31,7.98,7.98,7.97
30.38,8.34,8.33,0.37,0.37,-0.36,-0.36,-0.32,7.97,7.97,7.97
30.68,8.33,8.33,0.36,0.37,-0.37,-0.37,-0.32,7.96,7.96,7.96
30.99,8.33,8.33,0.37,0.37,-0.37,-0.37,-0.33,7.96,7.96,7.96
31.30,8.33,8.33,0.37,0.37,-0.37,-0.38,-0.33,7.95,7.95,7.96
31.61,8.33,8.33,0.37,0.38,-0.38,-0.39,-0.34,7.95,7.95,7.95
31.93,8.34,8.33,0.39,0.38,-0.39,-0.40,-0.34,7.95,7.95,7.95
32.24,8.34,8.34,0.39,0.39,-0.40,-0.41,-0.35,7.94,7.94,7.95
32.57,8.35,8.35,0.40,0.40,-0.41,-0.41,-0.35,7.94,7.94,7.94
32.89,8.36,8.36,0.42,0.42,-0.42,-0.42,-0.36,7.94,7.94,7.94
33.22,8.37,8.37,0.43,0.43,-0.43,-0.43,-0.36,7.94,7.94,7.94
33.55,8.38,8.37,0.44,0.44,-0.44,-0.43,-0.37,7.94,7.94,7.93
33.89,8.38,8.38,0.45,0.45,-0.44,-0.44,-0.37,7.93,7.94,7.93
34.23,8.38,8.38,0.45,0.45,-0.45,-0.45,-0.38,7.93,7.93,7.92
34.57,8.38,8.37,0.46,0.45,-0.46,-0.45,-0.38,7.92,7.92,7.92
34.92,8.37,8.37,0.45,0.46,-0.46,-0.46,-0.38,7.91,7.91,7.92
35.27,8.37,8.37,0.46,0.46,-0.47,-0.46,-0.39,7.90,7.91,7.91
35.62,8.38,8.37,0.47,0.47,-0.47,-0.47,-0.39,7.91,7.90,7.91
35.97,8.38,8.38,0.48,0.48,-0.47,-0.47,-0.40,7.90,7.90,7.90
36.33,8.38,8.38,0.48,0.48,-0.48,-0.48,-0.40,7.90,7.90,7.90
36.70,8.38,8.38,0.49,0.49,-0.48,-0.48,-0.41,7.90,7.90,7.89
37.06,8.38,8.37,0.49,0.49,-0.49,-0.49,-0.41,7.89,7.89,7.88
37.43,8.37,8.37,0.49,0.49,-0.49,-0.49,-0.42,7.88,7.88,7.88
37.81,8.36,8.36,0.48,0.49,-0.50,-0.50,-0.43,7.86,7.87,7.87
38.19,8.36,8.36,0.49,0.49,-0.50,-0.50,-0.43,7.86,7.86,7.87
38.57,8.37,8.36,0.51,0.50,-0.51,-0.51,-0.44,7.86,7.86,7.86
38.95,8.37,8.37,0.51,0.52,-0.51,-0.51,-0.44,7.86,7.86,7.85
39.34,8.37,8.37,0.52,0.52,-0.51,-0.52,-0.45,7.85,7.85,7.85
39.74,8.37,8.36,0.53,0.53,-0.52,-0.52,-0.46,7.85,7.85,7.84
40.14,8.36,8.36,0.53,0.53,-0.52,-0.53,-0.47,7.83,7.83,7.83
40.54,8.35,8.35,0.52,0.52,-0.53,-0.53,-0.47,7.82,7.82,7.82
40.94,8.34,8.34,0.52,0.53,-0.53,-0.54,-0.48,7.81,7.81,7.82
41.35,8.34,8.34,0.53,0.53,-0.53,-0.54,-0.49,7.80,7.80,7.81
41.76,8.34,8.34,0.54,0.54,-0.54,-0.55,-0.50,7.80,7.80,7.80
42.18,8.34,8.34,0.55,0.55,-0.54,-0.55,-0.51,7.79,7.79,7.79
42.60,8.33,8.33,0.55,0.55,-0.55,-0.56,-0.52,7.78,7.78,7.78
43.03,8.33,8.32,0.56,0.56,-0.56,-0.57,-0.53,7.77,7.77,7.77
43.46,8.32,8.32,0.56,0.56,-0.56,-0.57,-0.54,7.75,7.76,7.76
43.90,8.32,8.32,0.57,0.57,-0.57,-0.58,-0.55,7.75,7.75,7.75
44.33,8.32,8.32,0.58,0.58,-0.58,-0.59,-0.56,7.74,7.74,7.74
44.78,8.32,8.32,0.59,0.59,-0.58,-0.59,-0.57,7.74,7.74,7.73
45.23,8.32,8.31,0.60,0.60,-0.59,-0.60,-0.58,7.73,7.72,7.72
45.68,8.30,8.30,0.59,0.60,-0.60,-0.61,-0.59,7.70,7.70,7.70
46.13,8.29,8.29,0.60,0.60,-0.61,-0.62,-0.60,7.68,7.68,7.69
46.60,8.28,8.28,0.60,0.60,-0.61,-0.63,-0.62,7.66,7.67,7.68
47.06,8.28,8.28,0.61,0.62,-0.62,-0.63,-0.63,7.66,7.66,7.66
47.53,8.29,8.28,0.64,0.63,-0.63,-0.64,-0.64,7.66,7.66,7.65
48.01,8.29,8.28,0.65,0.65,-0.63,-0.65,-0.66,7.65,7.65,7.64
48.49,8.28,8.27,0.66,0.65,-0.64,-0.66,-0.67,7.63,7.63,7.62
48.97,8.26,8.26,0.65,0.65,-0.66,-0.67,-0.68,7.60,7.60,7.61
49.46,8.24,8.24,0.65,0.65,-0.67,-0.68,-0.70,7.57,7.58,7.59
49.96,8.24,8.24,0.66,0.67,-0.68,-0.69,-0.71,7.56,7.56,7.57
50.46,8.25,8.24,0.69,0.69,-0.68,-0.70,-0.73,7.56,7.56,7.56
50.96,8.25,8.24,0.71,0.70,-0.69,-0.71,-0.75,7.56,7.55,7.54
51.47,8.24,8.24,0.72,0.71,-0.70,-0.71,-0.76,7.54,7.53,7.52
51.99,8.22,8.22,0.71,0.71,-0.71,-0.72,-0.78,7.51,7.51,7.50
52.51,8.20,8.20,0.71,0.72,-0.72,-0.74,-0.80,7.47,7.48,7.48
53.03,8.19,8.19,0.72,0.73,-0.74,-0.75,-0.81,7.45,7.46,7.46
53.56,8.19,8.18,0.74,0.74,-0.75,-0.76,-0.83,7.44,7.44,7.44
54.10,8.18,8.18,0.76,0.76,-0.76,-0.77,-0.85,7.42,7.42,7.42
54.64,8.17,8.17,0.77,0.77,-0.77,-0.78,-0.86,7.40,7.40,7.40
55.18,8.17,8.17,0.79,0.79,-0.78,-0.79,-0.88,7.38,7.38,7.38
55.74,8.16,8.16,0.80,0.80,-0.80,-0.80,-0.90,7.36,7.36,7.35
