frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.89,6.89,0.83,0.83,-0.83,-0.74,-0.61,6.05,6.05,6.05
20.20,6.90,6.90,0.84,0.85,-0.85,-0.74,-0.62,6.05,6.05,6.05
20.40,6.91,6.91,0.85,0.86,-0.86,-0.75,-0.64,6.05,6.05,6.05
20.61,6.93,6.92,0.88,0.87,-0.87,-0.76,-0.66,6.06,6.05,6.05
20.81,6.94,6.94,0.89,0.89,-0.88,-0.76,-0.68,6.05,6.05,6.05
21.02,6.95,6.95,0.90,0.90,-0.90,-0.77,-0.70,6.05,6.05,6.05
21.23,6.96,6.96,0.91,0.91,-0.91,-0.77,-0.71,6.05,6.05,6.05
21.44,6.97,6.97,0.92,0.92,-0.92,-0.78,-0.73,6.05,6.05,6.05
21.66,6.98,6.98,0.93,0.93,-0.93,-0.79,-0.75,6.05,6.05,6.05
21.87,6.99,6.99,0.94,0.94,-0.94,-0.79,-0.78,6.05,6.05,6.05
22.09,7.00,7.00,0.95,0.95,-0.95,-0.80,-0.80,6.05,6.05,6.05
22.31,7.01,7.01,0.96,0.96,-0.96,-0.81,-0.82,6.05,6.05,6.05
22.54,7.02,7.02,0.97,0.97,-0.97,-0.81,-0.84,6.04,6.04,6.05
22.76,7.03,7.03,0.98,0.98,-0.98,-0.82,-0.87,6.04,6.04,6.04
22.99,7.04,7.04,0.99,0.99,-0.99,-0.83,-0.89,6.04,6.04,6.04
23.22,7.05,7.05,1.01,1.01,-1.01,-0.84,-0.91,6.04,6.04,6.04
23.45,7.06,7.06,1.02,1.02,-1.02,-0.84,-0.94,6.04,6.04,6.04
23.69,7.07,7.07,1.03,1.03,-1.03,-0.85,-0.96,6.04,6.04,6.04
23.92,7.08,7.07,1.04,1.04,-1.03,-0.86,-0.99,6.04,6.04,6.04
24.16,7.08,7.08,1.04,1.04,-1.04,-0.87,-1.02,6.03,6.04,6.04
24.40,7.09,7.09,1.05,1.05,-1.05,-0.87,-1.04,6.04,6.04,6.04
24.65,7.10,7.10,1.06,1.06,-1.06,-0.88,-1.07,6.04,6.04,6.04
24.89,7.11,7.10,1.07,1.07,-1.07,-0.89,-1.10,6.04,6.03,6.03
25.14,7.11,7.11,1.08,1.08,-1.08,-0.90,-1.12,6.03,6.03,6.03
25.39,7.12,7.12,1.09,1.09,-1.09,-0.91,-1.15,6.03,6.03,6.03
25.65,7.13,7.13,1.10,1.10,-1.10,-0.92,-1.18,6.03,6.03,6.03
25.91,7.14,7.14,1.11,1.11,-1.11,-0.93,-1.21,6.03,6.03,6.03
26.16,7.15,7.15,1.12,1.12,-1.12,-0.93,-1.24,6.03,6.03,6.03
