frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.16,10.16,3.46,3.46,-3.46,-3.23,-1.59,6.70,6.70,6.70
20.20,10.17,10.16,3.47,3.47,-3.47,-3.23,-1.63,6.70,6.70,6.70
20.40,10.17,10.17,3.47,3.47,-3.47,-3.24,-1.68,6.70,6.70,6.70
20.61,10.18,10.18,3.48,3.48,-3.48,-3.24,-1.73,6.70,6.70,6.70
20.81,10.18,10.18,3.48,3.48,-3.48,-3.24,-1.78,6.69,6.70,6.70
21.02,10.19,10.19,3.49,3.49,-3.49,-3.24,-1.83,6.70,6.70,6.70
21.23,10.19,10.19,3.49,3.49,-3.49,-3.24,-1.89,6.69,6.69,6.70
21.44,10.20,10.20,3.50,3.50,-3.50,-3.24,-1.94,6.70,6.70,6.70
21.66,10.20,10.20,3.50,3.51,-3.51,-3.24,-2.00,6.69,6.69,6.69
21.87,10.21,10.21,3.51,3.51,-3.51,-3.24,-2.06,6.70,6.69,6.69
22.09,10.21,10.21,3.52,3.52,-3.52,-3.24,-2.12,6.69,6.69,6.69
22.31,10.22,10.22,3.53,3.52,-3.52,-3.24,-2.18,6.69,6.69,6.69
22.54,10.22,10.22,3.53,3.53,-3.53,-3.24,-2.24,6.69,6.69,6.69
22.76,10.23,10.23,3.54,3.54,-3.53,-3.24,-2.31,6.69,6.69,6.69
22.99,10.23,10.23,3.54,3.54,-3.54,-3.24,-2.37,6.69,6.69,6.69
23.22,10.23,10.23,3.54,3.54,-3.54,-3.24,-2.44,6.69,6.69,6.69
23.45,10.23,10.23,3.54,3.54,-3.54,-3.24,-2.51,6.68,6.69,6.69
23.69,10.24,10.23,3.55,3.55,-3.55,-3.25,-2.58,6.69,6.69,6.69
23.92,10.24,10.24,3.55,3.55,-3.55,-3.25,-2.66,6.69,6.69,6.68
24.16,10.24,10.24,3.55,3.55,-3.55,-3.25,-2.73,6.68,6.68,6.68
24.40,10.24,10.24,3.56,3.56,-3.56,-3.25,-2.80,6.68,6.68,6.68
24.65,10.24,10.24,3.56,3.56,-3.56,-3.25,-2.88,6.68,6.68,6.68
24.89,10.25,10.24,3.57,3.56,-3.56,-3.25,-2.96,6.68,6.68,6.68
25.14,10.25,10.25,3.57,3.57,-3.57,-3.25,-3.03,6.68,6.68,6.68
25.39,10.25,10.25,3.57,3.57,-3.57,-3.25,-3.11,6.68,6.68,6.68
25.65,10.25,10.25,3.57,3.57,-3.57,-3.25,-3.19,6.68,6.68,6.68
25.91,10.25,10.24,3.57,3.57,-3.57,-3.25,-3.27,6.68,6.67,6.67
26.16,10.24,10.24,3.57,3.57,-3.57,-3.25,-3.34,6.67,6.67,6.67
26.43,10.24,10.24,3.57,3.57,-3.57,-3.25,-3.42,6.67,6.67,6.67
26.69,10.24,10.24,3.57,3.57,-3.57,-3.25,-3.50,6.67,6.67,6.67
26.96,10.24,10.23,3.57,3.57,-3.57,-3.25,-3.57,6.67,6.67,6.67
27.23,10.23,10.23,3.56,3.57,-3.57,-3.26,-3.65,6.66,6.67,6.67
27.50,10.23,10.23,3.56,3.56,-3.56,-3.26,-3.72,6.66,6.66,6.66
27.77,10.23,10.22,3.57,3.56,-3.56,-3.26,-3.79,6.66,6.66,6.66
28.05,10.22,10.22,3.56,3.56,-3.56,-3.26,-3.85,6.66,6.66,6.66
28.33,10.22,10.22,3.56,3.56,-3.56,-3.26,-3.91,6.66,6.66,6.66
