frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.24,10.24,3.16,3.16,-3.16,-2.94,-1.45,7.08,7.08,7.08
20.20,10.24,10.24,3.16,3.16,-3.16,-2.94,-1.49,7.08,7.08,7.08
20.40,10.25,10.25,3.17,3.17,-3.17,-2.94,-1.53,7.08,7.08,7.08
20.61,10.26,10.26,3.18,3.18,-3.18,-2.94,-1.58,7.08,7.08,7.08
20.81,10.26,10.26,3.18,3.19,-3.18,-2.94,-1.62,7.08,7.08,7.08
21.02,10.27,10.27,3.19,3.19,-3.19,-2.94,-1.67,7.08,7.08,7.08
21.23,10.27,10.27,3.19,3.19,-3.19,-2.94,-1.72,7.08,7.08,7.08
21.44,10.27,10.27,3.19,3.20,-3.20,-2.94,-1.77,7.07,7.07,7.08
21.66,10.28,10.28,3.20,3.20,-3.20,-2.94,-1.82,7.08,7.07,7.07
21.87,10.28,10.28,3.21,3.21,-3.21,-2.94,-1.88,7.07,7.07,7.07
22.09,10.29,10.29,3.22,3.21,-3.21,-2.94,-1.93,7.08,7.07,7.07
22.31,10.29,10.29,3.22,3.22,-3.22,-2.94,-1.99,7.07,7.07,7.07
22.54,10.29,10.29,3.22,3.22,-3.22,-2.94,-2.05,7.07,7.07,7.07
22.76,10.30,10.29,3.23,3.22,-3.23,-2.95,-2.11,7.07,7.07,7.07
22.99,10.30,10.30,3.23,3.23,-3.23,-2.95,-2.17,7.07,7.07,7.07
23.22,10.30,10.30,3.23,3.23,-3.23,-2.95,-2.23,7.06,7.07,7.07
23.45,10.31,10.31,3.24,3.24,-3.24,-2.95,-2.29,7.07,7.07,7.07
23.69,10.31,10.31,3.24,3.24,-3.24,-2.95,-2.36,7.07,7.07,7.07
23.92,10.31,10.31,3.24,3.24,-3.24,-2.95,-2.42,7.07,7.07,7.07
24.16,10.31,10.31,3.25,3.25,-3.25,-2.95,-2.49,7.06,7.06,7.06
24.40,10.31,10.31,3.25,3.25,-3.25,-2.95,-2.56,7.06,7.06,7.06
24.65,10.31,10.31,3.25,3.25,-3.25,-2.95,-2.63,7.06,7.06,7.06
24.89,10.31,10.31,3.25,3.25,-3.25,-2.95,-2.70,7.06,7.06,7.06
25.14,10.31,10.31,3.25,3.25,-3.25,-2.95,-2.77,7.06,7.06,7.06
25.39,10.31,10.31,3.25,3.25,-3.25,-2.95,-2.84,7.06,7.06,7.06
25.65,10.31,10.31,3.25,3.25,-3.25,-2.95,-2.91,7.06,7.06,7.06
25.91,10.31,10.31,3.25,3.25,-3.25,-2.95,-2.98,7.06,7.05,7.05
26.16,10.30,10.30,3.25,3.25,-3.25,-2.95,-3.05,7.05,7.05,7.05
26.43,10.30,10.30,3.25,3.25,-3.25,-2.95,-3.12,7.05,7.05,7.05
26.69,10.30,10.30,3.25,3.25,-3.25,-2.95,-3.19,7.05,7.05,7.05
26.96,10.30,10.30,3.25,3.25,-3.25,-2.95,-3.26,7.05,7.05,7.05
27.23,10.30,10.30,3.25,3.25,-3.25,-2.95,-3.33,7.05,7.05,7.05
27.50,10.29,10.29,3.24,3.25,-3.25,-2.95,-3.39,7.04,7.05,7.04
27.77,10.29,10.29,3.25,3.25,-3.25,-2.95,-3.45,7.04,7.04,7.04
28.05,10.29,10.29,3.25,3.25,-3.24,-2.95,-3.52,7.04,7.04,7.04
28.33,10.28,10.28,3.24,3.24,-3.24,-2.95,-3.57,7.04,7.04,7.04
28.62,10.28,10.28,3.24,3.24,-3.24,-2.95,-3.63,7.04,7.04,7.04
28.90,10.27,10.27,3.24,3.24,-3.24,-2.95,-3.68,7.03,7.03,7.03
