frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.34,9.34,1.06,1.06,-1.07,-0.98,-0.56,8.28,8.28,8.28
20.20,9.35,9.35,1.07,1.07,-1.07,-0.99,-0.58,8.28,8.28,8.28
20.40,9.36,9.36,1.08,1.08,-1.08,-0.99,-0.60,8.28,8.28,8.28
20.61,9.37,9.37,1.09,1.09,-1.09,-0.99,-0.62,8.28,8.28,8.28
20.81,9.37,9.37,1.09,1.10,-1.09,-0.99,-0.63,8.28,8.28,8.28
21.02,9.38,9.38,1.10,1.10,-1.10,-0.99,-0.65,8.28,8.28,8.28
21.23,9.38,9.38,1.10,1.11,-1.11,-0.99,-0.67,8.27,8.28,8.28
21.44,9.39,9.39,1.12,1.11,-1.11,-1.00,-0.69,8.28,8.28,8.28
21.66,9.39,9.39,1.12,1.12,-1.12,-1.00,-0.71,8.27,8.27,8.27
21.87,9.40,9.40,1.13,1.13,-1.12,-1.00,-0.73,8.28,8.27,8.27
22.09,9.40,9.40,1.13,1.13,-1.13,-1.00,-0.75,8.27,8.27,8.27
22.31,9.41,9.41,1.14,1.14,-1.14,-1.00,-0.78,8.27,8.27,8.27
22.54,9.41,9.41,1.14,1.14,-1.14,-1.00,-0.80,8.27,8.27,8.27
22.76,9.42,9.42,1.15,1.15,-1.15,-1.01,-0.82,8.27,8.27,8.27
22.99,9.43,9.43,1.16,1.16,-1.16,-1.01,-0.84,8.27,8.27,8.27
23.22,9.43,9.43,1.16,1.17,-1.16,-1.01,-0.87,8.27,8.27,8.27
23.45,9.44,9.44,1.17,1.17,-1.17,-1.01,-0.89,8.27,8.27,8.27
23.69,9.44,9.44,1.17,1.18,-1.18,-1.01,-0.92,8.26,8.26,8.27
23.92,9.45,9.45,1.19,1.18,-1.18,-1.02,-0.94,8.27,8.26,8.26
24.16,9.45,9.45,1.19,1.19,-1.19,-1.02,-0.97,8.26,8.26,8.26
24.40,9.46,9.46,1.20,1.20,-1.20,-1.02,-1.00,8.27,8.26,8.26
24.65,9.46,9.46,1.20,1.20,-1.20,-1.02,-1.02,8.26,8.26,8.26
24.89,9.46,9.47,1.20,1.21,-1.20,-1.02,-1.05,8.26,8.26,8.26
25.14,9.47,9.47,1.21,1.21,-1.21,-1.03,-1.08,8.26,8.26,8.26
25.39,9.47,9.47,1.21,1.21,-1.21,-1.03,-1.10,8.26,8.26,8.26
25.65,9.47,9.47,1.22,1.22,-1.21,-1.03,-1.13,8.26,8.26,8.26
25.91,9.47,9.47,1.22,1.22,-1.22,-1.03,-1.16,8.25,8.25,8.25
26.16,9.47,9.47,1.22,1.22,-1.22,-1.04,-1.19,8.25,8.25,8.25
26.43,9.47,9.47,1.22,1.22,-1.22,-1.04,-1.21,8.25,8.25,8.25
26.69,9.47,9.47,1.22,1.22,-1.22,-1.04,-1.24,8.25,8.25,8.25
26.96,9.46,9.46,1.21,1.22,-1.22,-1.04,-1.27,8.24,8.24,8.25
27.23,9.46,9.46,1.21,1.22,-1.22,-1.05,-1.29,8.24,8.24,8.25
27.50,9.47,9.47,1.23,1.22,-1.22,-1.05,-1.32,8.25,8.24,8.24
27.77,9.47,9.47,1.23,1.23,-1.23,-1.05,-1.34,8.24,8.24,8.24
28.05,9.47,9.47,1.23,1.23,-1.23,-1.05,-1.37,8.24,8.24,8.24
28.33,9.47,9.47,1.23,1.23,-1.23,-1.06,-1.39,8.24,8.24,8.24
28.62,9.47,9.47,1.24,1.24,-1.23,-1.06,-1.41,8.24,8.24,8.24
28.90,9.47,9.47,1.24,1.24,-1.24,-1.06,-1.43,8.23,8.23,8.23
29.19,9.47,9.47,1.24,1.24,-1.24,-1.07,-1.45,8.23,8.23,8.23
29.48,9.47,9.47,1.24,1.24,-1.24,-1.07,-1.46,8.23,8.23,8.23
29.78,9.46,9.47,1.23,1.24,-1.24,-1.07,-1.48,8.22,8.22,8.23
30.08,9.46,9.46,1.24,1.24,-1.24,-1.07,-1.49,8.22,8.22,8.22
30.38,9.47,9.46,1.25,1.24,-1.24,-1.08,-1.50,8.23,8.22,8.22
30.68,9.46,9.46,1.24,1.25,-1.24,-1.08,-1.51,8.22,8.22,8.22
30.99,9.46,9.46,1.25,1.24,-1.24,-1.08,-1.52,8.22,8.22,8.21
31.30,9.45,9.45,1.24,1.24,-1.24,-1.09,-1.53,8.21,8.21,8.21
31.61,9.45,9.45,1.24,1.24,-1.25,-1.09,-1.53,8.20,8.21,8.21
31.93,9.45,9.45,1.25,1.24,-1.25,-1.09,-1.53,8.20,8.20,8.21
32.24,9.45,9.45,1.25,1.25,-1.25,-1.10,-1.53,8.20,8.20,8.20
32.57,9.45,9.45,1.25,1.25,-1.25,-1.10,-1.53,8.20,8.20,8.20
32.89,9.45,9.45,1.26,1.25,-1.25,-1.10,-1.53,8.20,8.20,8.19
33.22,9.44,9.44,1.25,1.25,-1.25,-1.11,-1.52,8.19,8.19,8.19
33.55,9.44,9.44,1.25,1.25,-1.25,-1.11,-1.52,8.19,8.19,8.19
33.89,9.43,9.43,1.25,1.25,-1.25,-1.11,-1.51,8.18,8.18,8.18
34.23,9.43,9.43,1.25,1.25,-1.25,-1.12,-1.50,8.18,8.18,8.18
34.57,9.42,9.42,1.25,1.25,-1.25,-1.12,-1.49,8.17,8.17,8.17
34.92,9.41,9.42,1.24,1.25,-1.25,-1.12,-1.48,8.16,8.17,8.17
35.27,9.41,9.41,1.25,1.25,-1.25,-1.13,-1.46,8.16,8.17,8.17
35.62,9.41,9.41,1.25,1.25,-1.24,-1.13,-1.45,8.17,8.16,8.16
35.97,9.40,9.40,1.25,1.25,-1.24,-1.14,-1.44,8.16,8.16,8.16
36.33,9.39,9.39,1.24,1.24,-1.24,-1.14,-1.42,8.15,8.15,8.15
36.70,9.39,9.39,1.25,1.24,-1.24,-1.14,-1.41,8.15,8.14,8.14
37.06,9.38,9.38,1.24,1.24,-1.24,-1.15,-1.39,8.14,8.14,8.14
37.43,9.37,9.37,1.24,1.24,-1.24,-1.15,-1.38,8.13,8.13,8.13
37.81,9.37,9.37,1.24,1.24,-1.24,-1.16,-1.36,8.13,8.13,8.13
38.19,9.36,9.36,1.24,1.24,-1.24,-1.16,-1.35,8.12,8.12,8.12
38.57,9.35,9.35,1.24,1.24,-1.24,-1.16,-1.33,8.11,8.11,8.11
38.95,9.34,9.34,1.23,1.23,-1.24,-1.17,-1.32,8.10,8.10,8.11
39.34,9.33,9.33,1.23,1.23,-1.24,-1.17,-1.30,8.09,8.10,8.10
39.74,9.33,9.33,1.24,1.23,-1.24,-1.18,-1.29,8.09,8.09,8.09
40.14,9.32,9.32,1.24,1.24,-1.24,-1.18,-1.27,8.09,8.09,8.09
40.54,9.32,9.32,1.24,1.24,-1.23,-1.19,-1.26,8.09,8.08,8.08
40.94,9.31,9.31,1.24,1.24,-1.23,-1.19,-1.25,8.08,8.07,8.07
41.35,9.29,9.29,1.23,1.23,-1.23,-1.19,-1.24,8.06,8.06,8.06
41.76,9.28,9.28,1.23,1.23,-1.23,-1.20,-1.23,8.05,8.05,8.05
42.18,9.27,9.27,1.23,1.23,-1.23,-1.20,-1.22,8.04,8.04,8.04
42.60,9.26,9.26,1.23,1.23,-1.23,-1.21,-1.21,8.03,8.03,8.03
43.03,9.26,9.26,1.24,1.23,-1.23,-1.21,-1.20,8.03,8.03,8.02
43.46,9.25,9.25,1.24,1.23,-1.23,-1.22,-1.19,8.02,8.02,8.01
43.90,9.23,9.23,1.23,1.23,-1.23,-1.22,-1.18,8.00,8.01,8.00
44.33,9.22,9.22,1.23,1.22,-1.23,-1.22,-1.18,7.99,7.99,7.99
44.78,9.20,9.20,1.22,1.22,-1.23,-1.23,-1.17,7.97,7.98,7.98
45.23,9.19,9.20,1.22,1.23,-1.23,-1.23,-1.17,7.96,7.97,7.97
45.68,9.19,9.19,1.23,1.23,-1.23,-1.24,-1.17,7.96,7.96,7.96
46.13,9.18,9.18,1.24,1.23,-1.23,-1.24,-1.16,7.95,7.95,7.95
46.60,9.16,9.16,1.23,1.23,-1.23,-1.25,-1.16,7.93,7.94,7.93
47.06,9.15,9.15,1.23,1.23,-1.23,-1.25,-1.16,7.92,7.92,7.92
47.53,9.13,9.13,1.23,1.23,-1.23,-1.26,-1.16,7.90,7.90,7.91
48.01,9.12,9.12,1.23,1.23,-1.23,-1.26,-1.16,7.89,7.89,7.89
48.49,9.11,9.11,1.23,1.23,-1.23,-1.26,-1.17,7.88,7.88,7.88
48.97,9.10,9.10,1.24,1.24,-1.23,-1.27,-1.17,7.87,7.87,7.86
49.46,9.08,9.08,1.24,1.24,-1.23,-1.27,-1.17,7.85,7.85,7.85
49.96,9.06,9.06,1.23,1.23,-1.24,-1.28,-1.18,7.83,7.83,7.83
50.46,9.04,9.04,1.23,1.23,-1.24,-1.28,-1.18,7.80,7.80,7.81
50.96,9.03,9.03,1.24,1.24,-1.24,-1.28,-1.19,7.79,7.79,7.79
51.47,9.02,9.02,1.24,1.24,-1.25,-1.29,-1.19,7.78,7.78,7.78
51.99,9.01,9.01,1.25,1.25,-1.25,-1.29,-1.20,7.76,7.76,7.76
52.51,9.00,9.00,1.26,1.26,-1.25,-1.30,-1.21,7.75,7.74,7.74
53.03,8.98,8.98,1.26,1.26,-1.26,-1.30,-1.22,7.72,7.72,7.72
53.56,8.96,8.96,1.26,1.26,-1.26,-1.30,-1.22,7.70,7.70,7.70
54.10,8.94,8.94,1.26,1.26,-1.27,-1.31,-1.23,7.67,7.67,7.68
54.64,8.92,8.92,1.27,1.27,-1.27,-1.31,-1.24,7.65,7.65,7.65
55.18,8.90,8.90,1.27,1.27,-1.28,-1.32,-1.25,7.62,7.63,7.63
55.74,8.89,8.89,1.28,1.28,-1.28,-1.32,-1.26,7.61,7.60,7.61
56.29,8.87,8.87,1.29,1.29,-1.29,-1.32,-1.27,7.58,7.58,7.58
56.86,8.85,8.85,1.29,1.30,-1.29,-1.33,-1.28,7.56,7.56,7.56
57.42,8.84,8.84,1.31,1.30,-1.30,-1.33,-1.30,7.54,7.54,7.53
58.00,8.82,8.82,1.31,1.31,-1.30,-1.34,-1.31,7.52,7.52,7.51
58.58,8.80,8.80,1.32,1.32,-1.31,-1.34,-1.32,7.49,7.49,7.48
59.16,8.77,8.77,1.32,1.32,-1.32,-1.35,-1.33,7.45,7.45,7.45
59.76,8.74,8.74,1.32,1.32,-1.33,-1.36,-1.34,7.41,7.41,7.42
60.35,8.72,8.72,1.33,1.33,-1.34,-1.36,-1.35,7.38,7.38,7.39
60.96,8.71,8.71,1.35,1.35,-1.36,-1.37,-1.36,7.36,7.36,7.36
61.57,8.71,8.70,1.38,1.37,-1.37,-1.38,-1.37,7.34,7.34,7.33
62.18,8.69,8.69,1.39,1.39,-1.38,-1.39,-1.38,7.31,7.31,7.30
