frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.46,1.46,-7.30,-7.30,6.00,6.66,2.85,7.46,7.46,8.76
20.20,1.45,1.45,-7.31,-7.30,6.00,6.65,2.93,7.45,7.45,8.76
20.40,1.45,1.45,-7.31,-7.31,6.00,6.63,3.01,7.45,7.45,8.76
20.61,1.44,1.44,-7.32,-7.32,6.00,6.62,3.10,7.44,7.44,8.76
20.81,1.43,1.43,-7.33,-7.33,6.00,6.61,3.18,7.43,7.43,8.76
21.02,1.42,1.42,-7.34,-7.34,6.00,6.60,3.28,7.42,7.42,8.76
21.23,1.41,1.41,-7.34,-7.34,6.00,6.58,3.37,7.41,7.41,8.76
21.44,1.40,1.40,-7.35,-7.35,6.00,6.57,3.47,7.40,7.40,8.75
21.66,1.39,1.39,-7.36,-7.36,6.00,6.56,3.56,7.39,7.39,8.75
21.87,1.38,1.38,-7.37,-7.37,6.00,6.54,3.67,7.38,7.38,8.75
22.09,1.37,1.37,-7.38,-7.38,6.00,6.53,3.77,7.37,7.37,8.75
22.31,1.37,1.37,-7.38,-7.39,6.00,6.51,3.88,7.37,7.37,8.75
22.54,1.36,1.36,-7.39,-7.39,6.00,6.50,3.99,7.36,7.36,8.75
22.76,1.36,1.36,-7.39,-7.39,6.00,6.48,4.10,7.36,7.36,8.75
22.99,1.37,1.37,-7.38,-7.38,6.00,6.47,4.22,7.37,7.37,8.75
23.22,1.37,1.37,-7.38,-7.37,6.00,6.46,4.34,7.37,7.37,8.75
23.45,1.38,1.38,-7.37,-7.37,6.00,6.44,4.46,7.38,7.38,8.75
23.69,1.38,1.38,-7.36,-7.36,6.00,6.42,4.58,7.38,7.38,8.75
23.92,1.38,1.38,-7.36,-7.37,6.00,6.41,4.71,7.38,7.38,8.74
24.16,1.37,1.37,-7.37,-7.37,6.00,6.39,4.84,7.37,7.37,8.74
24.40,1.36,1.36,-7.38,-7.38,6.00,6.38,4.97,7.36,7.36,8.74
24.65,1.35,1.35,-7.39,-7.39,6.00,6.36,5.10,7.35,7.35,8.74
24.89,1.34,1.34,-7.40,-7.40,6.00,6.35,5.24,7.34,7.34,8.74
25.14,1.33,1.33,-7.41,-7.40,6.00,6.33,5.37,7.33,7.33,8.74
25.39,1.33,1.33,-7.41,-7.40,6.00,6.31,5.51,7.33,7.33,8.74
25.65,1.34,1.34,-7.39,-7.40,6.00,6.30,5.65,7.34,7.34,8.73
25.91,1.35,1.35,-7.38,-7.38,6.00,6.28,5.79,7.35,7.35,8.73
26.16,1.36,1.36,-7.37,-7.37,6.00,6.26,5.93,7.36,7.36,8.73
26.43,1.37,1.37,-7.36,-7.36,6.00,6.24,6.07,7.37,7.37,8.73
26.69,1.38,1.38,-7.35,-7.35,6.00,6.23,6.20,7.38,7.38,8.73
26.96,1.39,1.39,-7.34,-7.34,6.00,6.21,6.34,7.39,7.39,8.73
27.23,1.39,1.39,-7.33,-7.34,6.00,6.19,6.47,7.39,7.39,8.73
27.50,1.38,1.38,-7.34,-7.34,6.00,6.17,6.60,7.38,7.38,8.72
27.77,1.38,1.38,-7.34,-7.34,6.00,6.16,6.73,7.38,7.38,8.72
28.05,1.37,1.37,-7.35,-7.34,6.00,6.14,6.85,7.37,7.37,8.72
28.33,1.37,1.37,-7.35,-7.35,6.00,6.12,6.96,7.37,7.37,8.72
28.62,1.36,1.36,-7.35,-7.36,6.00,6.10,7.07,7.36,7.36,8.71
28.90,1.34,1.34,-7.37,-7.37,6.00,6.08,7.17,7.34,7.34,8.71
29.19,1.33,1.33,-7.38,-7.38,6.00,6.07,7.26,7.33,7.33,8.71
29.48,1.31,1.31,-7.40,-7.39,6.00,6.05,7.34,7.31,7.31,8.71
29.78,1.30,1.30,-7.40,-7.40,6.00,6.03,7.42,7.30,7.30,8.71
30.08,1.29,1.29,-7.41,-7.41,6.00,6.01,7.48,7.29,7.29,8.70
30.38,1.28,1.28,-7.42,-7.42,6.00,6.00,7.53,7.28,7.28,8.70
30.68,1.27,1.27,-7.43,-7.43,6.00,5.98,7.57,7.27,7.27,8.70
30.99,1.25,1.25,-7.44,-7.44,6.00,5.96,7.59,7.25,7.25,8.69
31.30,1.23,1.23,-7.46,-7.46,6.00,5.94,7.60,7.23,7.23,8.69
31.61,1.21,1.21,-7.48,-7.48,6.00,5.93,7.61,7.21,7.21,8.69
31.93,1.17,1.17,-7.51,-7.51,6.00,5.91,7.59,7.17,7.17,8.68
32.24,1.14,1.14,-7.54,-7.54,6.00,5.90,7.57,7.14,7.14,8.68
32.57,1.10,1.10,-7.58,-7.58,6.00,5.88,7.53,7.10,7.10,8.68
32.89,1.07,1.07,-7.60,-7.61,6.00,5.87,7.48,7.07,7.07,8.67
33.22,1.03,1.03,-7.64,-7.64,6.00,5.85,7.42,7.03,7.03,8.67
33.55,1.00,1.00,-7.67,-7.66,6.00,5.84,7.35,7.00,7.00,8.67
33.89,0.98,0.98,-7.68,-7.69,6.00,5.83,7.27,6.98,6.98,8.66
34.23,0.95,0.95,-7.71,-7.71,6.00,5.82,7.19,6.95,6.95,8.66
34.57,0.92,0.92,-7.73,-7.73,6.00,5.81,7.09,6.92,6.92,8.65
34.92,0.89,0.89,-7.76,-7.76,6.00,5.81,7.00,6.89,6.89,8.65
35.27,0.85,0.85,-7.79,-7.79,6.00,5.80,6.89,6.85,6.85,8.64
35.62,0.82,0.82,-7.82,-7.82,6.00,5.80,6.78,6.82,6.82,8.64
35.97,0.80,0.80,-7.83,-7.83,6.00,5.80,6.67,6.80,6.80,8.63
36.33,0.79,0.79,-7.84,-7.84,6.00,5.80,6.55,6.79,6.79,8.63
36.70,0.78,0.78,-7.84,-7.84,6.00,5.80,6.44,6.78,6.78,8.62
37.06,0.78,0.78,-7.84,-7.83,6.00,5.81,6.32,6.78,6.78,8.62
37.43,0.79,0.79,-7.82,-7.82,6.00,5.82,6.20,6.79,6.79,8.61
37.81,0.81,0.80,-7.80,-7.80,6.00,5.83,6.08,6.81,6.80,8.61
38.19,0.82,0.82,-7.78,-7.78,6.00,5.85,5.96,6.82,6.82,8.60
38.57,0.85,0.86,-7.74,-7.74,6.00,5.87,5.84,6.85,6.86,8.59
38.95,0.90,0.90,-7.69,-7.69,6.00,5.89,5.73,6.90,6.90,8.59
39.34,0.95,0.95,-7.63,-7.63,6.00,5.92,5.61,6.95,6.95,8.58
39.74,1.01,1.01,-7.56,-7.56,6.00,5.95,5.50,7.01,7.01,8.57
40.14,1.08,1.08,-7.48,-7.49,6.00,5.98,5.39,7.08,7.08,8.56
40.54,1.15,1.16,-7.41,-7.40,6.00,6.02,5.28,7.15,7.16,8.56
40.94,1.25,1.25,-7.30,-7.30,6.00,6.06,5.18,7.25,7.25,8.55
41.35,1.35,1.35,-7.19,-7.19,6.00,6.09,5.08,7.35,7.35,8.54
41.76,1.45,1.46,-7.08,-7.07,6.00,6.12,4.98,7.45,7.46,8.53
42.18,1.57,1.57,-6.95,-6.96,6.00,6.15,4.88,7.57,7.57,8.52
42.60,1.68,1.68,-6.83,-6.83,6.01,6.17,4.79,7.69,7.69,8.51
43.03,1.80,1.80,-6.70,-6.70,6.02,6.17,4.70,7.82,7.83,8.50
43.46,1.93,1.93,-6.56,-6.56,6.03,6.17,4.62,7.96,7.96,8.49
43.90,2.06,2.06,-6.42,-6.42,6.02,6.14,4.54,8.08,8.08,8.48
44.33,2.19,2.19,-6.28,-6.28,6.00,6.10,4.46,8.19,8.19,8.47
44.78,2.32,2.32,-6.14,-6.14,5.96,6.04,4.39,8.28,8.28,8.46
45.23,2.45,2.45,-6.00,-6.00,5.91,5.96,4.31,8.36,8.35,8.45
45.68,2.57,2.57,-5.87,-5.86,5.83,5.87,4.25,8.40,8.40,8.44
46.13,2.70,2.70,-5.72,-5.73,5.73,5.76,4.18,8.43,8.43,8.42
46.60,2.82,2.82,-5.59,-5.59,5.61,5.64,4.12,8.43,8.43,8.41
47.06,2.95,2.95,-5.45,-5.45,5.48,5.51,4.06,8.43,8.43,8.40
47.53,3.07,3.07,-5.31,-5.31,5.34,5.37,4.01,8.41,8.41,8.38
48.01,3.19,3.19,-5.18,-5.18,5.19,5.23,3.96,8.38,8.38,8.37
48.49,3.31,3.31,-5.05,-5.05,5.05,5.09,3.91,8.36,8.35,8.36
48.97,3.42,3.43,-4.92,-4.91,4.91,4.94,3.86,8.34,8.34,8.34
49.46,3.54,3.54,-4.78,-4.79,4.79,4.80,3.82,8.33,8.32,8.32
49.96,3.65,3.65,-4.66,-4.66,4.66,4.67,3.78,8.31,8.31,8.31
50.46,3.75,3.76,-4.54,-4.53,4.54,4.53,3.74,8.29,8.29,8.29
50.96,3.86,3.86,-4.41,-4.42,4.42,4.40,3.70,8.28,8.28,8.27
51.47,3.96,3.96,-4.29,-4.30,4.30,4.27,3.66,8.26,8.26,8.26
51.99,4.05,4.05,-4.19,-4.19,4.19,4.15,3.63,8.24,8.24,8.24
52.51,4.14,4.14,-4.08,-4.08,4.07,4.02,3.60,8.21,8.21,8.22
53.03,4.23,4.23,-3.97,-3.97,3.96,3.91,3.56,8.19,8.19,8.20
53.56,4.32,4.32,-3.86,-3.86,3.85,3.79,3.53,8.17,8.17,8.18
54.10,4.41,4.41,-3.75,-3.74,3.75,3.68,3.50,8.16,8.16,8.16
54.64,4.50,4.50,-3.63,-3.64,3.64,3.57,3.47,8.14,8.14,8.13
55.18,4.58,4.58,-3.53,-3.53,3.54,3.46,3.44,8.12,8.12,8.11
55.74,4.65,4.65,-3.44,-3.44,3.44,3.36,3.41,8.09,8.09,8.09
56.29,4.72,4.72,-3.34,-3.34,3.34,3.26,3.38,8.06,8.06,8.06
56.86,4.79,4.79,-3.25,-3.25,3.24,3.15,3.34,8.03,8.03,8.04
57.42,4.86,4.86,-3.15,-3.16,3.14,3.06,3.31,8.01,8.00,8.01
58.00,4.92,4.93,-3.07,-3.06,3.05,2.96,3.28,7.97,7.98,7.99
58.58,5.00,5.00,-2.96,-2.96,2.96,2.86,3.24,7.96,7.96,7.96
59.16,5.08,5.08,-2.85,-2.85,2.86,2.77,3.20,7.95,7.94,7.93
59.76,5.15,5.15,-2.75,-2.76,2.77,2.67,3.16,7.92,7.92,7.90
60.35,5.20,5.20,-2.67,-2.67,2.68,2.58,3.11,7.88,7.88,7.87
60.96,5.24,5.24,-2.60,-2.60,2.59,2.49,3.06,7.83,7.84,7.84
61.57,5.29,5.29,-2.52,-2.52,2.51,2.40,3.01,7.80,7.80,7.81
62.18,5.34,5.35,-2.44,-2.43,2.42,2.31,2.96,7.76,7.77,7.78
62.80,5.41,5.41,-2.33,-2.34,2.34,2.23,2.91,7.75,7.74,7.75
63.43,5.46,5.46,-2.25,-2.25,2.25,2.14,2.85,7.71,7.72,7.71
64.07,5.52,5.52,-2.16,-2.16,2.17,2.05,2.78,7.69,7.68,7.68
64.71,5.56,5.56,-2.08,-2.08,2.08,1.97,2.72,7.64,7.64,7.64
65.35,5.60,5.60,-2.00,-2.00,2.00,1.89,2.65,7.60,7.60,7.60
66.01,5.65,5.65,-1.91,-1.92,1.91,1.80,2.58,7.56,7.56,7.56
66.67,5.69,5.69,-1.83,-1.83,1.83,1.72,2.50,7.52,7.52,7.53
67.33,5.74,5.74,-1.74,-1.75,1.75,1.64,2.42,7.49,7.49,7.49
68.01,5.78,5.78,-1.66,-1.66,1.67,1.56,2.34,7.45,7.45,7.44
68.69,5.82,5.82,-1.58,-1.58,1.59,1.49,2.26,7.41,7.40,7.40
69.37,5.85,5.85,-1.51,-1.50,1.50,1.41,2.18,7.35,7.36,7.36
70.07,5.89,5.89,-1.42,-1.42,1.42,1.33,2.09,7.31,7.31,7.32
70.77,5.93,5.93,-1.34,-1.34,1.34,1.26,2.00,7.27,7.27,7.27
71.48,5.96,5.96,-1.26,-1.26,1.26,1.18,1.91,7.22,7.22,7.22
72.19,6.00,6.00,-1.18,-1.18,1.18,1.11,1.81,7.18,7.18,7.18
72.91,6.03,6.03,-1.10,-1.10,1.10,1.03,1.72,7.13,7.13,7.13
73.64,6.06,6.06,-1.02,-1.02,1.02,0.96,1.62,7.08,7.08,7.08
74.38,6.09,6.09,-0.94,-0.94,0.94,0.89,1.53,7.03,7.03,7.03
75.12,6.12,6.12,-0.86,-0.86,0.86,0.81,1.43,6.98,6.98,6.98
75.87,6.14,6.15,-0.78,-0.78,0.78,0.74,1.33,6.92,6.92,6.93
76.63,6.17,6.17,-0.70,-0.70,0.70,0.67,1.23,6.87,6.87,6.87
77.40,6.20,6.20,-0.62,-0.62,0.62,0.60,1.13,6.82,6.82,6.82
78.17,6.22,6.22,-0.54,-0.54,0.54,0.52,1.03,6.76,6.76,6.76
78.95,6.24,6.25,-0.47,-0.46,0.46,0.45,0.93,6.70,6.71,6.71
79.74,6.27,6.27,-0.38,-0.38,0.38,0.38,0.83,6.65,6.65,6.65
80.54,6.29,6.29,-0.30,-0.30,0.30,0.31,0.73,6.59,6.59,6.59
81.35,6.31,6.31,-0.22,-0.22,0.22,0.23,0.62,6.53,6.53,6.53
82.16,6.32,6.33,-0.15,-0.15,0.14,0.16,0.52,6.46,6.47,6.47
82.98,6.34,6.34,-0.07,-0.07,0.06,0.09,0.42,6.40,6.41,6.41
83.81,6.37,6.36,0.02,0.02,-0.02,0.01,0.32,6.35,6.35,6.35
84.65,6.38,6.38,0.10,0.10,-0.10,-0.06,0.21,6.28,6.29,6.29
85.50,6.40,6.40,0.18,0.18,-0.18,-0.14,0.11,6.22,6.22,6.22
86.35,6.41,6.41,0.25,0.26,-0.26,-0.21,0.01,6.16,6.16,6.16
87.22,6.43,6.43,0.34,0.34,-0.33,-0.29,-0.10,6.10,6.09,6.09
88.09,6.44,6.44,0.41,0.41,-0.41,-0.36,-0.20,6.03,6.03,6.03
