frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.32,9.32,1.59,1.59,-1.59,-1.45,-0.70,7.73,7.73,7.73
20.20,9.32,9.31,1.59,1.59,-1.59,-1.46,-0.72,7.73,7.73,7.73
20.40,9.31,9.31,1.58,1.59,-1.59,-1.46,-0.74,7.72,7.72,7.72
20.61,9.31,9.31,1.58,1.59,-1.59,-1.46,-0.76,7.72,7.72,7.72
20.81,9.31,9.31,1.59,1.58,-1.59,-1.46,-0.78,7.72,7.72,7.72
21.02,9.31,9.31,1.59,1.59,-1.59,-1.46,-0.81,7.72,7.72,7.72
21.23,9.31,9.31,1.59,1.59,-1.59,-1.46,-0.83,7.72,7.72,7.72
21.44,9.31,9.31,1.59,1.59,-1.59,-1.46,-0.85,7.72,7.72,7.72
21.66,9.31,9.31,1.59,1.59,-1.59,-1.46,-0.88,7.72,7.72,7.72
21.87,9.31,9.31,1.59,1.59,-1.59,-1.46,-0.91,7.72,7.72,7.72
22.09,9.31,9.31,1.59,1.59,-1.59,-1.46,-0.93,7.72,7.72,7.72
22.31,9.31,9.31,1.59,1.59,-1.59,-1.46,-0.96,7.72,7.72,7.72
22.54,9.31,9.31,1.59,1.59,-1.59,-1.46,-0.99,7.72,7.72,7.72
22.76,9.31,9.31,1.59,1.59,-1.59,-1.46,-1.02,7.72,7.72,7.72
22.99,9.31,9.31,1.59,1.59,-1.59,-1.47,-1.05,7.72,7.72,7.71
23.22,9.31,9.31,1.59,1.59,-1.59,-1.47,-1.08,7.72,7.72,7.71
23.45,9.31,9.31,1.60,1.59,-1.59,-1.47,-1.11,7.72,7.71,7.71
23.69,9.30,9.30,1.59,1.59,-1.59,-1.47,-1.14,7.71,7.71,7.71
23.92,9.30,9.30,1.59,1.59,-1.59,-1.47,-1.17,7.71,7.71,7.71
24.16,9.30,9.30,1.59,1.59,-1.59,-1.47,-1.20,7.71,7.71,7.71
24.40,9.30,9.30,1.59,1.59,-1.59,-1.47,-1.24,7.71,7.71,7.71
24.65,9.30,9.30,1.59,1.59,-1.59,-1.47,-1.27,7.71,7.71,7.71
24.89,9.30,9.30,1.59,1.59,-1.59,-1.47,-1.30,7.71,7.71,7.71
25.14,9.30,9.30,1.59,1.59,-1.59,-1.47,-1.34,7.70,7.70,7.70
25.39,9.30,9.30,1.60,1.60,-1.59,-1.47,-1.37,7.70,7.70,7.70
25.65,9.30,9.30,1.60,1.60,-1.59,-1.48,-1.41,7.70,7.70,7.70
25.91,9.30,9.30,1.60,1.60,-1.59,-1.48,-1.44,7.71,7.70,7.70
26.16,9.29,9.29,1.59,1.59,-1.59,-1.48,-1.47,7.70,7.70,7.70
26.43,9.29,9.29,1.59,1.59,-1.59,-1.48,-1.51,7.70,7.70,7.70
26.69,9.28,9.28,1.58,1.59,-1.59,-1.48,-1.54,7.69,7.69,7.70
26.96,9.28,9.28,1.59,1.58,-1.58,-1.48,-1.57,7.69,7.69,7.69
27.23,9.27,9.27,1.58,1.58,-1.58,-1.48,-1.61,7.69,7.69,7.69
27.50,9.27,9.27,1.58,1.58,-1.58,-1.48,-1.64,7.69,7.69,7.69
27.77,9.27,9.27,1.58,1.58,-1.58,-1.48,-1.67,7.69,7.68,7.69
28.05,9.27,9.27,1.58,1.58,-1.58,-1.49,-1.70,7.69,7.69,7.69
28.33,9.27,9.27,1.58,1.59,-1.58,-1.49,-1.72,7.69,7.69,7.68
28.62,9.27,9.27,1.59,1.59,-1.58,-1.49,-1.75,7.69,7.69,7.68
28.90,9.27,9.26,1.59,1.59,-1.58,-1.49,-1.78,7.69,7.68,7.68
29.19,9.26,9.26,1.58,1.58,-1.58,-1.49,-1.80,7.68,7.68,7.68
29.48,9.25,9.25,1.57,1.58,-1.58,-1.49,-1.82,7.67,7.67,7.67
29.78,9.25,9.24,1.58,1.57,-1.58,-1.49,-1.84,7.67,7.67,7.67
30.08,9.24,9.24,1.57,1.57,-1.58,-1.49,-1.85,7.66,7.66,7.67
30.38,9.24,9.24,1.57,1.57,-1.58,-1.49,-1.87,7.66,7.66,7.67
30.68,9.24,9.24,1.57,1.57,-1.58,-1.50,-1.88,7.66,7.66,7.66
30.99,9.24,9.24,1.58,1.58,-1.58,-1.50,-1.89,7.66,7.66,7.66
31.30,9.24,9.24,1.58,1.58,-1.58,-1.50,-1.90,7.66,7.66,7.66
31.61,9.24,9.24,1.58,1.58,-1.58,-1.50,-1.90,7.66,7.66,7.65
31.93,9.23,9.23,1.58,1.58,-1.58,-1.50,-1.90,7.65,7.65,7.65
32.24,9.23,9.23,1.58,1.58,-1.58,-1.50,-1.90,7.65,7.64,7.65
32.57,9.22,9.22,1.57,1.58,-1.58,-1.50,-1.90,7.64,7.64,7.64
32.89,9.22,9.22,1.58,1.58,-1.58,-1.50,-1.90,7.64,7.64,7.64
33.22,9.22,9.22,1.58,1.58,-1.58,-1.51,-1.89,7.64,7.64,7.64
33.55,9.22,9.22,1.59,1.58,-1.58,-1.51,-1.88,7.64,7.64,7.63
33.89,9.21,9.21,1.58,1.58,-1.58,-1.51,-1.87,7.63,7.63,7.63
34.23,9.20,9.20,1.57,1.57,-1.57,-1.51,-1.86,7.62,7.62,7.62
34.57,9.19,9.19,1.57,1.57,-1.57,-1.51,-1.84,7.62,7.62,7.62
34.92,9.18,9.18,1.56,1.56,-1.57,-1.51,-1.83,7.61,7.61,7.62
35.27,9.18,9.18,1.57,1.56,-1.57,-1.51,-1.81,7.61,7.61,7.61
35.62,9.17,9.17,1.56,1.56,-1.56,-1.51,-1.80,7.60,7.61,7.61
35.97,9.17,9.17,1.57,1.56,-1.56,-1.51,-1.78,7.61,7.61,7.60
36.33,9.16,9.16,1.56,1.56,-1.56,-1.52,-1.76,7.60,7.60,7.60
36.70,9.15,9.15,1.56,1.56,-1.56,-1.52,-1.74,7.59,7.59,7.59
37.06,9.14,9.14,1.55,1.55,-1.56,-1.52,-1.72,7.58,7.58,7.58
37.43,9.13,9.13,1.55,1.55,-1.56,-1.52,-1.70,7.57,7.57,7.58
37.81,9.12,9.12,1.55,1.55,-1.56,-1.52,-1.68,7.56,7.57,7.57
38.19,9.12,9.12,1.55,1.55,-1.56,-1.52,-1.66,7.56,7.56,7.57
38.57,9.12,9.12,1.56,1.56,-1.56,-1.52,-1.64,7.56,7.56,7.56
38.95,9.12,9.12,1.57,1.56,-1.56,-1.52,-1.62,7.56,7.56,7.55
39.34,9.11,9.11,1.56,1.56,-1.56,-1.52,-1.61,7.55,7.55,7.55
39.74,9.10,9.10,1.56,1.56,-1.55,-1.52,-1.59,7.54,7.54,7.54
40.14,9.08,9.08,1.55,1.55,-1.55,-1.53,-1.57,7.53,7.53,7.53
