frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.61,8.61,-0.44,-0.44,0.45,0.05,-0.08,9.06,9.06,9.05
20.20,8.63,8.63,-0.42,-0.42,0.42,0.05,-0.08,9.05,9.05,9.05
20.40,8.65,8.65,-0.40,-0.40,0.39,0.05,-0.08,9.04,9.05,9.05
20.61,8.68,8.67,-0.37,-0.37,0.37,0.04,-0.08,9.05,9.04,9.05
20.81,8.70,8.70,-0.35,-0.35,0.34,0.04,-0.09,9.04,9.04,9.05
21.02,8.72,8.72,-0.33,-0.32,0.32,0.04,-0.09,9.04,9.04,9.05
21.23,8.75,8.75,-0.30,-0.30,0.30,0.03,-0.09,9.05,9.04,9.05
21.44,8.77,8.77,-0.28,-0.27,0.27,0.03,-0.09,9.04,9.05,9.05
21.66,8.80,8.80,-0.25,-0.25,0.25,0.03,-0.09,9.05,9.05,9.04
21.87,8.82,8.82,-0.22,-0.23,0.23,0.02,-0.10,9.05,9.05,9.04
22.09,8.84,8.84,-0.20,-0.21,0.21,0.02,-0.10,9.05,9.05,9.04
22.31,8.85,8.85,-0.19,-0.19,0.19,0.02,-0.10,9.04,9.04,9.04
22.54,8.87,8.87,-0.17,-0.17,0.17,0.02,-0.10,9.04,9.04,9.04
22.76,8.88,8.88,-0.16,-0.16,0.16,0.01,-0.11,9.04,9.04,9.04
22.99,8.90,8.90,-0.14,-0.14,0.14,0.01,-0.11,9.04,9.04,9.04
23.22,8.91,8.91,-0.13,-0.13,0.12,0.00,-0.11,9.03,9.04,9.04
23.45,8.93,8.93,-0.11,-0.11,0.11,0.00,-0.11,9.04,9.04,9.04
23.69,8.95,8.95,-0.09,-0.09,0.09,-0.00,-0.12,9.04,9.04,9.04
23.92,8.96,8.96,-0.08,-0.07,0.07,-0.01,-0.12,9.03,9.04,9.04
24.16,8.98,8.98,-0.05,-0.06,0.06,-0.01,-0.12,9.04,9.03,9.03
24.40,8.99,8.99,-0.04,-0.04,0.04,-0.01,-0.12,9.03,9.03,9.03
24.65,9.01,9.01,-0.02,-0.02,0.03,-0.02,-0.13,9.04,9.03,9.03
24.89,9.02,9.02,-0.01,-0.01,0.01,-0.02,-0.13,9.03,9.03,9.03
25.14,9.03,9.03,0.00,0.00,-0.00,-0.03,-0.13,9.03,9.03,9.03
25.39,9.04,9.04,0.01,0.01,-0.01,-0.03,-0.14,9.02,9.02,9.03
25.65,9.05,9.05,0.02,0.03,-0.03,-0.04,-0.14,9.02,9.02,9.03
25.91,9.07,9.07,0.04,0.04,-0.04,-0.04,-0.14,9.02,9.02,9.02
26.16,9.08,9.08,0.06,0.06,-0.06,-0.04,-0.15,9.02,9.02,9.02
26.43,9.10,9.10,0.08,0.08,-0.08,-0.05,-0.15,9.02,9.02,9.02
26.69,9.11,9.11,0.09,0.09,-0.09,-0.05,-0.15,9.02,9.02,9.02
26.96,9.13,9.13,0.11,0.11,-0.11,-0.06,-0.16,9.02,9.02,9.02
27.23,9.14,9.14,0.12,0.12,-0.12,-0.06,-0.16,9.02,9.02,9.02
27.50,9.15,9.15,0.13,0.14,-0.13,-0.07,-0.16,9.01,9.02,9.01
27.77,9.16,9.16,0.15,0.15,-0.15,-0.07,-0.17,9.01,9.01,9.01
28.05,9.17,9.17,0.16,0.16,-0.16,-0.08,-0.17,9.01,9.01,9.01
