frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.40,10.40,1.28,1.28,-1.29,-1.70,-0.84,9.11,9.11,9.12
20.20,10.43,10.43,1.31,1.31,-1.32,-1.71,-0.86,9.11,9.12,9.12
20.40,10.46,10.47,1.34,1.35,-1.35,-1.71,-0.88,9.12,9.12,9.12
20.61,10.50,10.50,1.38,1.38,-1.37,-1.71,-0.91,9.13,9.12,9.12
20.81,10.52,10.53,1.40,1.41,-1.40,-1.72,-0.94,9.13,9.13,9.12
21.02,10.55,10.55,1.43,1.43,-1.42,-1.72,-0.96,9.13,9.13,9.12
21.23,10.57,10.57,1.46,1.45,-1.44,-1.72,-0.99,9.13,9.13,9.12
21.44,10.58,10.58,1.47,1.47,-1.46,-1.73,-1.02,9.12,9.12,9.12
21.66,10.59,10.59,1.48,1.48,-1.48,-1.73,-1.05,9.11,9.11,9.12
21.87,10.60,10.61,1.49,1.49,-1.50,-1.74,-1.08,9.10,9.11,9.11
22.09,10.62,10.62,1.51,1.51,-1.52,-1.74,-1.11,9.11,9.11,9.11
22.31,10.64,10.64,1.53,1.53,-1.53,-1.74,-1.14,9.11,9.11,9.11
22.54,10.66,10.66,1.55,1.55,-1.55,-1.75,-1.17,9.11,9.11,9.11
22.76,10.68,10.69,1.57,1.57,-1.58,-1.75,-1.21,9.11,9.11,9.11
22.99,10.71,10.71,1.60,1.60,-1.60,-1.76,-1.24,9.12,9.11,9.11
23.22,10.73,10.73,1.62,1.62,-1.62,-1.76,-1.28,9.11,9.11,9.11
23.45,10.75,10.75,1.64,1.65,-1.64,-1.76,-1.31,9.11,9.11,9.11
23.69,10.77,10.77,1.67,1.66,-1.66,-1.77,-1.35,9.11,9.11,9.11
23.92,10.78,10.79,1.68,1.68,-1.68,-1.77,-1.39,9.10,9.11,9.11
24.16,10.80,10.80,1.70,1.70,-1.70,-1.78,-1.43,9.10,9.10,9.10
24.40,10.81,10.81,1.71,1.71,-1.72,-1.78,-1.46,9.10,9.10,9.10
24.65,10.83,10.83,1.73,1.73,-1.74,-1.79,-1.50,9.10,9.10,9.10
24.89,10.85,10.85,1.75,1.75,-1.76,-1.79,-1.54,9.10,9.10,9.10
25.14,10.87,10.88,1.77,1.78,-1.78,-1.80,-1.58,9.10,9.10,9.10
25.39,10.90,10.90,1.80,1.80,-1.79,-1.80,-1.62,9.11,9.10,9.10
25.65,10.91,10.92,1.82,1.82,-1.81,-1.81,-1.66,9.10,9.10,9.10
25.91,10.93,10.93,1.84,1.84,-1.83,-1.81,-1.70,9.10,9.10,9.09
26.16,10.94,10.94,1.85,1.85,-1.85,-1.82,-1.74,9.10,9.10,9.09
26.43,10.95,10.95,1.86,1.86,-1.86,-1.82,-1.78,9.09,9.09,9.09
26.69,10.96,10.96,1.87,1.87,-1.88,-1.83,-1.82,9.08,9.08,9.09
26.96,10.97,10.98,1.88,1.89,-1.89,-1.83,-1.86,9.08,9.08,9.09
27.23,10.99,10.99,1.91,1.90,-1.91,-1.84,-1.90,9.08,9.08,9.09
27.50,11.01,11.01,1.93,1.92,-1.92,-1.84,-1.94,9.09,9.08,9.08
27.77,11.02,11.03,1.94,1.94,-1.94,-1.85,-1.98,9.08,9.09,9.08
28.05,11.04,11.04,1.96,1.96,-1.96,-1.85,-2.01,9.09,9.08,9.08
28.33,11.05,11.05,1.97,1.97,-1.97,-1.86,-2.05,9.08,9.08,9.08
28.62,11.06,11.06,1.99,1.99,-1.99,-1.87,-2.08,9.08,9.08,9.08
28.90,11.07,11.07,2.00,2.00,-2.00,-1.87,-2.11,9.07,9.07,9.07
29.19,11.08,11.08,2.01,2.01,-2.01,-1.88,-2.14,9.07,9.07,9.07
29.48,11.09,11.09,2.02,2.02,-2.02,-1.89,-2.17,9.07,9.07,9.07
29.78,11.10,11.10,2.04,2.04,-2.04,-1.89,-2.19,9.07,9.07,9.07
30.08,11.11,11.11,2.05,2.05,-2.05,-1.90,-2.21,9.06,9.06,9.06
30.38,11.12,11.12,2.06,2.06,-2.06,-1.91,-2.23,9.06,9.06,9.06
30.68,11.13,11.13,2.07,2.07,-2.08,-1.91,-2.25,9.06,9.06,9.06
30.99,11.14,11.15,2.09,2.09,-2.09,-1.92,-2.27,9.05,9.05,9.06
31.30,11.16,11.16,2.11,2.11,-2.10,-1.93,-2.28,9.06,9.06,9.05
31.61,11.17,11.17,2.12,2.12,-2.12,-1.93,-2.29,9.06,9.06,9.05
31.93,11.18,11.18,2.14,2.13,-2.13,-1.94,-2.30,9.05,9.05,9.05
32.24,11.18,11.18,2.14,2.14,-2.14,-1.95,-2.30,9.04,9.04,9.04
32.57,11.19,11.19,2.15,2.15,-2.16,-1.96,-2.31,9.03,9.03,9.04
32.89,11.19,11.20,2.16,2.16,-2.17,-1.96,-2.31,9.02,9.02,9.04
33.22,11.21,11.21,2.18,2.18,-2.19,-1.97,-2.30,9.03,9.02,9.03
33.55,11.22,11.23,2.19,2.20,-2.20,-1.98,-2.30,9.03,9.03,9.03
33.89,11.24,11.24,2.22,2.22,-2.20,-1.99,-2.30,9.04,9.04,9.02
34.23,11.25,11.25,2.23,2.23,-2.21,-2.00,-2.29,9.04,9.04,9.02
34.57,11.25,11.25,2.24,2.23,-2.22,-2.00,-2.28,9.03,9.03,9.02
34.92,11.23,11.24,2.22,2.22,-2.23,-2.01,-2.27,9.01,9.01,9.01
35.27,11.22,11.22,2.22,2.22,-2.23,-2.02,-2.26,8.99,8.99,9.01
35.62,11.21,11.22,2.21,2.22,-2.24,-2.03,-2.25,8.97,8.98,9.00
35.97,11.22,11.22,2.23,2.23,-2.24,-2.04,-2.24,8.98,8.98,9.00
36.33,11.24,11.24,2.25,2.25,-2.25,-2.05,-2.22,9.00,8.99,8.99
36.70,11.25,11.25,2.27,2.27,-2.25,-2.06,-2.21,9.00,9.00,8.99
37.06,11.26,11.25,2.28,2.27,-2.25,-2.07,-2.20,9.01,9.00,8.98
37.43,11.24,11.24,2.27,2.27,-2.26,-2.08,-2.18,8.98,8.98,8.97
37.81,11.22,11.22,2.25,2.26,-2.26,-2.09,-2.17,8.96,8.96,8.97
38.19,11.20,11.21,2.24,2.25,-2.26,-2.10,-2.16,8.94,8.95,8.96
38.57,11.20,11.20,2.25,2.25,-2.26,-2.11,-2.15,8.94,8.94,8.95
38.95,11.21,11.21,2.26,2.26,-2.26,-2.12,-2.14,8.95,8.95,8.95
39.34,11.21,11.21,2.27,2.27,-2.26,-2.13,-2.13,8.95,8.95,8.94
39.74,11.21,11.20,2.28,2.27,-2.27,-2.14,-2.12,8.94,8.93,8.93
40.14,11.19,11.20,2.27,2.27,-2.28,-2.15,-2.11,8.91,8.91,8.93
40.54,11.18,11.19,2.26,2.27,-2.29,-2.16,-2.10,8.89,8.90,8.92
40.94,11.20,11.20,2.29,2.29,-2.29,-2.17,-2.10,8.91,8.91,8.91
41.35,11.21,11.22,2.31,2.31,-2.29,-2.18,-2.09,8.92,8.92,8.90
41.76,11.23,11.22,2.34,2.33,-2.29,-2.19,-2.09,8.94,8.93,8.89
42.18,11.20,11.20,2.32,2.31,-2.29,-2.20,-2.09,8.91,8.91,8.88
42.60,11.16,11.16,2.29,2.29,-2.29,-2.22,-2.09,8.87,8.87,8.87
43.03,11.11,11.12,2.25,2.26,-2.30,-2.23,-2.09,8.81,8.83,8.86
43.46,11.11,11.12,2.26,2.26,-2.30,-2.24,-2.09,8.81,8.81,8.85
43.90,11.13,11.14,2.29,2.29,-2.31,-2.25,-2.10,8.82,8.83,8.84
