frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.83,11.83,3.69,3.69,-3.70,-2.59,-1.46,8.14,8.14,8.14
20.20,11.83,11.83,3.69,3.69,-3.69,-2.59,-1.50,8.14,8.14,8.14
20.40,11.82,11.83,3.68,3.69,-3.68,-2.58,-1.54,8.14,8.15,8.14
20.61,11.82,11.82,3.68,3.68,-3.67,-2.58,-1.59,8.15,8.15,8.14
20.81,11.81,11.81,3.67,3.67,-3.67,-2.58,-1.64,8.15,8.15,8.14
21.02,11.80,11.80,3.66,3.66,-3.66,-2.58,-1.69,8.14,8.14,8.14
21.23,11.78,11.79,3.64,3.65,-3.65,-2.58,-1.73,8.13,8.14,8.14
21.44,11.77,11.77,3.63,3.63,-3.64,-2.58,-1.79,8.13,8.13,8.14
21.66,11.76,11.76,3.63,3.62,-3.63,-2.58,-1.84,8.13,8.13,8.14
21.87,11.75,11.75,3.62,3.62,-3.62,-2.58,-1.89,8.14,8.14,8.14
22.09,11.74,11.74,3.61,3.61,-3.61,-2.58,-1.95,8.14,8.14,8.14
22.31,11.73,11.73,3.60,3.60,-3.59,-2.58,-2.01,8.14,8.14,8.13
22.54,11.72,11.72,3.59,3.59,-3.58,-2.58,-2.07,8.14,8.13,8.13
22.76,11.70,11.71,3.57,3.57,-3.57,-2.58,-2.13,8.13,8.13,8.13
22.99,11.69,11.69,3.56,3.56,-3.56,-2.58,-2.19,8.13,8.13,8.13
23.22,11.68,11.68,3.55,3.55,-3.55,-2.58,-2.25,8.13,8.13,8.13
23.45,11.67,11.67,3.54,3.54,-3.54,-2.58,-2.32,8.13,8.13,8.13
23.69,11.65,11.66,3.52,3.53,-3.53,-2.58,-2.38,8.13,8.13,8.13
23.92,11.64,11.64,3.51,3.52,-3.51,-2.57,-2.45,8.13,8.13,8.13
24.16,11.63,11.63,3.51,3.50,-3.50,-2.57,-2.52,8.13,8.13,8.13
24.40,11.61,11.61,3.49,3.49,-3.49,-2.57,-2.59,8.13,8.13,8.13
24.65,11.59,11.60,3.47,3.47,-3.47,-2.57,-2.66,8.12,8.13,8.12
24.89,11.58,11.58,3.46,3.46,-3.46,-2.57,-2.73,8.13,8.12,8.12
25.14,11.56,11.56,3.44,3.44,-3.44,-2.57,-2.80,8.12,8.12,8.12
25.39,11.54,11.54,3.42,3.42,-3.42,-2.57,-2.87,8.12,8.12,8.12
25.65,11.52,11.52,3.40,3.41,-3.41,-2.57,-2.94,8.11,8.12,8.12
25.91,11.51,11.51,3.40,3.39,-3.40,-2.57,-3.02,8.12,8.11,8.12
26.16,11.49,11.49,3.38,3.38,-3.38,-2.57,-3.09,8.11,8.11,8.12
26.43,11.48,11.48,3.37,3.37,-3.37,-2.56,-3.16,8.12,8.11,8.11
26.69,11.46,11.47,3.35,3.35,-3.35,-2.56,-3.23,8.11,8.11,8.11
26.96,11.45,11.45,3.34,3.34,-3.34,-2.56,-3.30,8.12,8.11,8.11
27.23,11.43,11.43,3.32,3.32,-3.32,-2.56,-3.36,8.11,8.11,8.11
27.50,11.41,11.41,3.31,3.31,-3.31,-2.56,-3.43,8.11,8.11,8.11
27.77,11.39,11.39,3.29,3.29,-3.29,-2.56,-3.49,8.10,8.10,8.10
28.05,11.37,11.37,3.27,3.27,-3.27,-2.56,-3.55,8.10,8.10,8.10
28.33,11.35,11.35,3.25,3.25,-3.25,-2.55,-3.61,8.10,8.10,8.10
28.62,11.33,11.33,3.23,3.23,-3.24,-2.55,-3.66,8.10,8.10,8.10
28.90,11.31,11.31,3.22,3.22,-3.22,-2.55,-3.71,8.09,8.10,8.10
29.19,11.29,11.29,3.20,3.20,-3.20,-2.55,-3.75,8.09,8.09,8.09
29.48,11.27,11.27,3.18,3.18,-3.18,-2.55,-3.79,8.09,8.09,8.09
29.78,11.25,11.25,3.16,3.16,-3.16,-2.55,-3.83,8.09,8.09,8.09
30.08,11.23,11.23,3.15,3.15,-3.14,-2.54,-3.86,8.09,8.09,8.09
30.38,11.21,11.21,3.13,3.13,-3.13,-2.54,-3.88,8.09,8.08,8.08
30.68,11.18,11.19,3.10,3.11,-3.11,-2.54,-3.90,8.08,8.08,8.08
30.99,11.16,11.16,3.08,3.08,-3.09,-2.54,-3.91,8.08,8.08,8.08
31.30,11.14,11.14,3.07,3.06,-3.07,-2.54,-3.91,8.08,8.07,8.07
31.61,11.11,11.12,3.04,3.05,-3.05,-2.53,-3.92,8.07,8.07,8.07
31.93,11.09,11.09,3.02,3.02,-3.02,-2.53,-3.91,8.07,8.07,8.07
32.24,11.07,11.07,3.01,3.00,-3.00,-2.53,-3.90,8.07,8.07,8.06
32.57,11.04,11.05,2.98,2.98,-2.98,-2.53,-3.88,8.06,8.06,8.06
32.89,11.02,11.02,2.96,2.96,-2.96,-2.52,-3.86,8.06,8.06,8.06
33.22,10.99,10.99,2.94,2.94,-2.94,-2.52,-3.83,8.05,8.05,8.05
33.55,10.97,10.97,2.92,2.92,-2.92,-2.52,-3.80,8.05,8.05,8.05
33.89,10.94,10.95,2.90,2.90,-2.90,-2.51,-3.76,8.04,8.05,8.05
34.23,10.92,10.92,2.88,2.88,-2.88,-2.51,-3.72,8.04,8.04,8.04
34.57,10.89,10.89,2.85,2.86,-2.86,-2.51,-3.67,8.04,8.04,8.04
34.92,10.86,10.87,2.83,2.83,-2.83,-2.50,-3.62,8.03,8.03,8.03
35.27,10.84,10.84,2.81,2.81,-2.81,-2.50,-3.57,8.03,8.03,8.03
35.62,10.81,10.81,2.79,2.79,-2.79,-2.50,-3.51,8.02,8.02,8.02
35.97,10.78,10.78,2.76,2.76,-2.77,-2.49,-3.46,8.02,8.02,8.02
36.33,10.75,10.75,2.74,2.74,-2.74,-2.49,-3.40,8.01,8.01,8.01
36.70,10.72,10.73,2.72,2.72,-2.72,-2.48,-3.34,8.00,8.01,8.01
37.06,10.70,10.70,2.70,2.70,-2.70,-2.48,-3.27,8.00,8.00,8.00
37.43,10.67,10.67,2.68,2.68,-2.67,-2.47,-3.21,8.00,8.00,8.00
37.81,10.64,10.64,2.65,2.65,-2.65,-2.47,-3.15,7.99,7.99,7.99
38.19,10.61,10.61,2.63,2.63,-2.63,-2.46,-3.09,7.98,7.98,7.98
38.57,10.58,10.58,2.61,2.61,-2.61,-2.46,-3.02,7.98,7.98,7.98
38.95,10.55,10.55,2.58,2.58,-2.58,-2.45,-2.96,7.97,7.97,7.97
39.34,10.52,10.52,2.56,2.56,-2.56,-2.45,-2.90,7.96,7.96,7.96
39.74,10.49,10.49,2.54,2.54,-2.53,-2.44,-2.84,7.96,7.96,7.96
40.14,10.46,10.46,2.51,2.51,-2.51,-2.43,-2.78,7.95,7.95,7.95
40.54,10.42,10.43,2.48,2.49,-2.49,-2.43,-2.72,7.94,7.94,7.94
40.94,10.39,10.39,2.46,2.46,-2.46,-2.42,-2.66,7.93,7.93,7.93
41.35,10.36,10.36,2.44,2.44,-2.44,-2.41,-2.60,7.92,7.92,7.92
41.76,10.33,10.33,2.42,2.42,-2.42,-2.40,-2.55,7.92,7.92,7.91
42.18,10.30,10.30,2.40,2.39,-2.39,-2.40,-2.49,7.91,7.91,7.91
42.60,10.26,10.26,2.37,2.37,-2.37,-2.39,-2.44,7.89,7.90,7.90
43.03,10.23,10.23,2.35,2.34,-2.34,-2.38,-2.39,7.89,7.89,7.89
43.46,10.19,10.19,2.32,2.32,-2.32,-2.37,-2.34,7.87,7.88,7.88
43.90,10.16,10.16,2.30,2.29,-2.29,-2.36,-2.30,7.87,7.87,7.87
44.33,10.12,10.12,2.27,2.27,-2.27,-2.35,-2.25,7.85,7.85,7.86
44.78,10.09,10.09,2.25,2.25,-2.25,-2.34,-2.21,7.85,7.84,7.84
45.23,10.05,10.05,2.22,2.22,-2.22,-2.33,-2.17,7.83,7.83,7.83
45.68,10.02,10.02,2.20,2.20,-2.20,-2.32,-2.13,7.82,7.82,7.82
46.13,9.98,9.98,2.17,2.18,-2.18,-2.31,-2.09,7.80,7.81,7.81
46.60,9.95,9.95,2.16,2.16,-2.15,-2.29,-2.05,7.80,7.80,7.80
47.06,9.91,9.92,2.13,2.13,-2.13,-2.28,-2.02,7.78,7.78,7.78
47.53,9.88,9.88,2.11,2.11,-2.11,-2.27,-1.98,7.77,7.77,7.77
48.01,9.84,9.84,2.09,2.09,-2.09,-2.25,-1.95,7.75,7.75,7.75
48.49,9.80,9.80,2.06,2.06,-2.07,-2.24,-1.92,7.74,7.74,7.74
48.97,9.76,9.77,2.04,2.04,-2.04,-2.22,-1.89,7.72,7.72,7.72
49.46,9.73,9.73,2.02,2.02,-2.02,-2.20,-1.87,7.71,7.71,7.71
49.96,9.69,9.69,2.00,2.00,-2.00,-2.19,-1.84,7.69,7.69,7.69
50.46,9.65,9.65,1.98,1.98,-1.98,-2.17,-1.82,7.68,7.68,7.67
50.96,9.61,9.61,1.96,1.96,-1.96,-2.15,-1.79,7.66,7.66,7.66
51.47,9.57,9.57,1.93,1.93,-1.93,-2.13,-1.77,7.64,7.64,7.64
51.99,9.53,9.53,1.91,1.91,-1.91,-2.11,-1.75,7.62,7.62,7.62
52.51,9.49,9.49,1.89,1.89,-1.89,-2.09,-1.73,7.60,7.60,7.60
53.03,9.45,9.45,1.87,1.87,-1.87,-2.07,-1.71,7.58,7.58,7.58
53.56,9.41,9.41,1.85,1.85,-1.85,-2.05,-1.70,7.56,7.56,7.56
54.10,9.37,9.37,1.83,1.83,-1.83,-2.03,-1.68,7.54,7.54,7.54
54.64,9.33,9.33,1.82,1.82,-1.82,-2.00,-1.67,7.52,7.52,7.52
55.18,9.29,9.29,1.80,1.80,-1.80,-1.98,-1.65,7.49,7.49,7.49
55.74,9.25,9.25,1.78,1.78,-1.78,-1.95,-1.64,7.47,7.47,7.47
56.29,9.21,9.21,1.77,1.76,-1.76,-1.93,-1.63,7.45,7.45,7.45
56.86,9.17,9.17,1.75,1.75,-1.75,-1.90,-1.62,7.43,7.42,7.42
57.42,9.12,9.13,1.73,1.73,-1.73,-1.87,-1.61,7.39,7.40,7.40
58.00,9.08,9.08,1.71,1.71,-1.71,-1.85,-1.60,7.37,7.37,7.37
58.58,9.04,9.04,1.70,1.70,-1.70,-1.82,-1.59,7.34,7.34,7.34
59.16,9.00,9.00,1.69,1.68,-1.68,-1.79,-1.58,7.32,7.31,7.31
59.76,8.95,8.96,1.67,1.67,-1.67,-1.76,-1.57,7.28,7.29,7.29
60.35,8.91,8.91,1.66,1.66,-1.66,-1.74,-1.56,7.26,7.26,7.26
60.96,8.87,8.87,1.65,1.64,-1.64,-1.71,-1.55,7.23,7.23,7.23
61.57,8.82,8.83,1.63,1.63,-1.63,-1.68,-1.55,7.19,7.19,7.19
62.18,8.78,8.78,1.62,1.62,-1.62,-1.66,-1.54,7.16,7.16,7.16
