frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.00,8.00,-0.02,-0.02,0.02,-0.11,-0.15,8.02,8.02,8.02
20.20,8.02,8.02,0.00,-0.00,0.00,-0.11,-0.15,8.02,8.02,8.02
20.40,8.03,8.03,0.01,0.02,-0.02,-0.11,-0.15,8.01,8.02,8.02
20.61,8.05,8.05,0.03,0.03,-0.03,-0.11,-0.16,8.01,8.01,8.02
20.81,8.07,8.07,0.05,0.05,-0.05,-0.11,-0.16,8.02,8.01,8.02
21.02,8.09,8.09,0.07,0.07,-0.07,-0.11,-0.17,8.02,8.02,8.01
21.23,8.10,8.10,0.08,0.09,-0.08,-0.11,-0.17,8.01,8.02,8.01
21.44,8.12,8.12,0.11,0.10,-0.10,-0.12,-0.18,8.02,8.02,8.01
21.66,8.13,8.13,0.12,0.12,-0.11,-0.12,-0.18,8.01,8.01,8.01
21.87,8.14,8.14,0.13,0.13,-0.13,-0.12,-0.19,8.01,8.01,8.01
22.09,8.15,8.15,0.14,0.14,-0.14,-0.12,-0.19,8.01,8.01,8.01
22.31,8.16,8.16,0.15,0.15,-0.15,-0.12,-0.20,8.01,8.01,8.01
22.54,8.18,8.18,0.17,0.17,-0.17,-0.13,-0.20,8.01,8.01,8.01
22.76,8.19,8.19,0.18,0.18,-0.18,-0.13,-0.21,8.01,8.01,8.01
22.99,8.20,8.20,0.19,0.19,-0.19,-0.13,-0.21,8.01,8.01,8.01
23.22,8.21,8.21,0.20,0.20,-0.20,-0.13,-0.22,8.00,8.00,8.01
23.45,8.22,8.22,0.21,0.22,-0.22,-0.13,-0.23,8.00,8.00,8.01
23.69,8.24,8.24,0.23,0.23,-0.23,-0.14,-0.23,8.01,8.00,8.00
23.92,8.25,8.25,0.25,0.24,-0.25,-0.14,-0.24,8.00,8.00,8.00
24.16,8.26,8.26,0.26,0.26,-0.26,-0.14,-0.25,8.00,8.00,8.00
24.40,8.27,8.27,0.27,0.27,-0.27,-0.14,-0.25,8.00,8.00,8.00
24.65,8.28,8.28,0.28,0.28,-0.27,-0.14,-0.26,8.00,8.00,8.00
24.89,8.29,8.29,0.29,0.29,-0.28,-0.15,-0.27,8.01,8.01,8.00
25.14,8.29,8.29,0.29,0.29,-0.28,-0.15,-0.27,8.00,8.00,8.00
25.39,8.29,8.29,0.29,0.29,-0.29,-0.15,-0.28,8.00,8.00,8.00
25.65,8.28,8.28,0.28,0.29,-0.29,-0.15,-0.29,7.99,7.99,7.99
25.91,8.28,8.28,0.29,0.29,-0.30,-0.16,-0.29,7.98,7.98,7.99
26.16,8.29,8.29,0.30,0.30,-0.31,-0.16,-0.30,7.98,7.98,7.99
26.43,8.30,8.30,0.31,0.31,-0.32,-0.16,-0.31,7.98,7.98,7.99
26.69,8.31,8.31,0.32,0.32,-0.33,-0.16,-0.31,7.98,7.98,7.99
26.96,8.33,8.33,0.34,0.34,-0.34,-0.17,-0.32,7.99,7.99,7.99
27.23,8.35,8.35,0.36,0.36,-0.36,-0.17,-0.33,7.99,7.99,7.98
27.50,8.36,8.36,0.38,0.38,-0.37,-0.17,-0.33,7.99,7.99,7.98
27.77,8.37,8.37,0.39,0.39,-0.38,-0.17,-0.34,7.99,7.99,7.98
28.05,8.37,8.37,0.39,0.39,-0.38,-0.18,-0.34,7.99,7.98,7.98
28.33,8.36,8.36,0.38,0.39,-0.39,-0.18,-0.35,7.97,7.98,7.98
28.62,8.36,8.36,0.38,0.38,-0.39,-0.18,-0.36,7.97,7.97,7.97
28.90,8.35,8.35,0.38,0.38,-0.39,-0.19,-0.36,7.96,7.97,7.97
29.19,8.35,8.35,0.38,0.38,-0.38,-0.19,-0.37,7.96,7.96,7.97
29.48,8.35,8.35,0.38,0.38,-0.38,-0.19,-0.37,7.97,7.97,7.97
29.78,8.35,8.35,0.38,0.39,-0.38,-0.19,-0.37,7.97,7.97,7.96
30.08,8.36,8.35,0.40,0.39,-0.39,-0.20,-0.38,7.97,7.97,7.96
30.38,8.35,8.35,0.39,0.39,-0.39,-0.20,-0.38,7.96,7.96,7.96
30.68,8.35,8.35,0.39,0.39,-0.40,-0.20,-0.38,7.95,7.95,7.96
30.99,8.35,8.35,0.40,0.40,-0.41,-0.21,-0.39,7.94,7.94,7.95
31.30,8.36,8.36,0.41,0.41,-0.42,-0.21,-0.39,7.94,7.94,7.95
31.61,8.37,8.37,0.42,0.42,-0.43,-0.21,-0.39,7.94,7.94,7.95
31.93,8.38,8.38,0.43,0.44,-0.43,-0.22,-0.39,7.94,7.94,7.94
32.24,8.39,8.39,0.45,0.45,-0.44,-0.22,-0.39,7.95,7.95,7.94
32.57,8.40,8.40,0.46,0.46,-0.45,-0.23,-0.39,7.95,7.95,7.94
32.89,8.40,8.40,0.47,0.46,-0.45,-0.23,-0.39,7.95,7.95,7.93
