frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.61,13.61,5.56,5.56,-5.55,-4.38,-2.40,8.05,8.05,8.05
20.20,13.61,13.61,5.56,5.56,-5.56,-4.38,-2.47,8.05,8.05,8.05
20.40,13.61,13.61,5.56,5.56,-5.56,-4.38,-2.54,8.05,8.05,8.05
20.61,13.61,13.61,5.56,5.56,-5.56,-4.38,-2.61,8.05,8.05,8.05
20.81,13.61,13.61,5.56,5.56,-5.56,-4.38,-2.69,8.05,8.05,8.05
21.02,13.61,13.61,5.56,5.56,-5.56,-4.38,-2.77,8.05,8.05,8.05
21.23,13.61,13.61,5.56,5.56,-5.56,-4.38,-2.85,8.05,8.05,8.05
21.44,13.61,13.61,5.56,5.56,-5.56,-4.38,-2.93,8.05,8.05,8.05
21.66,13.61,13.61,5.56,5.56,-5.56,-4.38,-3.01,8.05,8.05,8.05
21.87,13.61,13.61,5.56,5.56,-5.56,-4.37,-3.10,8.05,8.05,8.05
22.09,13.61,13.60,5.56,5.56,-5.56,-4.37,-3.19,8.05,8.05,8.04
22.31,13.60,13.60,5.55,5.56,-5.56,-4.37,-3.28,8.04,8.04,8.04
22.54,13.60,13.59,5.55,5.55,-5.55,-4.37,-3.38,8.04,8.04,8.04
22.76,13.59,13.59,5.55,5.55,-5.55,-4.37,-3.47,8.04,8.04,8.04
22.99,13.59,13.58,5.55,5.54,-5.54,-4.37,-3.57,8.04,8.04,8.04
23.22,13.58,13.58,5.54,5.54,-5.54,-4.37,-3.68,8.04,8.04,8.04
23.45,13.57,13.57,5.53,5.53,-5.53,-4.37,-3.78,8.04,8.04,8.04
23.69,13.56,13.56,5.52,5.52,-5.52,-4.37,-3.88,8.04,8.04,8.04
23.92,13.55,13.55,5.51,5.51,-5.51,-4.37,-3.99,8.03,8.03,8.04
24.16,13.54,13.54,5.50,5.50,-5.50,-4.36,-4.10,8.03,8.03,8.04
24.40,13.53,13.53,5.49,5.49,-5.49,-4.36,-4.21,8.03,8.03,8.03
24.65,13.52,13.52,5.48,5.48,-5.48,-4.36,-4.33,8.03,8.03,8.03
24.89,13.51,13.51,5.48,5.48,-5.47,-4.36,-4.44,8.03,8.03,8.03
25.14,13.50,13.50,5.47,5.47,-5.46,-4.36,-4.56,8.03,8.03,8.03
25.39,13.49,13.48,5.46,5.46,-5.45,-4.36,-4.67,8.03,8.03,8.03
25.65,13.47,13.47,5.44,5.44,-5.44,-4.36,-4.79,8.02,8.03,8.03
25.91,13.46,13.46,5.43,5.43,-5.43,-4.36,-4.91,8.03,8.02,8.03
26.16,13.44,13.44,5.41,5.41,-5.42,-4.35,-5.02,8.02,8.02,8.02
26.43,13.43,13.43,5.40,5.40,-5.40,-4.35,-5.14,8.02,8.02,8.02
26.69,13.41,13.41,5.39,5.39,-5.39,-4.35,-5.26,8.02,8.02,8.02
26.96,13.40,13.39,5.38,5.38,-5.37,-4.35,-5.37,8.02,8.02,8.02
27.23,13.38,13.38,5.36,5.36,-5.36,-4.35,-5.48,8.02,8.02,8.02
27.50,13.36,13.36,5.34,5.34,-5.34,-4.35,-5.59,8.02,8.02,8.02
27.77,13.34,13.34,5.32,5.32,-5.32,-4.34,-5.69,8.01,8.01,8.01
28.05,13.32,13.32,5.31,5.31,-5.31,-4.34,-5.80,8.01,8.01,8.01
28.33,13.30,13.30,5.29,5.29,-5.29,-4.34,-5.89,8.00,8.01,8.01
28.62,13.29,13.28,5.28,5.28,-5.28,-4.34,-5.98,8.01,8.00,8.01
28.90,13.27,13.27,5.26,5.26,-5.26,-4.34,-6.06,8.00,8.00,8.01
29.19,13.25,13.25,5.24,5.25,-5.25,-4.33,-6.14,8.00,8.00,8.00
29.48,13.24,13.23,5.24,5.23,-5.23,-4.33,-6.21,8.00,8.00,8.00
29.78,13.22,13.22,5.22,5.22,-5.22,-4.33,-6.27,8.00,8.00,8.00
30.08,13.20,13.20,5.20,5.20,-5.20,-4.33,-6.32,8.00,8.00,8.00
30.38,13.18,13.17,5.18,5.18,-5.18,-4.32,-6.36,8.00,8.00,7.99
30.68,13.15,13.15,5.16,5.16,-5.15,-4.32,-6.39,7.99,7.99,7.99
30.99,13.12,13.12,5.13,5.13,-5.13,-4.32,-6.42,7.99,7.99,7.99
31.30,13.09,13.09,5.10,5.10,-5.11,-4.32,-6.42,7.98,7.98,7.98
31.61,13.06,13.06,5.08,5.08,-5.09,-4.31,-6.43,7.97,7.97,7.98
31.93,13.04,13.03,5.06,5.06,-5.06,-4.31,-6.42,7.98,7.97,7.98
32.24,13.01,13.01,5.03,5.04,-5.04,-4.31,-6.40,7.97,7.97,7.97
32.57,12.99,12.99,5.02,5.02,-5.01,-4.30,-6.37,7.97,7.97,7.97
32.89,12.97,12.96,5.00,5.00,-4.99,-4.30,-6.34,7.98,7.97,7.97
33.22,12.94,12.94,4.97,4.97,-4.97,-4.30,-6.29,7.97,7.97,7.96
33.55,12.91,12.90,4.95,4.95,-4.94,-4.29,-6.24,7.96,7.96,7.96
33.89,12.87,12.87,4.91,4.92,-4.92,-4.29,-6.17,7.95,7.95,7.95
34.23,12.84,12.84,4.89,4.89,-4.89,-4.28,-6.11,7.95,7.95,7.95
34.57,12.81,12.81,4.86,4.86,-4.87,-4.28,-6.03,7.94,7.94,7.95
34.92,12.78,12.78,4.84,4.83,-4.84,-4.27,-5.95,7.94,7.94,7.94
35.27,12.75,12.75,4.81,4.81,-4.81,-4.27,-5.87,7.93,7.94,7.94
35.62,12.72,12.72,4.78,4.79,-4.79,-4.26,-5.78,7.93,7.93,7.93
35.97,12.70,12.69,4.77,4.76,-4.76,-4.26,-5.69,7.94,7.93,7.93
36.33,12.66,12.66,4.73,4.74,-4.73,-4.25,-5.60,7.92,7.93,7.92
36.70,12.63,12.63,4.71,4.71,-4.70,-4.25,-5.50,7.92,7.92,7.92
37.06,12.59,12.59,4.68,4.67,-4.68,-4.24,-5.40,7.91,7.91,7.91
37.43,12.55,12.55,4.64,4.64,-4.65,-4.24,-5.31,7.90,7.90,7.90
37.81,12.51,12.51,4.61,4.61,-4.62,-4.23,-5.21,7.89,7.89,7.90
38.19,12.48,12.47,4.58,4.58,-4.58,-4.22,-5.11,7.89,7.89,7.89
38.57,12.44,12.44,4.55,4.55,-4.55,-4.22,-5.01,7.88,7.89,7.89
38.95,12.41,12.40,4.53,4.53,-4.52,-4.21,-4.92,7.88,7.88,7.88
39.34,12.37,12.37,4.49,4.49,-4.49,-4.20,-4.82,7.87,7.87,7.87
39.74,12.33,12.33,4.46,4.46,-4.46,-4.20,-4.73,7.86,7.86,7.86
40.14,12.29,12.29,4.43,4.43,-4.43,-4.19,-4.64,7.85,7.85,7.86
40.54,12.25,12.25,4.40,4.40,-4.40,-4.18,-4.55,7.84,7.85,7.85
40.94,12.22,12.21,4.38,4.37,-4.37,-4.17,-4.47,7.84,7.84,7.84
