frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.02,15.02,8.21,8.21,-8.21,-7.09,-3.53,6.81,6.81,6.81
20.20,15.01,15.01,8.20,8.20,-8.20,-7.09,-3.63,6.81,6.81,6.81
20.40,15.00,15.00,8.19,8.19,-8.19,-7.09,-3.73,6.81,6.81,6.81
20.61,14.99,14.99,8.18,8.18,-8.18,-7.09,-3.83,6.81,6.81,6.81
20.81,14.98,14.98,8.17,8.17,-8.18,-7.09,-3.94,6.81,6.81,6.81
21.02,14.97,14.97,8.17,8.17,-8.17,-7.08,-4.05,6.81,6.81,6.81
21.23,14.96,14.96,8.16,8.16,-8.16,-7.08,-4.16,6.81,6.81,6.81
21.44,14.95,14.95,8.15,8.15,-8.15,-7.08,-4.27,6.81,6.81,6.81
21.66,14.94,14.94,8.14,8.14,-8.14,-7.08,-4.39,6.81,6.81,6.80
21.87,14.93,14.93,8.13,8.13,-8.13,-7.08,-4.51,6.81,6.81,6.80
22.09,14.92,14.92,8.12,8.12,-8.12,-7.08,-4.64,6.81,6.80,6.80
22.31,14.90,14.91,8.10,8.10,-8.11,-7.08,-4.77,6.80,6.80,6.80
22.54,14.89,14.89,8.09,8.09,-8.09,-7.08,-4.90,6.80,6.80,6.80
22.76,14.88,14.88,8.08,8.08,-8.08,-7.08,-5.03,6.80,6.80,6.80
22.99,14.87,14.87,8.07,8.07,-8.07,-7.07,-5.17,6.80,6.80,6.80
23.22,14.86,14.86,8.06,8.06,-8.06,-7.07,-5.31,6.80,6.80,6.80
23.45,14.84,14.85,8.04,8.05,-8.05,-7.07,-5.46,6.80,6.80,6.80
23.69,14.83,14.83,8.04,8.03,-8.03,-7.07,-5.61,6.80,6.80,6.80
23.92,14.81,14.81,8.02,8.02,-8.02,-7.07,-5.76,6.79,6.80,6.80
24.16,14.80,14.80,8.01,8.01,-8.00,-7.07,-5.91,6.80,6.80,6.79
24.40,14.78,14.78,7.99,7.99,-7.99,-7.06,-6.07,6.79,6.79,6.79
24.65,14.76,14.76,7.97,7.97,-7.97,-7.06,-6.23,6.79,6.79,6.79
24.89,14.74,14.75,7.95,7.96,-7.96,-7.06,-6.39,6.79,6.79,6.79
25.14,14.73,14.73,7.94,7.94,-7.94,-7.06,-6.56,6.79,6.79,6.79
25.39,14.71,14.71,7.92,7.92,-7.93,-7.06,-6.72,6.79,6.79,6.79
25.65,14.69,14.70,7.91,7.91,-7.91,-7.06,-6.89,6.78,6.79,6.79
25.91,14.68,14.68,7.90,7.89,-7.89,-7.05,-7.06,6.79,6.79,6.78
26.16,14.66,14.66,7.88,7.88,-7.88,-7.05,-7.23,6.78,6.78,6.78
26.43,14.64,14.64,7.86,7.86,-7.86,-7.05,-7.40,6.78,6.78,6.78
26.69,14.62,14.62,7.84,7.84,-7.84,-7.05,-7.57,6.78,6.78,6.78
26.96,14.60,14.60,7.82,7.82,-7.83,-7.04,-7.74,6.78,6.78,6.78
27.23,14.58,14.58,7.81,7.81,-7.81,-7.04,-7.90,6.78,6.77,6.78
27.50,14.56,14.56,7.79,7.79,-7.79,-7.04,-8.06,6.77,6.77,6.77
27.77,14.54,14.54,7.77,7.77,-7.77,-7.04,-8.22,6.77,6.77,6.77
28.05,14.52,14.52,7.75,7.75,-7.75,-7.03,-8.37,6.77,6.77,6.77
28.33,14.50,14.50,7.73,7.73,-7.73,-7.03,-8.52,6.77,6.77,6.77
28.62,14.48,14.48,7.72,7.72,-7.71,-7.03,-8.66,6.77,6.77,6.77
28.90,14.46,14.46,7.70,7.70,-7.69,-7.03,-8.78,6.77,6.76,6.76
29.19,14.43,14.44,7.67,7.68,-7.67,-7.02,-8.91,6.76,6.76,6.76
29.48,14.41,14.41,7.65,7.65,-7.65,-7.02,-9.01,6.76,6.76,6.76
29.78,14.39,14.39,7.64,7.63,-7.63,-7.02,-9.11,6.76,6.75,6.76
30.08,14.36,14.37,7.61,7.61,-7.61,-7.01,-9.19,6.75,6.75,6.75
30.38,14.34,14.34,7.59,7.59,-7.59,-7.01,-9.26,6.75,6.75,6.75
30.68,14.32,14.32,7.57,7.57,-7.57,-7.00,-9.32,6.75,6.75,6.75
30.99,14.29,14.30,7.55,7.55,-7.55,-7.00,-9.36,6.74,6.75,6.75
31.30,14.27,14.27,7.53,7.53,-7.53,-7.00,-9.38,6.75,6.74,6.74
31.61,14.24,14.24,7.50,7.50,-7.50,-6.99,-9.39,6.74,6.74,6.74
31.93,14.21,14.22,7.48,7.48,-7.48,-6.99,-9.38,6.73,6.74,6.74
