frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.57,7.57,0.79,0.79,-0.79,-1.26,-0.60,6.79,6.78,6.78
20.20,7.59,7.60,0.81,0.81,-0.81,-1.26,-0.62,6.78,6.78,6.78
20.40,7.62,7.62,0.84,0.84,-0.84,-1.26,-0.63,6.78,6.78,6.78
20.61,7.64,7.65,0.86,0.87,-0.87,-1.26,-0.65,6.77,6.78,6.78
20.81,7.67,7.67,0.89,0.89,-0.89,-1.26,-0.67,6.78,6.78,6.78
21.02,7.69,7.69,0.91,0.91,-0.92,-1.26,-0.69,6.78,6.78,6.78
21.23,7.71,7.72,0.93,0.94,-0.94,-1.26,-0.71,6.77,6.78,6.78
21.44,7.74,7.74,0.97,0.96,-0.96,-1.26,-0.74,6.78,6.78,6.78
21.66,7.76,7.76,0.99,0.98,-0.98,-1.26,-0.76,6.78,6.78,6.78
21.87,7.77,7.78,1.00,1.00,-1.00,-1.26,-0.78,6.77,6.78,6.78
22.09,7.79,7.79,1.02,1.02,-1.02,-1.26,-0.80,6.78,6.77,6.77
22.31,7.80,7.81,1.03,1.03,-1.03,-1.25,-0.83,6.77,6.77,6.77
22.54,7.82,7.82,1.05,1.05,-1.05,-1.25,-0.85,6.78,6.77,6.77
22.76,7.83,7.83,1.06,1.06,-1.06,-1.25,-0.88,6.77,6.77,6.77
22.99,7.84,7.85,1.07,1.07,-1.08,-1.25,-0.91,6.77,6.77,6.77
23.22,7.86,7.86,1.09,1.09,-1.09,-1.25,-0.93,6.77,6.77,6.77
23.45,7.87,7.87,1.10,1.11,-1.11,-1.25,-0.96,6.76,6.77,6.77
23.69,7.89,7.89,1.12,1.12,-1.12,-1.25,-0.99,6.77,6.76,6.77
23.92,7.90,7.91,1.14,1.14,-1.14,-1.25,-1.01,6.76,6.76,6.77
24.16,7.92,7.92,1.16,1.16,-1.16,-1.25,-1.04,6.77,6.77,6.77
24.40,7.94,7.94,1.18,1.17,-1.17,-1.25,-1.07,6.77,6.77,6.76
24.65,7.95,7.95,1.19,1.19,-1.19,-1.25,-1.10,6.77,6.77,6.76
24.89,7.96,7.96,1.20,1.20,-1.20,-1.24,-1.13,6.76,6.77,6.76
25.14,7.97,7.97,1.21,1.21,-1.21,-1.24,-1.16,6.76,6.76,6.76
25.39,7.98,7.98,1.22,1.22,-1.22,-1.24,-1.19,6.76,6.76,6.76
25.65,7.98,7.99,1.23,1.23,-1.23,-1.24,-1.22,6.75,6.75,6.76
25.91,7.99,7.99,1.24,1.24,-1.24,-1.24,-1.25,6.75,6.75,6.76
26.16,8.00,8.00,1.25,1.25,-1.25,-1.24,-1.28,6.75,6.75,6.75
26.43,8.01,8.01,1.26,1.26,-1.26,-1.24,-1.31,6.75,6.75,6.75
26.69,8.02,8.02,1.27,1.27,-1.27,-1.24,-1.34,6.75,6.75,6.75
26.96,8.03,8.03,1.28,1.28,-1.28,-1.24,-1.37,6.75,6.75,6.75
27.23,8.03,8.04,1.28,1.29,-1.29,-1.23,-1.39,6.74,6.75,6.75
27.50,8.04,8.04,1.30,1.30,-1.30,-1.23,-1.42,6.75,6.75,6.75
27.77,8.05,8.05,1.31,1.30,-1.30,-1.23,-1.45,6.75,6.75,6.74
28.05,8.05,8.05,1.31,1.31,-1.31,-1.23,-1.47,6.74,6.74,6.74
28.33,8.05,8.05,1.31,1.31,-1.31,-1.23,-1.49,6.74,6.74,6.74
28.62,8.05,8.06,1.32,1.32,-1.32,-1.23,-1.51,6.73,6.73,6.74
28.90,8.06,8.06,1.33,1.32,-1.33,-1.23,-1.53,6.74,6.73,6.73
