frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.73,9.73,2.02,2.02,-2.03,-3.01,-1.44,7.70,7.70,7.71
20.20,9.78,9.78,2.08,2.08,-2.08,-3.01,-1.48,7.71,7.71,7.71
20.40,9.83,9.83,2.13,2.13,-2.12,-3.02,-1.53,7.71,7.71,7.71
20.61,9.88,9.88,2.18,2.17,-2.17,-3.02,-1.57,7.71,7.71,7.71
20.81,9.92,9.92,2.22,2.22,-2.21,-3.03,-1.61,7.71,7.71,7.71
21.02,9.96,9.96,2.26,2.26,-2.26,-3.04,-1.66,7.71,7.71,7.70
21.23,10.00,10.00,2.30,2.30,-2.30,-3.04,-1.71,7.70,7.70,7.70
21.44,10.04,10.04,2.34,2.34,-2.34,-3.05,-1.76,7.70,7.70,7.70
21.66,10.08,10.08,2.38,2.38,-2.39,-3.05,-1.81,7.70,7.70,7.70
21.87,10.12,10.13,2.42,2.42,-2.43,-3.06,-1.86,7.70,7.70,7.70
22.09,10.17,10.17,2.47,2.47,-2.47,-3.07,-1.92,7.70,7.70,7.70
22.31,10.21,10.21,2.51,2.51,-2.51,-3.07,-1.97,7.70,7.70,7.70
22.54,10.25,10.25,2.55,2.56,-2.55,-3.08,-2.03,7.70,7.70,7.70
22.76,10.29,10.29,2.59,2.59,-2.59,-3.09,-2.09,7.70,7.70,7.70
22.99,10.33,10.33,2.64,2.63,-2.63,-3.09,-2.14,7.70,7.70,7.70
23.22,10.36,10.37,2.67,2.67,-2.67,-3.10,-2.21,7.69,7.69,7.70
23.45,10.40,10.40,2.71,2.71,-2.71,-3.11,-2.27,7.70,7.69,7.69
23.69,10.43,10.44,2.74,2.74,-2.74,-3.11,-2.33,7.69,7.69,7.69
23.92,10.47,10.47,2.78,2.78,-2.78,-3.12,-2.39,7.70,7.69,7.69
24.16,10.50,10.50,2.81,2.81,-2.81,-3.13,-2.46,7.69,7.69,7.69
24.40,10.53,10.53,2.84,2.84,-2.84,-3.14,-2.53,7.69,7.69,7.69
