frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.31,7.31,-0.21,-0.21,0.21,0.29,0.06,7.52,7.52,7.51
20.20,7.31,7.31,-0.20,-0.20,0.21,0.29,0.07,7.51,7.51,7.51
20.40,7.32,7.31,-0.19,-0.20,0.20,0.29,0.07,7.51,7.51,7.51
20.61,7.32,7.32,-0.19,-0.19,0.19,0.28,0.07,7.51,7.51,7.51
20.81,7.33,7.33,-0.18,-0.19,0.18,0.28,0.07,7.51,7.50,7.51
21.02,7.33,7.33,-0.18,-0.18,0.17,0.28,0.07,7.50,7.50,7.51
21.23,7.35,7.34,-0.16,-0.16,0.16,0.28,0.08,7.51,7.51,7.51
21.44,7.36,7.36,-0.15,-0.15,0.15,0.28,0.08,7.51,7.51,7.51
21.66,7.37,7.37,-0.14,-0.14,0.14,0.28,0.08,7.51,7.51,7.51
21.87,7.38,7.38,-0.13,-0.12,0.13,0.28,0.08,7.50,7.51,7.51
22.09,7.40,7.39,-0.11,-0.11,0.11,0.28,0.09,7.51,7.51,7.51
22.31,7.41,7.40,-0.10,-0.10,0.10,0.28,0.09,7.51,7.51,7.51
22.54,7.41,7.41,-0.10,-0.09,0.10,0.28,0.09,7.50,7.51,7.50
22.76,7.42,7.42,-0.09,-0.09,0.09,0.28,0.10,7.51,7.51,7.50
22.99,7.42,7.42,-0.08,-0.09,0.09,0.28,0.10,7.50,7.50,7.50
23.22,7.42,7.42,-0.08,-0.08,0.08,0.27,0.10,7.50,7.50,7.50
23.45,7.42,7.42,-0.08,-0.08,0.08,0.27,0.10,7.50,7.50,7.50
23.69,7.42,7.42,-0.08,-0.08,0.08,0.27,0.11,7.49,7.50,7.50
23.92,7.42,7.42,-0.08,-0.08,0.07,0.27,0.11,7.49,7.50,7.50
24.16,7.43,7.42,-0.07,-0.07,0.07,0.27,0.11,7.50,7.49,7.50
24.40,7.43,7.43,-0.07,-0.07,0.07,0.27,0.12,7.50,7.50,7.50
24.65,7.43,7.43,-0.07,-0.06,0.07,0.27,0.12,7.49,7.50,7.49
24.89,7.44,7.43,-0.06,-0.06,0.06,0.27,0.12,7.50,7.50,7.49
25.14,7.44,7.43,-0.05,-0.06,0.06,0.27,0.13,7.50,7.50,7.49
25.39,7.43,7.43,-0.06,-0.06,0.06,0.26,0.13,7.49,7.49,7.49
25.65,7.43,7.43,-0.06,-0.06,0.06,0.26,0.13,7.49,7.49,7.49
25.91,7.43,7.43,-0.06,-0.06,0.06,0.26,0.14,7.48,7.48,7.49
26.16,7.43,7.43,-0.06,-0.06,0.05,0.26,0.14,7.48,7.48,7.49
26.43,7.43,7.43,-0.06,-0.05,0.05,0.26,0.14,7.48,7.48,7.48
26.69,7.44,7.43,-0.04,-0.05,0.05,0.26,0.15,7.49,7.48,7.48
26.96,7.44,7.44,-0.04,-0.04,0.05,0.26,0.15,7.48,7.48,7.48
27.23,7.44,7.44,-0.04,-0.04,0.04,0.25,0.15,7.48,7.48,7.48
27.50,7.44,7.44,-0.04,-0.04,0.04,0.25,0.16,7.48,7.48,7.48
27.77,7.44,7.44,-0.04,-0.04,0.04,0.25,0.16,7.48,7.48,7.48
28.05,7.44,7.43,-0.04,-0.04,0.04,0.25,0.16,7.48,7.48,7.47
28.33,7.43,7.43,-0.04,-0.04,0.04,0.25,0.17,7.47,7.47,7.47
28.62,7.42,7.42,-0.05,-0.05,0.04,0.25,0.17,7.46,7.47,7.47
28.90,7.42,7.42,-0.05,-0.05,0.05,0.25,0.17,7.46,7.46,7.47
29.19,7.42,7.41,-0.05,-0.05,0.05,0.24,0.18,7.47,7.46,7.46
29.48,7.41,7.41,-0.05,-0.05,0.05,0.24,0.18,7.46,7.46,7.46
29.78,7.41,7.41,-0.05,-0.05,0.05,0.24,0.18,7.46,7.46,7.46
30.08,7.41,7.41,-0.05,-0.05,0.05,0.24,0.18,7.46,7.46,7.46
30.38,7.41,7.40,-0.05,-0.05,0.05,0.24,0.18,7.46,7.45,7.45
30.68,7.40,7.40,-0.05,-0.05,0.05,0.24,0.19,7.45,7.45,7.45
30.99,7.40,7.40,-0.05,-0.05,0.05,0.23,0.19,7.45,7.45,7.45
31.30,7.40,7.39,-0.05,-0.05,0.05,0.23,0.19,7.45,7.45,7.45
31.61,7.39,7.39,-0.05,-0.05,0.05,0.23,0.19,7.44,7.44,7.44
31.93,7.38,7.38,-0.06,-0.06,0.06,0.23,0.19,7.43,7.44,7.44
32.24,7.38,7.37,-0.06,-0.06,0.06,0.23,0.19,7.44,7.43,7.44
32.57,7.37,7.37,-0.06,-0.06,0.06,0.22,0.19,7.43,7.43,7.43
32.89,7.37,7.36,-0.06,-0.06,0.06,0.22,0.19,7.43,7.43,7.43
33.22,7.36,7.36,-0.07,-0.07,0.07,0.22,0.20,7.42,7.42,7.42
33.55,7.35,7.35,-0.07,-0.07,0.07,0.22,0.20,7.42,7.42,7.42
33.89,7.35,7.34,-0.07,-0.07,0.07,0.21,0.20,7.42,7.42,7.42
34.23,7.34,7.34,-0.07,-0.08,0.07,0.21,0.20,7.41,7.41,7.41
34.57,7.33,7.33,-0.08,-0.08,0.08,0.21,0.20,7.41,7.41,7.41
34.92,7.32,7.32,-0.09,-0.08,0.08,0.21,0.20,7.40,7.40,7.40
35.27,7.32,7.31,-0.08,-0.08,0.08,0.20,0.20,7.40,7.40,7.40
35.62,7.31,7.31,-0.09,-0.09,0.09,0.20,0.20,7.40,7.40,7.39
35.97,7.30,7.30,-0.09,-0.09,0.09,0.20,0.20,7.39,7.39,7.39
36.33,7.29,7.29,-0.10,-0.10,0.10,0.20,0.20,7.38,7.38,7.38
36.70,7.28,7.28,-0.10,-0.10,0.10,0.19,0.20,7.38,7.38,7.38
37.06,7.27,7.27,-0.10,-0.10,0.10,0.19,0.20,7.37,7.37,7.37
37.43,7.26,7.26,-0.11,-0.11,0.11,0.19,0.20,7.37,7.37,7.37
37.81,7.25,7.25,-0.11,-0.11,0.11,0.19,0.20,7.36,7.36,7.36
38.19,7.24,7.24,-0.12,-0.12,0.12,0.18,0.20,7.35,7.35,7.35
38.57,7.23,7.23,-0.12,-0.12,0.12,0.18,0.20,7.35,7.35,7.35
38.95,7.22,7.22,-0.12,-0.12,0.12,0.18,0.20,7.34,7.34,7.34
39.34,7.21,7.20,-0.13,-0.13,0.13,0.17,0.20,7.34,7.33,7.33
39.74,7.19,7.19,-0.14,-0.14,0.13,0.17,0.20,7.32,7.32,7.33
40.14,7.18,7.18,-0.14,-0.14,0.14,0.17,0.20,7.32,7.32,7.32
40.54,7.17,7.17,-0.14,-0.14,0.14,0.16,0.20,7.31,7.31,7.31
40.94,7.16,7.15,-0.15,-0.15,0.15,0.16,0.20,7.31,7.30,7.30
41.35,7.14,7.14,-0.16,-0.15,0.15,0.16,0.21,7.29,7.29,7.29
41.76,7.13,7.13,-0.16,-0.16,0.16,0.15,0.21,7.29,7.29,7.29
42.18,7.12,7.11,-0.16,-0.16,0.16,0.15,0.21,7.28,7.28,7.28
