frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.82,7.82,0.20,0.20,-0.20,-0.07,-0.07,7.62,7.62,7.62
20.20,7.83,7.83,0.21,0.21,-0.21,-0.07,-0.07,7.62,7.62,7.62
20.40,7.84,7.84,0.22,0.22,-0.22,-0.07,-0.07,7.62,7.62,7.62
20.61,7.85,7.84,0.23,0.23,-0.23,-0.07,-0.07,7.62,7.62,7.62
20.81,7.85,7.85,0.23,0.23,-0.23,-0.08,-0.08,7.61,7.62,7.62
21.02,7.86,7.86,0.24,0.24,-0.24,-0.08,-0.08,7.62,7.62,7.62
21.23,7.87,7.86,0.25,0.25,-0.25,-0.08,-0.08,7.62,7.61,7.62
21.44,7.87,7.87,0.25,0.26,-0.26,-0.08,-0.08,7.61,7.61,7.61
21.66,7.88,7.88,0.26,0.26,-0.26,-0.08,-0.08,7.61,7.61,7.61
21.87,7.89,7.88,0.27,0.27,-0.27,-0.08,-0.09,7.62,7.61,7.61
22.09,7.89,7.89,0.28,0.28,-0.28,-0.08,-0.09,7.61,7.61,7.61
22.31,7.90,7.89,0.29,0.28,-0.28,-0.08,-0.09,7.62,7.61,7.61
22.54,7.90,7.90,0.29,0.29,-0.29,-0.08,-0.10,7.61,7.61,7.61
22.76,7.90,7.90,0.29,0.29,-0.29,-0.08,-0.10,7.61,7.61,7.61
22.99,7.91,7.90,0.30,0.30,-0.30,-0.08,-0.10,7.61,7.61,7.61
23.22,7.91,7.91,0.30,0.30,-0.30,-0.08,-0.10,7.61,7.61,7.61
23.45,7.91,7.91,0.30,0.30,-0.30,-0.08,-0.11,7.60,7.61,7.61
23.69,7.91,7.91,0.30,0.30,-0.31,-0.08,-0.11,7.60,7.60,7.61
23.92,7.92,7.91,0.31,0.31,-0.31,-0.08,-0.11,7.61,7.60,7.60
24.16,7.92,7.92,0.31,0.32,-0.32,-0.08,-0.12,7.60,7.60,7.60
24.40,7.93,7.93,0.33,0.32,-0.32,-0.09,-0.12,7.61,7.60,7.60
24.65,7.93,7.93,0.33,0.33,-0.32,-0.09,-0.12,7.60,7.60,7.60
