frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.70,4.70,-3.49,-3.49,3.48,2.96,1.18,8.18,8.18,8.19
20.20,4.74,4.74,-3.45,-3.45,3.45,2.96,1.21,8.19,8.19,8.19
20.40,4.77,4.77,-3.42,-3.42,3.43,2.95,1.25,8.20,8.20,8.19
20.61,4.80,4.80,-3.39,-3.39,3.40,2.95,1.29,8.20,8.20,8.19
20.81,4.82,4.82,-3.37,-3.37,3.38,2.94,1.33,8.20,8.20,8.19
21.02,4.84,4.84,-3.35,-3.35,3.35,2.94,1.37,8.19,8.19,8.19
21.23,4.86,4.86,-3.33,-3.33,3.32,2.93,1.41,8.18,8.18,8.19
21.44,4.88,4.88,-3.31,-3.31,3.30,2.93,1.45,8.18,8.18,8.19
21.66,4.91,4.91,-3.28,-3.28,3.27,2.92,1.49,8.18,8.18,8.19
21.87,4.93,4.93,-3.26,-3.25,3.25,2.91,1.54,8.18,8.18,8.18
22.09,4.96,4.96,-3.22,-3.22,3.22,2.91,1.58,8.18,8.18,8.18
22.31,4.99,4.99,-3.19,-3.20,3.20,2.90,1.63,8.19,8.19,8.18
22.54,5.01,5.01,-3.17,-3.17,3.17,2.90,1.68,8.18,8.19,8.18
22.76,5.04,5.04,-3.14,-3.15,3.15,2.89,1.73,8.19,8.19,8.18
22.99,5.06,5.06,-3.12,-3.13,3.13,2.88,1.78,8.19,8.18,8.18
23.22,5.07,5.07,-3.11,-3.11,3.11,2.88,1.83,8.18,8.18,8.18
23.45,5.09,5.09,-3.09,-3.09,3.09,2.87,1.88,8.18,8.18,8.18
23.69,5.11,5.11,-3.07,-3.07,3.07,2.86,1.94,8.17,8.17,8.18
23.92,5.13,5.13,-3.05,-3.05,3.05,2.85,1.99,8.17,8.17,8.18
24.16,5.15,5.15,-3.03,-3.03,3.02,2.85,2.05,8.17,8.17,8.18
24.40,5.17,5.17,-3.00,-3.00,3.00,2.84,2.11,8.17,8.17,8.17
24.65,5.19,5.19,-2.98,-2.98,2.98,2.83,2.16,8.17,8.17,8.17
24.89,5.22,5.22,-2.95,-2.96,2.96,2.82,2.22,8.18,8.17,8.17
